Phenotype,C+T,SCT,LDpred,LDpred2,LDpred2-auto,LDpred2-inf,LDpred-funct,lassosum,lassosum2,PRS-CS,PRS-CS-auto,SBayesR,DBSLMM
Alzheimer's Disease,5.2,,,,7.8,,,,,2.6,13.0,10.4,
Asthma Disease,9.75,4.875,,1.625,6.5,13.0,,3.25,8.125,11.375,,,
Attention-deficit/hyperactivity disorder,11.375,,4.875,3.25,1.625,6.5,,13.0,,,,8.125,9.75
Body Mass Index,13.0,7.583333333333333,10.833333333333334,2.1666666666666665,8.666666666666666,9.75,,1.0833333333333333,5.416666666666667,6.5,3.25,11.916666666666666,4.333333333333333
Breast Cancer,9.75,11.916666666666666,10.833333333333334,1.0833333333333333,4.333333333333333,13.0,,2.1666666666666665,8.666666666666666,6.5,3.25,5.416666666666667,7.583333333333333
Cholesterol,9.75,1.625,,4.875,11.375,13.0,,8.125,3.25,6.5,,,
Chronic Kidney Disease,13.0,,,1.625,3.25,,,4.875,,9.75,8.125,6.5,11.375
Coronary Artery Disease,13.0,4.333333333333333,5.416666666666667,1.0833333333333333,6.5,10.833333333333334,,9.75,7.583333333333333,3.25,2.1666666666666665,8.666666666666666,11.916666666666666
Depression,13.0,,7.090909090909091,1.1818181818181819,8.272727272727273,11.818181818181818,3.5454545454545454,5.909090909090909,,4.7272727272727275,10.636363636363637,2.3636363636363638,9.454545454545455
Eosinophil Count,,,,2.6,5.2,13.0,,7.8,,10.4,,,
Estimated Glomerular Filtration Rate,11.142857142857142,,,1.8571428571428572,3.7142857142857144,,,9.285714285714286,,,7.428571428571429,5.571428571428571,13.0
General Certificate of Secondary Education,11.375,,13.0,1.625,4.875,9.75,,3.25,,,,8.125,6.5
Gout,11.142857142857142,,,1.8571428571428572,9.285714285714286,,,3.7142857142857144,,,5.571428571428571,13.0,7.428571428571429
Height,10.833333333333334,1.0833333333333333,13.0,4.333333333333333,8.666666666666666,11.916666666666666,,7.583333333333333,3.25,6.5,2.1666666666666665,5.416666666666667,9.75
Hemoglobin A1c,13.0,,,2.1666666666666665,8.666666666666666,,,,,,6.5,4.333333333333333,10.833333333333334
High-Density Lipoprotein,13.0,1.1818181818181819,,2.3636363636363638,11.818181818181818,10.636363636363637,,9.454545454545455,3.5454545454545454,5.909090909090909,7.090909090909091,8.272727272727273,4.7272727272727275
Inflammatory Bowel Disease,11.7,,10.4,1.3,2.6,13.0,,3.9,,6.5,7.8,5.2,9.1
Intelligence,13.0,,8.125,3.25,4.875,6.5,,1.625,,,,11.375,9.75
Low-Density Lipoprotein,11.375,4.875,,3.25,9.75,13.0,,8.125,1.625,6.5,,,
Multiple Sclerosis,8.125,,6.5,1.625,3.25,9.75,,4.875,,,,11.375,13.0
Platelet Count,,,,7.8,10.4,13.0,,2.6,,5.2,,,
Prostate Cancer,10.833333333333334,7.583333333333333,11.916666666666666,3.25,5.416666666666667,13.0,,1.0833333333333333,6.5,4.333333333333333,8.666666666666666,2.1666666666666665,9.75
Red Blood Cell Count,,,,10.4,5.2,13.0,,2.6,,7.8,,,
Rheumatoid Arthirits,7.8,,11.7,1.3,9.1,13.0,,2.6,,6.5,5.2,3.9,10.4
Schizophrenia,13.0,,,3.7142857142857144,,,7.428571428571429,5.571428571428571,,9.285714285714286,11.142857142857142,1.8571428571428572,
Stroke,11.375,,,3.25,1.625,,,9.75,,6.5,8.125,13.0,4.875
Systolic Blood Pressure,,,,5.2,2.6,13.0,,10.4,,7.8,,,
Triglyceride,13.0,1.625,,6.5,11.375,9.75,,3.25,8.125,4.875,,,
Type One Diabetes,11.142857142857142,,,,5.571428571428571,,,1.8571428571428572,,3.7142857142857144,7.428571428571429,13.0,9.285714285714286
Type Two Diabetes,11.0,12.0,3.0,1.0,8.0,13.0,4.0,6.0,10.0,9.0,7.0,2.0,5.0
Urate,13.0,,,1.8571428571428572,5.571428571428571,,,3.7142857142857144,,,11.142857142857142,7.428571428571429,9.285714285714286
White Blood Cell Count,,,,2.6,5.2,7.8,,10.4,,13.0,,,
