case_num,description,model_A,model_B,model_C,model_D,model_E,model_F,model_G,model_H,task_type
1,Test case 1,0.7571263684467215,0.9829403243637174,0.7799051779307059,0.4471854790107411,0.6422124097649785,0.6238180430749807,0.5357701908206014,0.5638910611480048,math
2,Test case 2,0.7749099634044181,0.826943602781965,0.7527153076123066,0.6806304462948966,0.5815693675371956,0.4236997456991677,0.4226691162637395,0.22740645820419222,code
3,Test case 3,0.9021595160352507,0.756866589138818,0.7644824900818579,0.7087506216367159,0.5176959515984372,0.5344961798113612,0.42607710157298984,0.37124485593712936,math
4,Test case 4,0.9652213663068668,0.7680864230136931,0.9032272796833083,0.6273220894833385,0.5429718721683191,0.6261146446167851,0.41323754277266006,0.4030042126826849,qa
5,Test case 5,0.7026793370124733,0.7968478123091189,0.7319424907377265,0.5631077336829557,0.7422609000232947,0.6059516203405737,0.49935205250972525,0.4264019901133054,code
6,Test case 6,0.8851961074208056,0.6785780733575028,0.8113869859996284,0.5905107825932636,0.6459070333889214,0.5257298162894658,0.6015130205828413,0.40100559790260376,code
7,Test case 7,0.7323301814229093,0.7161701903453517,0.9408652321228438,0.754990190184985,0.6826442521241266,0.5833780874612249,0.6577957207740838,0.19499737084836533,code
8,Test case 8,0.9129085409014001,0.614362745937957,0.8663759926437904,0.8758239058761191,0.5315411903408385,0.5750002472594711,0.43455104854347926,0.488602461870856,qa
9,Test case 9,0.7877269418996252,0.7005594530197334,0.8510312555597701,0.816814762661972,0.326046222888509,0.5418616187308957,0.7221739364759783,0.5043654128280607,math
10,Test case 10,0.744867098197672,0.8022477910231878,0.7050454641622357,0.5441368280883734,0.5691181407401218,0.5432022424202563,0.4066723710721775,0.6101898791589981,qa
11,Test case 11,0.9299664515347574,0.8228746477855949,0.7586785912710653,0.7640341596264989,0.5347715159860218,0.7878284577614103,0.6154977094756441,0.37116907352250367,math
12,Test case 12,0.7913077394554905,0.5949241733575026,0.6038866565112915,0.6122551909904996,0.6563297982913794,0.6452168046788443,0.43497321174131287,0.3629836842220098,code
13,Test case 13,0.8184036048647302,0.7791359725527228,0.7856057258107271,0.6203447223205509,0.9500009427967557,0.8123508060369286,0.4200505301558561,0.18200155140355312,qa
14,Test case 14,0.6280010912443623,0.8491981379393561,0.7631603034756698,0.6323738687743002,0.690945173190397,0.5145894009936641,0.43266724146441826,0.4206433163409114,qa
15,Test case 15,0.9446551361423474,0.7765659235195193,0.7380527982299038,0.7491781235569717,0.8950245873669203,0.5557890545968995,0.5018980871779452,0.5401111781062171,qa
16,Test case 16,0.9320908521169107,0.7294782782793627,0.8384337645385717,0.7744967662163325,0.6783055409625163,0.43107313775804956,0.5651400742462181,0.38882321378072804,code
17,Test case 17,0.8505457844281313,0.7516410283523214,0.614936803471846,0.6687683214434498,0.5584399476712999,0.48332903407675704,0.5741296609333393,0.6643444818543649,qa
18,Test case 18,0.697241905864424,0.7387808073594206,0.8992005708303203,0.6704643544706261,0.6562201792406598,0.7544770291519644,0.41274435560806827,0.42434051642104764,code
19,Test case 19,0.9709369178334764,0.7291840869463371,0.8258907545083141,0.7249978028950079,0.7994924313763423,0.5120822853015387,0.40817692839173025,0.4646992284288556,math
20,Test case 20,0.7833736613639208,0.8102394953816277,0.7286508877490883,0.7353708825238527,0.8043848310606954,0.7562138443001603,0.4154789878065024,0.3136896919418406,code
21,Test case 21,0.8046646549899411,1.0,0.7208413269325463,0.7961939992472815,0.5638948346242635,0.4399494882177252,0.496007416904306,0.47872203451752793,qa
22,Test case 22,1.0,0.7184871511666244,0.7837754072391451,0.5501342310205087,0.6467469409985014,0.4589388108783866,0.48612729672376964,0.2520680205147305,qa
23,Test case 23,0.7796363555890771,0.7610428795910001,0.8877994089206636,0.6805741625518316,0.47850188346145694,0.5301625921833721,0.4121253109358776,0.5193697955013145,qa
