row_id,timestamp,notes,algorithm_A,algorithm_B,algorithm_C,algorithm_D,algorithm_E
r0001,2024-01-01 00:00:00,,0.8750227387959617,0.8667355284454679,0.732683220948352,0.6082202926262796,0.6311480818960296
r0002,2024-01-01 01:00:00,,0.9528539201831402,0.818111228888943,0.786535870905007,0.5668406221068455,0.38585842077727805
r0003,2024-01-01 02:00:00,,0.9876212579321664,0.9001870413541089,0.7089360738596239,0.6754085805038499,0.550023835069824
r0004,2024-01-01 03:00:00,,0.9990299547099525,0.8000160507407086,0.7984569845957198,0.5841680387404621,0.3751697198130682
r0005,2024-01-01 04:00:00,,0.9445709140135368,0.6261602421478214,0.7614105805289684,0.786803292495911,0.5094176469173642
r0006,2024-01-01 05:00:00,,0.7199229298077364,0.7641553810693326,0.6640159539219612,0.5996087490704921,0.5740333422556478
r0007,2024-01-01 06:00:00,,0.8658800267306704,0.7800070076881583,0.7895850880102806,0.6700497063158163,0.47854974331757805
r0008,2024-01-01 07:00:00,,1.0,0.8742903305433599,0.7091480005977568,0.5245395617606727,0.5551126604086956
r0009,2024-01-01 08:00:00,,0.9374216734802479,0.5929726455486606,0.6893867992387683,0.6503089253336662,0.4040267665167066
r0010,2024-01-01 09:00:00,,0.9367819568443866,0.8041179516948935,0.6523800839601013,0.6275093476943754,0.3336310021803617
r0011,2024-01-01 10:00:00,,0.9359485939773858,0.8513675215793306,0.7166018847874572,0.5943493875340792,0.5557029622487804
r0012,2024-01-01 11:00:00,,0.941537962250599,0.7338512114718481,0.7996462615412983,0.549824223883028,0.6744010234075732
r0013,2024-01-01 12:00:00,,0.6616887818914077,0.8074628009816848,0.7888940005593037,0.5361969834347625,0.40039550598301077
r0014,2024-01-01 13:00:00,,0.8760475683088932,0.7372963490850156,0.7353393797458956,0.6282352663979652,0.6222194180106795
r0015,2024-01-01 14:00:00,,0.8962107168205311,0.727042706677961,0.7599643640725035,0.6628939109696473,0.5043423408816411
r0016,2024-01-01 15:00:00,,1.0,0.7591580149868683,0.8271696791522558,0.5872837203705868,0.36643084783069235
r0017,2024-01-01 16:00:00,,0.9047672894622296,0.728930800753299,0.6850033708829139,0.6287267929120792,0.38684946986478375
r0018,2024-01-01 17:00:00,,0.7353488613398059,0.8683618311936333,0.5884579996469793,0.596208532186723,0.501578477336065
r0019,2024-01-01 18:00:00,,0.9430089156171753,0.7265048123164622,0.8301129852178573,0.6098526024905387,0.4595537712075896
r0020,2024-01-01 19:00:00,,0.8196175351757256,0.7097089992952073,0.6470221747969281,0.5799555017322775,0.3687087023241761
r0021,2024-01-01 20:00:00,,0.7783214358918582,0.9767928666839534,0.6309661876656095,0.6017972579368308,0.3305960718774595
r0022,2024-01-01 21:00:00,,0.816584095328342,0.8960740011824035,0.5203802244665447,0.8698040456817426,0.4153280672073494
r0023,2024-01-01 22:00:00,,0.9542504229664516,0.61384866393408,0.7571283053164296,0.6311634298807425,0.5193809008331118
r0024,2024-01-01 23:00:00,,1.0,0.7235231710147467,0.5378547375447778,0.6645296958431043,0.4993599247396862
r0025,2024-01-02 00:00:00,,0.9482929945177587,0.8242462971722712,0.6249741192308262,0.6438023605328097,0.4498762042499922
r0026,2024-01-02 01:00:00,,0.9632023223617021,0.8323755067231494,0.7588236794515059,0.573718317670294,0.5201887194291482
r0027,2024-01-02 02:00:00,,0.9473045272838001,0.6509507134263107,0.7721921252408371,0.7293989213291667,0.6040026719862688
r0028,2024-01-02 03:00:00,,0.9101327176860469,0.9158565492822323,0.6348295851781766,0.5708836229573658,0.5394126510434147
r0029,2024-01-02 04:00:00,,0.9696930634962758,0.8825224419181626,0.6865846673007594,0.7055054548942551,0.48786913286104194
r0030,2024-01-02 05:00:00,,0.658122453293058,0.848190163204034,0.6127405473593847,0.5665793001933551,0.5928072006660688
r0031,2024-01-02 06:00:00,,0.9111088351304834,0.9356728490712122,0.6451603212188817,0.5040027480855959,0.4040149697783705
r0032,2024-01-02 07:00:00,,0.7955074965377749,0.8452289992570918,0.7266215260152906,0.6365396208236193,0.47750804604446484
r0033,2024-01-02 08:00:00,,1.0,0.8448580879251848,0.6498353321203542,0.48953316438978933,0.4798912064399632
r0034,2024-01-02 09:00:00,,0.885284469478314,0.9557679271822243,0.675578495982433,0.6535640225016609,0.37630467415571545
r0035,2024-01-02 10:00:00,,0.9030948088267831,0.910121958072771,0.5535293318382433,0.48058413439086833,0.45801258377156423
r0036,2024-01-02 11:00:00,,0.7494928125746196,0.7158492541088469,0.8132956164806138,0.5680991969527146,0.2925040319104697
r0037,2024-01-02 12:00:00,,1.0,0.8633195178671915,0.7510066593171065,0.4568270303475258,0.6912178047662954
r0038,2024-01-02 13:00:00,,0.9627328120273809,0.7335732135041418,0.7792905371837201,0.8824167009402729,0.4062586211563687
