row_id,timestamp,notes,algorithm_A,algorithm_B,algorithm_C,algorithm_D,algorithm_E,algorithm_F
r0001,2024-01-01 00:00:00,,0.9438005258518727,0.9217065543970154,0.8595941907435307,0.772441414997089,0.5569135888802066,0.45603179910815506
r0002,2024-01-01 01:00:00,,0.9520004380800811,0.8325558522473578,0.8281746400760012,0.7812983928549371,0.42913905456202905,0.613503685710174
r0003,2024-01-01 02:00:00,,0.8549215506906535,0.7501526241786854,0.7956717976633418,0.6185789219072467,0.6046183944295968,0.42587446324905165
r0004,2024-01-01 03:00:00,,1.0,0.8118720451986415,0.8012884071763183,0.565524714799111,0.48816838626715997,0.6538265640912035
r0005,2024-01-01 04:00:00,,0.770506811465974,0.8658600453877632,0.6784686117926292,0.6548286888691954,0.4310063795359778,0.42998824081845866
r0006,2024-01-01 05:00:00,,1.0,0.9108222524091729,0.9257850151290665,0.5727238929211462,0.4536128439266284,0.3808280866382657
r0007,2024-01-01 06:00:00,,1.0,0.853394504799904,0.7443125430953049,0.6764956875409025,0.6126381007845562,0.47914935690462496
r0008,2024-01-01 07:00:00,,1.0,0.7820092033459424,0.7701931685118704,0.7732096880834689,0.7161037360932808,0.44682242990383625
r0009,2024-01-01 08:00:00,,0.741177290129218,0.8755379656149769,0.675092366643336,0.6431860353950833,0.5838894516236245,0.5596299785461213
r0010,2024-01-01 09:00:00,,0.813116851211029,0.9060085067742821,0.6468834739223039,0.674999508990774,0.6011380654645966,0.49486050728074765
r0011,2024-01-01 10:00:00,,1.0,0.8579610056414482,0.7877296008809423,0.6506154383776633,0.6982894938877926,0.5627702394551921
r0012,2024-01-01 11:00:00,,0.7122960845369691,0.7363812885461676,0.7617513495938786,0.7402727572437698,0.4255545090916446,0.4708978526914706
r0013,2024-01-01 12:00:00,,0.7393541098959586,0.8018593965282811,0.6610647634097423,0.593221760571171,0.6320176421600272,0.43348926289811945
r0014,2024-01-01 13:00:00,,0.8511692213288509,0.9147820776412467,0.5961573281224596,0.4403553738356901,0.5788410215681179,0.44164394521039263
r0015,2024-01-01 14:00:00,,0.9191993788622268,0.6816982191255527,0.6130076912672453,0.7070868859375381,0.6366057458832068,0.7044938798031026
r0016,2024-01-01 15:00:00,,1.0,0.6106821977608842,0.8596133717091107,0.7587834421307994,0.5316516091596185,0.5225170932226936
r0017,2024-01-01 16:00:00,,0.8814734085069642,0.9708082850144022,0.6786746185349928,0.7046374244758536,0.4982062709573518,0.3016237790546955
r0018,2024-01-01 17:00:00,,0.8391760851935461,0.871141525502188,0.7061091454324167,0.5959769504531987,0.5940508904285606,0.4479790986545919
r0019,2024-01-01 18:00:00,,0.9311389937696427,0.8806730002520107,0.8850340258759062,0.5464987901813931,0.7449191323334463,0.5096866032475875
r0020,2024-01-01 19:00:00,,0.9469596483294401,0.7123183026372945,0.6277849438513585,0.7094497531780322,0.6660910104541463,0.6845399681250379
r0021,2024-01-01 20:00:00,,0.9441239822170271,0.8937528063466539,0.6673005174282943,0.6741478952934674,0.5292307229819909,0.60286987158899
r0022,2024-01-01 21:00:00,,0.8822013792048655,0.8475248687568365,0.6631233171439307,0.647420737234167,0.4459027964018721,0.4078282163518085
r0023,2024-01-01 22:00:00,,0.704491388608185,0.6615672422151604,0.9018068481166039,0.8422463342993791,0.4117932716302215,0.7418355753572451
r0024,2024-01-01 23:00:00,,0.8082384010893668,0.9624283414273858,0.9393383500582414,0.5653199905818669,0.7116099451850482,0.49688396351985226
r0025,2024-01-02 00:00:00,,1.0,0.835868332361873,0.8151563225402171,0.8375037021127466,0.4844917711864173,0.6246329811074944
r0026,2024-01-02 01:00:00,,0.91870689379766,0.7803916033920731,0.818338472415424,0.6631783904870641,0.5474486587005064,0.38449915026000975
r0027,2024-01-02 02:00:00,,0.8677477880892943,0.7822010254014783,0.6819644997147268,0.47644295231291256,0.7121211126077577,0.2601836904749102
r0028,2024-01-02 03:00:00,,1.0,0.6184778094567625,0.9347328486904283,0.642079734568086,0.41860985445210086,0.3591568509631639
r0029,2024-01-02 04:00:00,,0.7869883367631052,0.8793336599631364,0.7667696254358661,0.7559496076599441,0.7292264509475059,0.1749666523804294
r0030,2024-01-02 05:00:00,,0.8774651866286992,0.8461857207245725,0.825311026444974,0.623494496719503,0.5546359546107499,0.7112089327252908
r0031,2024-01-02 06:00:00,,0.9137758405174038,0.8005919867666905,0.7294475061229045,0.5125221458761605,0.4651416684761262,0.5214532918886416
r0032,2024-01-02 07:00:00,,0.8558622496705371,0.9478485207451672,0.713196741267239,0.643548546820383,0.5552649072851088,0.40753559815519685
r0033,2024-01-02 08:00:00,,0.9100762822901599,0.6816140981004155,0.9063042259596117,0.5742827626108294,0.5077403218598523,0.5452624029980121
r0034,2024-01-02 09:00:00,,0.8812306068578235,0.7603227523632385,0.7939723679738306,0.7091814401087962,0.6240819798905717,0.5189334036180165
r0035,2024-01-02 10:00:00,,0.7600656952214125,0.7349991745239615,0.8851375461070382,0.7373399816067612,0.5151867566112223,0.5620933395613992
r0036,2024-01-02 11:00:00,,0.9181477881879057,0.7921205020228448,0.7655328171745044,0.5543729592251894,0.38883577890809573,0.6209531401136269
