Phenotype,C+T,SCT,LDpred,LDpred2,LDpred2-auto,LDpred2-inf,LDpred-funct,AnnoPred,lassosum,lassosum2,PRS-CS,PRS-CS-auto,SBayesR,DBSLMM
Asthma Disease,,,,,,,0.543209,,0.535459,,0.546619,,,
Asthma Disease,,,,,,,0.565991,,0.541227,,0.564233,,,
Breast Cancer,,,,,,,0.580323,,0.586401,,0.582399,,,
Breast Cancer,,,,,,,0.524733,,0.575924,,0.556752,,,
Coronary Artery Disease,,,,,,,0.559121,,0.557311,,0.558586,,,
Coronary Artery Disease,,,,,,,0.570677,,0.54492,,0.574192,,,
Cataracts,,,,,,,0.522598,,0.511771,,0.51566,,,
Cataracts,,,,,,,0.5108,,0.4,,0.50817,,,
Gastric Cancer,,,,,,,0.569285,,0.597826,,0.58986,,,
Gastric Cancer,,,,,,,0.4,,0.519082,,0.4,,,
Glaucoma,,,,,,,0.569384,,0.57141,,0.570161,,,
Glaucoma,,,,,,,0.576677,,0.561366,,0.573707,,,
Hyperthyroidism,,,,,,,0.558274,,0.559929,,0.563496,,,
Hyperthyroidism,,,,,,,0.531202,,0.508703,,0.551184,,,
Hypothyroidism,,,,,,,0.555205,,0.561546,,0.553196,,,
Hypothyroidism,,,,,,,0.574151,,0.546828,,0.59302,,,
Osteoporosis,,,,,,,0.524012,,0.51507,,0.519854,,,
Osteoporosis,,,,,,,0.534246,,0.53573,,0.531052,,,
Type Two Diabetes,,,,,,,0.642781,,0.659786,,0.669105,,,
Type Two Diabetes,,,,,,,0.591998,,0.584557,,0.624313,,,
Alzheimer's Disease,0.58,,,,,,,,,0.58,0.59,,,
Alzheimer's Disease,0.59,,,,,,,,,0.6,0.59,,,
Alzheimer's Disease,0.59,,,,,,,,,0.59,0.59,,,
Unclassified,0.033,,,,,,,,,0.029,0.029,,,
Unclassified,0.027,,,,,,,,,0.024,0.028,,,
Unclassified,0.036,,,,,,,,,0.034,0.033,,,
Unclassified,0.015,,,,,,,,,0.016,0.017,,,
Unclassified,0.02,,,,,,,,,0.022,0.021,,,
Unclassified,0.026,,,,,,,,,0.022,0.027,,,
Alzheimer's Disease,0.1536,,,,0.1572,0.1226,0.1642,,0.1474,,0.1616,0.1343,,
Schizophrenia,0.0704,,,,0.0716,0.0716,0.0718,,0.0646,,0.0715,0.0717,,
Bipolar Disorder,0.0189,,,,0.0539,0.0535,0.0526,,0.0466,,0.0507,0.0538,,
Hypertension,0.1445,,,,0.1585,0.1581,0.1662,,0.1497,,0.166,0.1591,,
Type Two Diabetes,0.0644,,,,0.0719,0.0714,0.0796,,0.0728,,0.0795,0.0714,,
Height,0.32,,,,0.3051,0.1846,0.3765,,0.3951,,0.4343,0.4436,,
Body Mass Index,0.0458,,,,0.1638,0.164,0.2018,,0.1829,,0.1291,0.1702,,
High-Density Lipoprotein,0.1167,,,,0.1216,0.1209,0.1229,,0.1179,,0.1384,0.1355,,
Low-Density Lipoprotein,0.1422,,,,0.1649,0.1648,0.1282,,0.1399,,0.1751,0.1543,,
Cholesterol,0.1403,,,,0.1746,0.1746,0.1302,,0.1579,,0.1868,0.1695,,
Triglyceride,0.0697,,,,0.0944,0.0944,0.0085,,0.0957,,0.1085,0.1053,,
Crohn's Disease,,,0.661,,,,,0.68,,,,,,
Celiac Diesease,,,0.58,,,,,0.585,,,,,,
Type Two Diabetes,,,0.618,,,,,0.62,,,,,,
Bladder Cancer,0.5614,,,0.5632,,,,0.556,,,0.536,,,
Breast Cancer,0.5876,,,0.654,,,,0.6112,,,0.6514,,,
Colorectal Cancer,0.555,,,0.5672,,,,0.564,,,0.5456,,,
Kidney Cancer,0.5426,,,0.54,,,,0.547,,,0.5234,,,
Lung Cancer,0.5708,,,0.5866,,,,0.575,,,0.5774,,,
Ovarian Cancer,0.517,,,0.5174,,,,0.5364,,,0.5228,,,
Pancreatic Cancer,0.5358,,,0.5426,,,,0.5488,,,0.535,,,
Prostate Cancer,0.66,,,0.6684,,,,0.66,,,0.6802,,,
Cardio Vascular Disease,0.543695507,,,,,,,,,0.557629376,,,,
Depression,0.533375978,,,,,,,,,0.540023931,,,,
Heart Metabolic Disease Burden,0.008058466,,,,,,,,,0.010488011,,,,
Height,0.036216699,,,,,,,,,0.074154482,,,,
Sing Back Musical Note,0.53669477,,,,,,,,,0.532986512,,,,
Migraine Diagnosis,0.527000931,,,,,,,,,0.538472682,,,,
Morning Person,0.556718705,,,,,,,,,0.56200623,,,,
Cardio Vascular Disease,0.576551998,,,,,,,,,0.589377686,,,,
Depression,0.557003245,,,,,,,,,0.569561044,,,,
Heart Metabolic Disease Burden,0.022362217,,,,,,,,,0.031678448,,,,
Height,0.131776359,,,,,,,,,0.17073276,,,,
Sing Back Musical Note,0.563831433,,,,,,,,,0.58083426,,,,
Migraine Diagnosis,0.564501788,,,,,,,,,0.576838757,,,,
Morning Person,0.589321376,,,,,,,,,0.618597174,,,,
Cardio Vascular Disease,0.51849034,,,,,,,,,0.547379749,,,,
Depression,0.562478698,,,,,,,,,0.558986301,,,,
Heart Metabolic Disease Burden,0.004376894,,,,,,,,,0.010910782,,,,
Height,0.103631612,,,,,,,,,0.112141995,,,,
Sing Back Musical Note,0.541536596,,,,,,,,,0.53544455,,,,
Migraine Diagnosis,0.520821389,,,,,,,,,0.543411271,,,,
Morning Person,0.5567824,,,,,,,,,0.566958104,,,,
Cardio Vascular Disease,0.510463995,,,,,,,,,0.506881452,,,,
Depression,0.51909077,,,,,,,,,0.521681775,,,,
Heart Metabolic Disease Burden,0.002267725,,,,,,,,,0.007192525,,,,
Height,0.041067338,,,,,,,,,0.067645996,,,,
Sing Back Musical Note,0.559384133,,,,,,,,,0.482985977,,,,
Migraine Diagnosis,0.51706017,,,,,,,,,0.512046925,,,,
Morning Person,0.541523985,,,,,,,,,0.535474458,,,,
High-Density Lipoprotein,0.071601022,,,0.091312323,,,,,,0.087211899,,,,
Low-Density Lipoprotein,0.084242971,,,0.121228505,,,,,,0.140975244,,,,
Triglyceride,0.036351613,,,0.005969069,,,,,,0.03669323,,,,
Cholesterol,0.070691388,,,0.104517486,,,,,,0.117787669,,,,
High-Density Lipoprotein,0.082182864,,,0.119657989,,,,,,0.134525456,,,,
Low-Density Lipoprotein,0.025537348,,,0.034805929,,,,,,0.032888138,,,,
Triglyceride,0.062671539,,,0.070185025,,,,,,0.069457515,,,,
Cholesterol,0.056298083,,,0.076951308,,,,,,0.075841529,,,,
High-Density Lipoprotein,0.077180552,,,0.101592208,,,,,,0.09398254,,,,
Low-Density Lipoprotein,0.025172008,,,0.03425331,,,,,,0.033179328,,,,
Triglyceride,0.063321051,,,0.086101167,,,,,,0.076152839,,,,
Cholesterol,0.018249749,,,0.028709052,,,,,,0.028160418,,,,
Height,0.002851697,,,0.011947044,,,,,,0.007902545,,,,
Body Mass Index,0.001106871,,,0.001175013,,,,,,0.002374761,,,,
High-Density Lipoprotein,0.149,0.188,,,,,,,,0.177,0.174,,,
Low-Density Lipoprotein,0.078,0.104,,0.088,,,,,,0.112,0.096,,,
Triglyceride,0.1,0.125,,0.105,,,,,,0.107,0.121,,,
Cholesterol,0.084,0.102,,0.073,,,,,,0.091,0.098,,,
Body Mass Index,0.057,0.085,,0.094,,,,,,0.081,0.085,,,
Height,0.186,0.232,,0.157,,,,,,0.204,0.199,,,
High-Density Lipoprotein,0.119,0.166,,0.163,,,,,,0.15,0.161,,,
Low-Density Lipoprotein,0.083,0.103,,0.105,,,,,,0.106,0.093,,,
Triglyceride,0.092,0.128,,0.114,,,,,,0.107,0.121,,,
Cholesterol,0.077,0.096,,0.091,,,,,,0.094,0.09,,,
Body Mass Index,0.086,0.113,,0.115,,,,,,0.109,0.113,,,
Height,0.283,0.335,,0.28,,,,,,0.305,0.33,,,
Asthma Disease,0.565,0.574,,0.583,,,,,,0.577,0.576,,,
Asthma Disease,0.561,0.587,,0.584,,,,,,0.579,0.583,,,
Asthma Disease,0.575,0.596,,0.601,,,,,,0.599,0.597,,,
Coronary Artery Disease,0.579,0.613,,0.614,,,,,,0.595,0.615,,,
Coronary Artery Disease,0.572,0.591,,0.622,,,,,,0.6,0.604,,,
Coronary Artery Disease,0.575,0.597,,0.615,,,,,,0.609,0.606,,,
Type Two Diabetes,0.628,0.651,,0.678,,,,,,0.669,0.678,,,
Type Two Diabetes,0.629,0.651,,0.664,,,,,,0.652,0.659,,,
Type Two Diabetes,0.613,0.62,,0.649,,,,,,0.646,0.643,,,
Breast Cancer,0.656,0.636,,0.664,,,,,,0.66,0.663,,,
Breast Cancer,0.609,0.598,,0.623,,,,,,0.611,0.604,,,
Breast Cancer,0.605,0.603,,0.612,,,,,,0.612,0.617,,,
Prostate Cancer,0.685,0.703,,0.706,,,,,,0.706,0.711,,,
Prostate Cancer,0.634,0.657,,0.653,,,,,,0.646,0.629,,,
Prostate Cancer,0.662,0.637,,0.678,,,,,,0.678,0.671,,,
Age Related Macular Degeneration,,56.58,,56.95,,,,,,56.76,56.24,,,
Alzheimer's Disease,,65.9,,67.47,,,,,,68.25,57.9,,,
Asthma Disease,,62.1,,62.5,,,,,,61.96,61.54,,,
Atrial Fibrillation,,65.2,,63.46,,,,,,63.01,60.48,,,
Bipolar Disorder,,57.88,,64.65,,,,,,61.63,61.52,,,
Bowel Cancer,,65.66,,68.58,,,,,,68.63,62.35,,,
Breast Cancer,,64.15,,64.51,,,,,,64.42,59.03,,,
Cardio Vascular Disease,,59.63,,58.84,,,,,,57.84,58.55,,,
Celiac Diesease,,77.6,,77.16,,,,,,77.29,74.39,,,
Coronary Artery Disease,,65.54,,65.15,,,,,,64.03,64.1,,,
Crohn's Disease,,64.45,,66.73,,,,,,67.46,57.6,,,
Epithelia Ovarian Cancer,,52.26,,55.94,,,,,,55.19,52.81,,,
Hypercholesterolemia,,65.41,,63.64,,,,,,65.3,64.39,,,
Hypertension,,63.65,,64.29,,,,,,63.83,63.5,,,
Hypertriglyceridemia,,69.3,,62.79,,,,,,66.63,59.42,,,
Ischemic Stroke,,52.93,,56.03,,,,,,55.65,54.61,,,
Melanoma,,75.34,,74.55,,,,,,72.86,76.63,,,
Obesity,,67.49,,67.61,,,,,,66.57,67.86,,,
Osteoporosis,,61.53,,59.6,,,,,,59.35,55.99,,,
Parkinson's Disease,,54.41,,54.27,,,,,,55.04,53.47,,,
Primary Open Angle Glaucoma,,65.86,,68.21,,,,,,67.52,66.72,,,
Prostate Cancer,,70.78,,71.48,,,,,,69.14,70.77,,,
Psoriasis,,68.41,,67.4,,,,,,66.21,64.72,,,
Rheumatoid Arthirits,,59.4,,60.0,,,,,,58.9,58.94,,,
Schizophrenia,,63.48,,72.36,,,,,,71.1,69.93,,,
Systemic Lupus Erythematosus,,63.77,,67.76,,,,,,65.18,65.97,,,
Type One Diabetes,,80.23,,83.43,,,,,,81.83,79.29,,,
Type Two Diabetes,,71.67,,71.69,,,,,,71.39,70.64,,,
Ulcerative Colitis,,66.98,,67.94,,,,,,66.51,68.3,,,
Venous Thromboembolic Disease,,67.9,,67.54,,,,,,67.89,66.19,,,
Sleep Duration,,,,0.005,,,,,,0.002,,,,
Diastolic Blood Pressure,,,,0.017,,,,,,0.004,,,,
Systolic Blood Pressure,,,,0.026,,,,,,0.008,,,,
Triglyceride,,,,0.053,,,,,,0.075,,,,
Low-Density Lipoprotein,,,,0.045,,,,,,0.072,,,,
High-Density Lipoprotein,,,,0.06,,,,,,0.08,,,,
Cholesterol,,,,0.043,,,,,,0.082,,,,
Body Mass Index,,,,0.079,,,,,,0.083,,,,
Height,,,,0.198,,,,,,0.198,,,,
Coronary Artery Disease,0.6163,,0.6302,,,,,0.6425,,,0.6336,,,
Atrial Fibrillation,0.6055,,0.6272,,,,,0.6321,,,0.6189,,,
Type Two Diabetes,0.602,,0.6388,,,,,0.6446,,,0.6394,,,
Cholesterol,0.05089,,0.06605,,,,,0.07513,,,0.07232,,,
Triglyceride,0.04328,,0.07056,,,,,0.07437,,,0.07028,,,
Low-Density Lipoprotein,0.0202,,0.07069,,,,,0.07054,,,0.07007,,,
Alzheimer's Disease,64.9,,,,,,,,,,66.7,,60.7,
Coronary Artery Disease,,,,0.00825590394491754,0.00951457242931617,0.00511136249896953,,,0.00799350167213713,,0.00892235150585136,0.00891461509329018,,
Diabetes,,,,0.0132447038704592,0.0174878423115987,0.0120708880809428,,,0.01294721308775,,0.0172572859394407,0.0167673899133642,,
High Blood Pressure,,,,0.0497359272001006,0.0598475931210562,0.0406118673046835,,,0.0399818626128133,,0.0531430704447116,0.0549379183872262,,
Asthma Disease,,,,0.0223664477277978,0.0240474899091955,0.0162179546737966,,,0.0179015621949446,,0.0222762735229207,0.0222750289146942,,
Depression,,,,0.0102807217845831,0.00962005689711973,0.0102707428131364,,,0.00255080165508217,,0.00945366652280316,0.0088107605796458,,
Height,,,,0.220094559217653,0.313104873303237,0.303584128644809,,,0.296471564196895,,0.333698202595327,0.331199162503425,,
Systolic Blood Pressure,,,,0.0495900850588923,0.0554768987135024,0.052356871302211,,,0.0404786878895058,,0.0543678657591421,0.05529625266252,,
Diastolic Blood Pressure,,,,0.0496598468149321,0.0547085006994576,0.0518041364299165,,,0.0402671295529865,,0.0535426702221159,0.0543182789458652,,
Body Mass Index,,,,0.110039528391009,0.121249427690397,0.010965008134805,,,0.08454674706454,,0.121568552332427,0.115520601085718,,
White Blood Cell Count,,,,0.0622097247881704,0.0675970880027777,0.0592375225384629,,,0.0520439721086284,,0.0591275536451416,0.0546795828893502,,
Red Blood Cell Count,,,,0.112118960472229,0.136714427578634,0.119151813222475,,,0.129733992620906,,0.137710070433635,0.141653821025335,,
Hip Circumference,,,,0.0827318185967817,0.097669522042108,0.0813297201302712,,,0.075561263791797,,0.0844749577180422,0.0768787908945137,,
Haematocrit Percentage,,,,0.0799520163839034,0.0890853164453558,4.3610525144326e-05,,,0.0763558105808275,,0.0793229964207597,0.0800528134057895,,
Mean Corpuscular Volume,,,,0.110092151871775,0.167368472827516,0.138045051946309,,,0.153054608377012,,0.148700648750233,0.150573493636789,,
Mean Corpuscular Hemoglobin,,,,0.0935017847043915,0.137203786360542,0.0976765020609984,,,0.116921378478082,,0.114666646205604,0.116283875423428,,
Mean Corpuscular Hemoglobin Concentration,,,,0.0197404988459434,0.0210866286973291,0.012901581171241,,,0.0188254081659116,,0.0177361102674092,0.0177912697187595,,
Platelet Count,,,,0.155597409993678,0.182453091439491,0.148142025932327,,,0.184471180744057,,0.194518926729743,0.197559175396822,,
Lymphocyte Count,,,,0.0216422671253184,0.0194220867836793,0.0165045566852175,,,0.0179641012824676,,0.0190684285410968,0.0192374746290886,,
Monocyte Count,,,,0.0650802229275228,0.0729162296178961,0.021600791124116,,,0.0668846753478621,,0.0670007396191246,0.0675001634303861,,
Neutrophil Count,,,,0.0758009602673936,0.0848682048440242,0.0438126379779445,,,0.0705775730382117,,0.0758046086521994,0.0756841822346487,,
Eosinophil Count,,,,0.0885507854252671,0.0931741010843396,0.0703749874906667,,,0.0790960201459127,,0.0793573093409573,0.0794339971364535,,
Alzheimer's Disease,0.681,,,,,,,,,,,,0.623,
Alzheimer's Disease,0.638,,,,,,,,,,,,0.693,
Alzheimer's Disease,0.72,,,,,,,,,,0.698,,,
Alzheimer's Disease,0.575,,,,,,,,,,0.624,,,
Depression,0.565842577152662,,,0.58965497796789,,,0.58378243392381,,0.59020920434681,,0.583995907747086,0.572629433609641,0.58818080024489,
Depression,0.566798941798942,,,0.613756613756614,,,0.559854497354497,,0.623743386243386,,0.601653439153439,0.590013227513227,0.622685185185185,
Depression,0.571228989154369,,,0.586441593610241,,,0.594603170261362,,0.587089185825458,,0.583728818195495,0.584191090991151,0.589129750947112,
Depression,0.57506038647343,,,0.592763687600644,,,0.583917069243156,,0.583826489533011,,0.571698872785829,0.55997383252818,0.587510064412238,
Depression,0.608894180218702,,,0.639714837726062,,,0.623224581172017,,0.621418129935978,,0.627423083438478,0.630385400602832,0.638495811720174,
Depression,0.57024847812538,,,0.586461685605986,,,0.587481625789356,,0.597063262162257,,0.59360675465382,0.586263342126822,0.587253491590001,
Depression,0.590016714098568,,,0.602574874644261,,,0.622003884898586,,0.590369065365677,,0.626189185526494,0.617335230609387,0.608569363509057,
