comparison_id,task,item,value
cmp_04334,safety,Astra,1
cmp_04334,safety,Pulse,0
cmp_00192,coding,Orion,1
cmp_00192,coding,Pulse,0
cmp_01757,math,Astra,0
cmp_01757,math,Nova,1
cmp_02883,reasoning,Orion,1
cmp_02883,reasoning,Nimbus,0
cmp_02032,math,Nova,1
cmp_02032,math,Pulse,0
cmp_04622,safety,Nova,1
cmp_04622,safety,Zenith,0
cmp_04072,safety,Orion,1
cmp_04072,safety,Zenith,0
cmp_00772,coding,Nova,1
cmp_00772,coding,Pulse,0
cmp_01196,coding,Zenith,1
cmp_01196,coding,Nimbus,0
cmp_00130,coding,Orion,1
cmp_00130,coding,Nova,0
cmp_04866,safety,Pulse,1
cmp_04866,safety,Zenith,0
cmp_01571,math,Orion,1
cmp_01571,math,Zenith,0
cmp_02362,math,Pulse,1
cmp_02362,math,Nimbus,0
cmp_04516,safety,Astra,1
cmp_04516,safety,Nimbus,0
cmp_04879,safety,Pulse,0
cmp_04879,safety,Nimbus,1
cmp_02427,math,Pulse,1
cmp_02427,math,Nimbus,0
cmp_02354,math,Pulse,1
cmp_02354,math,Nimbus,0
cmp_03300,reasoning,Nova,1
cmp_03300,reasoning,Pulse,0
cmp_02491,math,Zenith,0
cmp_02491,math,Nimbus,1
cmp_04645,safety,Nova,1
cmp_04645,safety,Zenith,0
cmp_03338,reasoning,Nova,0
cmp_03338,reasoning,Pulse,1
cmp_03879,safety,Orion,0
cmp_03879,safety,Nova,1
cmp_03376,reasoning,Nova,1
cmp_03376,reasoning,Zenith,0
cmp_00059,coding,Orion,1
cmp_00059,coding,Astra,0
cmp_00462,coding,Astra,1
cmp_00462,coding,Nova,0
cmp_04585,safety,Nova,0
cmp_04585,safety,Pulse,1
cmp_01533,math,Orion,1
cmp_01533,math,Zenith,0
cmp_02451,math,Zenith,1
cmp_02451,math,Nimbus,0
cmp_00265,coding,Orion,1
cmp_00265,coding,Zenith,0
cmp_02519,math,Zenith,1
cmp_02519,math,Nimbus,0
cmp_03207,reasoning,Astra,0
cmp_03207,reasoning,Nimbus,1
cmp_02033,math,Nova,1
cmp_02033,math,Pulse,0
cmp_01555,math,Orion,1
cmp_01555,math,Zenith,0
cmp_02484,math,Zenith,1
cmp_02484,math,Nimbus,0
cmp_03897,safety,Orion,0
cmp_03897,safety,Nova,1
cmp_01317,math,Orion,0
cmp_01317,math,Astra,1
cmp_04253,safety,Astra,0
cmp_04253,safety,Nova,1
cmp_00256,coding,Orion,1
cmp_00256,coding,Zenith,0
cmp_02730,reasoning,Orion,1
cmp_02730,reasoning,Pulse,0
cmp_03655,reasoning,Pulse,0
cmp_03655,reasoning,Nimbus,1
cmp_04332,safety,Astra,1
cmp_04332,safety,Pulse,0
cmp_04568,safety,Nova,0
cmp_04568,safety,Pulse,1
cmp_00585,coding,Astra,1
cmp_00585,coding,Pulse,0
cmp_03600,reasoning,Pulse,0
cmp_03600,reasoning,Zenith,1
cmp_01643,math,Orion,1
cmp_01643,math,Nimbus,0
cmp_00492,coding,Astra,1
cmp_00492,coding,Nova,0
cmp_01997,math,Astra,1
cmp_01997,math,Nimbus,0
cmp_00086,coding,Orion,0
cmp_00086,coding,Nova,1
cmp_00119,coding,Orion,0
cmp_00119,coding,Nova,1
cmp_03234,reasoning,Astra,1
cmp_03234,reasoning,Nimbus,0
cmp_01909,math,Astra,1
cmp_01909,math,Zenith,0
cmp_02070,math,Nova,1
cmp_02070,math,Pulse,0
cmp_02263,math,Nova,1
cmp_02263,math,Nimbus,0
cmp_02890,reasoning,Orion,1
cmp_02890,reasoning,Nimbus,0
cmp_01640,math,Orion,1
cmp_01640,math,Nimbus,0
cmp_03777,reasoning,Zenith,1
cmp_03777,reasoning,Nimbus,0
cmp_01693,math,Astra,1
cmp_01693,math,Nova,0
cmp_03260,reasoning,Astra,1
cmp_03260,reasoning,Nimbus,0
cmp_00654,coding,Astra,0
cmp_00654,coding,Zenith,1
cmp_03938,safety,Orion,1
cmp_03938,safety,Nova,0
cmp_03493,reasoning,Nova,1
cmp_03493,reasoning,Nimbus,0
cmp_04908,safety,Pulse,0
cmp_04908,safety,Nimbus,1
cmp_02759,reasoning,Orion,1
cmp_02759,reasoning,Pulse,0
cmp_03508,reasoning,Nova,1
cmp_03508,reasoning,Nimbus,0
cmp_03164,reasoning,Astra,1
cmp_03164,reasoning,Zenith,0
cmp_04924,safety,Pulse,1
cmp_04924,safety,Nimbus,0
cmp_01357,math,Orion,1
cmp_01357,math,Nova,0
cmp_00298,coding,Orion,0
cmp_00298,coding,Zenith,1
cmp_03203,reasoning,Astra,1
cmp_03203,reasoning,Nimbus,0
cmp_03801,safety,Orion,0
cmp_03801,safety,Astra,1
cmp_03894,safety,Orion,1
cmp_03894,safety,Nova,0
cmp_00795,coding,Nova,1
cmp_00795,coding,Pulse,0
cmp_02066,math,Nova,0
cmp_02066,math,Pulse,1
cmp_02331,math,Pulse,0
cmp_02331,math,Zenith,1
cmp_03035,reasoning,Astra,0
cmp_03035,reasoning,Pulse,1
cmp_00783,coding,Nova,1
cmp_00783,coding,Pulse,0
cmp_04335,safety,Astra,1
cmp_04335,safety,Pulse,0
cmp_01651,math,Orion,1
cmp_01651,math,Nimbus,0
cmp_01495,math,Orion,1
cmp_01495,math,Pulse,0
cmp_02343,math,Pulse,1
cmp_02343,math,Zenith,0
cmp_03701,reasoning,Zenith,1
cmp_03701,reasoning,Nimbus,0
cmp_00519,coding,Astra,1
cmp_00519,coding,Pulse,0
cmp_03971,safety,Orion,1
cmp_03971,safety,Pulse,0
cmp_03451,reasoning,Nova,1
cmp_03451,reasoning,Nimbus,0
cmp_04364,safety,Astra,1
cmp_04364,safety,Pulse,0
cmp_02927,reasoning,Orion,1
cmp_02927,reasoning,Nimbus,0
cmp_04474,safety,Astra,1
cmp_04474,safety,Nimbus,0
cmp_02127,math,Nova,1
cmp_02127,math,Zenith,0
cmp_04883,safety,Pulse,1
cmp_04883,safety,Nimbus,0
cmp_03058,reasoning,Astra,1
cmp_03058,reasoning,Pulse,0
cmp_04979,safety,Zenith,1
cmp_04979,safety,Nimbus,0
cmp_01799,math,Astra,1
cmp_01799,math,Pulse,0
cmp_04167,safety,Orion,1
cmp_04167,safety,Nimbus,0
cmp_04275,safety,Astra,1
cmp_04275,safety,Nova,0
cmp_04528,safety,Astra,0
cmp_04528,safety,Nimbus,1
cmp_02548,reasoning,Orion,1
cmp_02548,reasoning,Astra,0
cmp_01942,math,Astra,1
cmp_01942,math,Nimbus,0
cmp_01058,coding,Pulse,0
cmp_01058,coding,Zenith,1
cmp_04412,safety,Astra,1
cmp_04412,safety,Zenith,0
cmp_04584,safety,Nova,0
cmp_04584,safety,Pulse,1
cmp_00074,coding,Orion,1
cmp_00074,coding,Astra,0
cmp_04251,safety,Astra,0
cmp_04251,safety,Nova,1
cmp_01538,math,Orion,1
cmp_01538,math,Zenith,0
cmp_00126,coding,Orion,1
cmp_00126,coding,Nova,0
cmp_02944,reasoning,Astra,0
cmp_02944,reasoning,Nova,1
cmp_01897,math,Astra,0
cmp_01897,math,Zenith,1
cmp_00578,coding,Astra,1
cmp_00578,coding,Pulse,0
cmp_04009,safety,Orion,1
cmp_04009,safety,Pulse,0
cmp_01221,coding,Zenith,1
cmp_01221,coding,Nimbus,0
cmp_01939,math,Astra,1
cmp_01939,math,Nimbus,0
cmp_04112,safety,Orion,1
cmp_04112,safety,Zenith,0
cmp_02618,reasoning,Orion,1
cmp_02618,reasoning,Nova,0
cmp_02479,math,Zenith,0
cmp_02479,math,Nimbus,1
cmp_03645,reasoning,Pulse,1
cmp_03645,reasoning,Nimbus,0
cmp_03450,reasoning,Nova,0
cmp_03450,reasoning,Nimbus,1
cmp_00573,coding,Astra,0
cmp_00573,coding,Pulse,1
cmp_02231,math,Nova,0
cmp_02231,math,Nimbus,1
cmp_01130,coding,Pulse,0
cmp_01130,coding,Nimbus,1
cmp_01497,math,Orion,1
cmp_01497,math,Pulse,0
cmp_00023,coding,Orion,0
cmp_00023,coding,Astra,1
cmp_00406,coding,Orion,1
cmp_00406,coding,Nimbus,0
cmp_04690,safety,Nova,0
cmp_04690,safety,Zenith,1
cmp_00100,coding,Orion,0
cmp_00100,coding,Nova,1
cmp_03100,reasoning,Astra,1
cmp_03100,reasoning,Pulse,0
cmp_00881,coding,Nova,1
cmp_00881,coding,Zenith,0
cmp_02216,math,Nova,0
cmp_02216,math,Nimbus,1
cmp_02917,reasoning,Orion,0
cmp_02917,reasoning,Nimbus,1
cmp_01805,math,Astra,1
cmp_01805,math,Pulse,0
cmp_04013,safety,Orion,0
cmp_04013,safety,Pulse,1
cmp_01368,math,Orion,1
cmp_01368,math,Nova,0
cmp_02492,math,Zenith,1
cmp_02492,math,Nimbus,0
cmp_01013,coding,Pulse,1
cmp_01013,coding,Zenith,0
cmp_01978,math,Astra,0
cmp_01978,math,Nimbus,1
cmp_00903,coding,Nova,1
cmp_00903,coding,Zenith,0
cmp_03385,reasoning,Nova,1
cmp_03385,reasoning,Zenith,0
cmp_02530,reasoning,Orion,1
cmp_02530,reasoning,Astra,0
cmp_04928,safety,Pulse,1
cmp_04928,safety,Nimbus,0
cmp_00564,coding,Astra,0
cmp_00564,coding,Pulse,1
cmp_04752,safety,Nova,1
cmp_04752,safety,Nimbus,0
cmp_02301,math,Pulse,1
cmp_02301,math,Zenith,0
cmp_03209,reasoning,Astra,1
cmp_03209,reasoning,Nimbus,0
cmp_02801,reasoning,Orion,0
cmp_02801,reasoning,Zenith,1
cmp_00901,coding,Nova,0
cmp_00901,coding,Zenith,1
cmp_03623,reasoning,Pulse,1
cmp_03623,reasoning,Nimbus,0
cmp_03349,reasoning,Nova,1
cmp_03349,reasoning,Pulse,0
cmp_02667,reasoning,Orion,1
cmp_02667,reasoning,Nova,0
cmp_00801,coding,Nova,1
cmp_00801,coding,Pulse,0
cmp_02159,math,Nova,1
cmp_02159,math,Zenith,0
cmp_01138,coding,Pulse,1
cmp_01138,coding,Nimbus,0
cmp_04807,safety,Pulse,0
cmp_04807,safety,Zenith,1
cmp_01128,coding,Pulse,0
cmp_01128,coding,Nimbus,1
cmp_04063,safety,Orion,1
cmp_04063,safety,Zenith,0
cmp_00511,coding,Astra,1
cmp_00511,coding,Pulse,0
cmp_01074,coding,Pulse,1
cmp_01074,coding,Zenith,0
cmp_00469,coding,Astra,1
cmp_00469,coding,Nova,0
cmp_01226,coding,Zenith,1
cmp_01226,coding,Nimbus,0
cmp_01032,coding,Pulse,0
cmp_01032,coding,Zenith,1
cmp_03168,reasoning,Astra,1
cmp_03168,reasoning,Zenith,0
cmp_00947,coding,Nova,1
cmp_00947,coding,Nimbus,0
cmp_01829,math,Astra,1
cmp_01829,math,Pulse,0
cmp_04149,safety,Orion,1
cmp_04149,safety,Nimbus,0
cmp_00273,coding,Orion,1
cmp_00273,coding,Zenith,0
cmp_02557,reasoning,Orion,0
cmp_02557,reasoning,Astra,1
cmp_02495,math,Zenith,1
cmp_02495,math,Nimbus,0
cmp_02824,reasoning,Orion,0
cmp_02824,reasoning,Zenith,1
cmp_00741,coding,Astra,1
cmp_00741,coding,Nimbus,0
cmp_03982,safety,Orion,0
cmp_03982,safety,Pulse,1
cmp_00656,coding,Astra,1
cmp_00656,coding,Zenith,0
cmp_01213,coding,Zenith,1
cmp_01213,coding,Nimbus,0
cmp_01818,math,Astra,0
cmp_01818,math,Pulse,1
cmp_03505,reasoning,Nova,0
cmp_03505,reasoning,Nimbus,1
cmp_03403,reasoning,Nova,0
cmp_03403,reasoning,Zenith,1
cmp_00390,coding,Orion,1
cmp_00390,coding,Nimbus,0
cmp_00543,coding,Astra,1
cmp_00543,coding,Pulse,0
cmp_01933,math,Astra,1
cmp_01933,math,Nimbus,0
cmp_01661,math,Orion,0
cmp_01661,math,Nimbus,1
cmp_02578,reasoning,Orion,1
cmp_02578,reasoning,Astra,0
cmp_02487,math,Zenith,1
cmp_02487,math,Nimbus,0
cmp_04712,safety,Nova,1
cmp_04712,safety,Nimbus,0
cmp_04574,safety,Nova,1
cmp_04574,safety,Pulse,0
cmp_03809,safety,Orion,0
cmp_03809,safety,Astra,1
cmp_02194,math,Nova,1
cmp_02194,math,Nimbus,0
cmp_00412,coding,Orion,1
cmp_00412,coding,Nimbus,0
cmp_00885,coding,Nova,1
cmp_00885,coding,Zenith,0
cmp_04456,safety,Astra,1
cmp_04456,safety,Nimbus,0
cmp_02511,math,Zenith,1
cmp_02511,math,Nimbus,0
cmp_00975,coding,Nova,1
cmp_00975,coding,Nimbus,0
cmp_02501,math,Zenith,0
cmp_02501,math,Nimbus,1
cmp_04529,safety,Astra,1
cmp_04529,safety,Nimbus,0
cmp_04041,safety,Orion,1
cmp_04041,safety,Zenith,0
cmp_00814,coding,Nova,1
cmp_00814,coding,Pulse,0
cmp_03816,safety,Orion,1
cmp_03816,safety,Astra,0
cmp_00508,coding,Astra,1
cmp_00508,coding,Pulse,0
cmp_04037,safety,Orion,1
cmp_04037,safety,Zenith,0
cmp_01908,math,Astra,1
cmp_01908,math,Zenith,0
cmp_02311,math,Pulse,1
cmp_02311,math,Zenith,0
cmp_02544,reasoning,Orion,0
cmp_02544,reasoning,Astra,1
cmp_02915,reasoning,Orion,0
cmp_02915,reasoning,Nimbus,1
cmp_00673,coding,Astra,1
cmp_00673,coding,Nimbus,0
cmp_01879,math,Astra,0
cmp_01879,math,Zenith,1
cmp_03830,safety,Orion,1
cmp_03830,safety,Astra,0
cmp_01502,math,Orion,1
cmp_01502,math,Pulse,0
cmp_03910,safety,Orion,1
cmp_03910,safety,Nova,0
cmp_02717,reasoning,Orion,1
cmp_02717,reasoning,Pulse,0
cmp_04038,safety,Orion,1
cmp_04038,safety,Zenith,0
cmp_00828,coding,Nova,0
cmp_00828,coding,Pulse,1
cmp_02135,math,Nova,0
cmp_02135,math,Zenith,1
cmp_03852,safety,Orion,1
cmp_03852,safety,Astra,0
cmp_01094,coding,Pulse,1
cmp_01094,coding,Nimbus,0
cmp_02852,reasoning,Orion,1
cmp_02852,reasoning,Zenith,0
cmp_02255,math,Nova,1
cmp_02255,math,Nimbus,0
cmp_04361,safety,Astra,0
cmp_04361,safety,Pulse,1
cmp_03849,safety,Orion,0
cmp_03849,safety,Astra,1
cmp_02058,math,Nova,0
cmp_02058,math,Pulse,1
cmp_02811,reasoning,Orion,1
cmp_02811,reasoning,Zenith,0
cmp_00399,coding,Orion,1
cmp_00399,coding,Nimbus,0
cmp_04106,safety,Orion,1
cmp_04106,safety,Zenith,0
cmp_04767,safety,Nova,0
cmp_04767,safety,Nimbus,1
cmp_03883,safety,Orion,1
cmp_03883,safety,Nova,0
cmp_00642,coding,Astra,1
cmp_00642,coding,Zenith,0
cmp_01168,coding,Pulse,0
cmp_01168,coding,Nimbus,1
cmp_03892,safety,Orion,1
cmp_03892,safety,Nova,0
cmp_02086,math,Nova,0
cmp_02086,math,Pulse,1
cmp_03916,safety,Orion,0
cmp_03916,safety,Nova,1
cmp_03015,reasoning,Astra,0
cmp_03015,reasoning,Nova,1
cmp_01896,math,Astra,0
cmp_01896,math,Zenith,1
cmp_03245,reasoning,Astra,1
cmp_03245,reasoning,Nimbus,0
cmp_03747,reasoning,Zenith,0
cmp_03747,reasoning,Nimbus,1
cmp_02563,reasoning,Orion,1
cmp_02563,reasoning,Astra,0
cmp_00571,coding,Astra,0
cmp_00571,coding,Pulse,1
cmp_03151,reasoning,Astra,1
cmp_03151,reasoning,Zenith,0
cmp_00984,coding,Nova,0
cmp_00984,coding,Nimbus,1
cmp_02709,reasoning,Orion,1
cmp_02709,reasoning,Pulse,0
cmp_01127,coding,Pulse,0
cmp_01127,coding,Nimbus,1
cmp_03059,reasoning,Astra,1
cmp_03059,reasoning,Pulse,0
cmp_00933,coding,Nova,0
cmp_00933,coding,Nimbus,1
cmp_01830,math,Astra,1
cmp_01830,math,Pulse,0
cmp_01493,math,Orion,1
cmp_01493,math,Pulse,0
cmp_04074,safety,Orion,0
cmp_04074,safety,Zenith,1
cmp_03049,reasoning,Astra,0
cmp_03049,reasoning,Pulse,1
cmp_00610,coding,Astra,1
cmp_00610,coding,Zenith,0
cmp_03081,reasoning,Astra,0
cmp_03081,reasoning,Pulse,1
cmp_00787,coding,Nova,1
cmp_00787,coding,Pulse,0
cmp_02807,reasoning,Orion,1
cmp_02807,reasoning,Zenith,0
cmp_02982,reasoning,Astra,0
cmp_02982,reasoning,Nova,1
cmp_03906,safety,Orion,1
cmp_03906,safety,Nova,0
cmp_01231,coding,Zenith,1
cmp_01231,coding,Nimbus,0
cmp_03724,reasoning,Zenith,1
cmp_03724,reasoning,Nimbus,0
cmp_03591,reasoning,Pulse,0
cmp_03591,reasoning,Zenith,1
cmp_02218,math,Nova,1
cmp_02218,math,Nimbus,0
cmp_03666,reasoning,Pulse,1
cmp_03666,reasoning,Nimbus,0
cmp_04932,safety,Pulse,1
cmp_04932,safety,Nimbus,0
cmp_04495,safety,Astra,1
cmp_04495,safety,Nimbus,0
cmp_03400,reasoning,Nova,1
cmp_03400,reasoning,Zenith,0
cmp_02387,math,Pulse,0
cmp_02387,math,Nimbus,1
cmp_01527,math,Orion,1
cmp_01527,math,Zenith,0
cmp_01445,math,Orion,1
cmp_01445,math,Pulse,0
cmp_01838,math,Astra,1
cmp_01838,math,Pulse,0
cmp_04727,safety,Nova,1
cmp_04727,safety,Nimbus,0
cmp_04921,safety,Pulse,1
cmp_04921,safety,Nimbus,0
cmp_03674,reasoning,Pulse,1
