season_tag,round_tag,race_name,track_type,Lando_Norris,Max_Verstappen,Oscar_Piastri,George_Russell,Charles_Leclerc,Lewis_Hamilton,Andrea_Kimi_Antonelli,Alexander_Albon,Carlos_Sainz,Fernando_Alonso,Nico_Hulkenberg,Isack_Hadjar,Oliver_Bearman,Liam_Lawson,Esteban_Ocon,Lance_Stroll,Yuki_Tsunoda,Pierre_Gasly,Gabriel_Bortoleto,Franco_Colapinto,Jack_Doohan
S2025,R01,Australian Grand Prix,temporary_non_street,1.0,2.0,9.0,3.0,8.0,10.0,4.0,5.0,18.0,17.0,7.0,20.0,14.0,15.0,13.0,6.0,12.0,11.0,16.0,,19.0
S2025,R02,Chinese Grand Prix,permanent,2.0,4.0,1.0,3.0,18.0,19.0,6.0,7.0,10.0,17.0,15.0,11.0,8.0,12.0,5.0,9.0,16.0,20.0,14.0,,13.0
S2025,R03,Japanese Grand Prix,permanent,2.0,1.0,3.0,5.0,4.0,7.0,6.0,9.0,14.0,11.0,16.0,8.0,10.0,17.0,18.0,20.0,12.0,13.0,19.0,,15.0
S2025,R04,Bahrain Grand Prix,permanent,3.0,6.0,1.0,2.0,4.0,5.0,11.0,12.0,19.0,15.0,20.0,13.0,10.0,16.0,8.0,17.0,9.0,7.0,18.0,,14.0
S2025,R05,Saudi Arabian Grand Prix,street,4.0,2.0,1.0,5.0,3.0,7.0,6.0,9.0,8.0,11.0,15.0,10.0,13.0,12.0,14.0,16.0,19.0,20.0,18.0,,17.0
S2025,R06,Miami Grand Prix,temporary_non_street,2.0,4.0,1.0,3.0,7.0,8.0,6.0,5.0,9.0,15.0,14.0,11.0,19.0,17.0,12.0,16.0,10.0,13.0,18.0,,20.0
S2025,R07,Emilia Romagna Grand Prix,permanent,2.0,1.0,3.0,7.0,6.0,4.0,19.0,5.0,8.0,11.0,12.0,9.0,17.0,14.0,20.0,15.0,10.0,13.0,18.0,16.0,
S2025,R08,Monaco Grand Prix,street,1.0,4.0,3.0,11.0,2.0,5.0,18.0,9.0,10.0,19.0,16.0,6.0,12.0,8.0,7.0,15.0,17.0,20.0,14.0,13.0,
S2025,R09,Spanish Grand Prix,permanent,2.0,10.0,1.0,4.0,3.0,6.0,18.0,19.0,14.0,9.0,5.0,7.0,17.0,11.0,16.0,,13.0,8.0,12.0,15.0,
S2025,R10,Canadian Grand Prix,temporary_non_street,18.0,2.0,4.0,1.0,5.0,6.0,3.0,20.0,10.0,7.0,8.0,16.0,11.0,19.0,9.0,17.0,12.0,15.0,14.0,13.0,
S2025,R11,Austrian Grand Prix,permanent,1.0,18.0,2.0,5.0,3.0,4.0,19.0,17.0,20.0,7.0,9.0,12.0,11.0,6.0,10.0,14.0,16.0,13.0,8.0,15.0,
S2025,R12,British Grand Prix,permanent,1.0,5.0,2.0,10.0,14.0,4.0,16.0,8.0,12.0,9.0,3.0,17.0,11.0,19.0,13.0,7.0,15.0,6.0,18.0,20.0,
S2025,R13,Belgian Grand Prix,permanent,2.0,4.0,1.0,5.0,3.0,7.0,16.0,6.0,18.0,17.0,12.0,20.0,11.0,8.0,15.0,14.0,13.0,10.0,9.0,19.0,
S2025,R14,Hungarian Grand Prix,permanent,1.0,9.0,2.0,3.0,4.0,12.0,10.0,15.0,14.0,5.0,13.0,11.0,20.0,8.0,16.0,7.0,17.0,19.0,6.0,18.0,
S2025,R15,Dutch Grand Prix,permanent,18.0,2.0,1.0,4.0,19.0,20.0,16.0,5.0,13.0,8.0,14.0,3.0,6.0,12.0,10.0,7.0,9.0,17.0,15.0,11.0,
S2025,R16,Italian Grand Prix,permanent,2.0,1.0,3.0,5.0,4.0,6.0,9.0,7.0,11.0,19.0,20.0,10.0,12.0,14.0,15.0,18.0,13.0,16.0,8.0,17.0,
S2025,R17,Azerbaijan Grand Prix,street,7.0,1.0,20.0,2.0,9.0,8.0,4.0,13.0,3.0,15.0,16.0,10.0,12.0,5.0,14.0,17.0,6.0,18.0,11.0,19.0,
S2025,R18,Singapore Grand Prix,street,3.0,2.0,4.0,1.0,6.0,8.0,5.0,14.0,10.0,7.0,20.0,11.0,9.0,15.0,18.0,13.0,12.0,19.0,17.0,16.0,
S2025,R19,United States Grand Prix,permanent,2.0,1.0,5.0,6.0,3.0,4.0,13.0,14.0,20.0,10.0,8.0,16.0,9.0,11.0,15.0,12.0,7.0,19.0,18.0,17.0,
S2025,R20,Mexico City Grand Prix,permanent,1.0,3.0,5.0,7.0,2.0,8.0,6.0,12.0,17.0,18.0,19.0,13.0,4.0,20.0,9.0,14.0,11.0,15.0,10.0,16.0,
S2025,R21,São Paulo Grand Prix,permanent,1.0,3.0,5.0,4.0,19.0,18.0,2.0,11.0,13.0,14.0,9.0,8.0,6.0,7.0,12.0,16.0,17.0,10.0,20.0,15.0,
S2025,R22,Las Vegas Grand Prix,street,19.0,1.0,20.0,2.0,4.0,8.0,3.0,16.0,5.0,11.0,7.0,6.0,10.0,14.0,9.0,18.0,12.0,13.0,17.0,15.0,
S2025,R23,Qatar Grand Prix,permanent,4.0,1.0,2.0,6.0,8.0,12.0,5.0,11.0,3.0,7.0,20.0,18.0,19.0,9.0,15.0,17.0,10.0,16.0,13.0,14.0,
S2025,R24,Abu Dhabi Grand Prix,permanent,3.0,1.0,2.0,5.0,4.0,8.0,15.0,16.0,13.0,6.0,9.0,17.0,12.0,18.0,7.0,10.0,14.0,19.0,11.0,20.0,
