match_id,domain,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
match_0001,coding,Alpha,Gamma,Beta,Delta,Epsilon,Zeta
match_0002,math,Alpha,Beta,Epsilon,Delta,Zeta,Gamma
match_0003,reasoning,Gamma,Delta,Alpha,Zeta,Beta,Epsilon
match_0004,safety,Alpha,Delta,Beta,Epsilon,Gamma,Zeta
match_0005,coding,Epsilon,Alpha,Delta,Gamma,Zeta,Beta
match_0006,math,Delta,Gamma,Beta,Zeta,Epsilon,Alpha
match_0007,reasoning,Epsilon,Beta,Alpha,Delta,Zeta,Gamma
match_0008,safety,Alpha,Beta,Epsilon,Gamma,Delta,Zeta
match_0009,coding,Alpha,Epsilon,Gamma,Beta,Delta,Zeta
match_0010,math,Zeta,Alpha,Beta,Epsilon,Delta,Gamma
match_0011,reasoning,Alpha,Gamma,Epsilon,Zeta,Delta,Beta
match_0012,safety,Delta,Gamma,Alpha,Beta,Epsilon,Zeta
match_0013,coding,Beta,Alpha,Gamma,Zeta,Delta,Epsilon
match_0014,math,Gamma,Beta,Zeta,Alpha,Delta,Epsilon
match_0015,reasoning,Beta,Alpha,Gamma,Delta,Zeta,Epsilon
match_0016,safety,Delta,Alpha,Beta,Gamma,Zeta,Epsilon
match_0017,coding,Alpha,Gamma,Beta,Epsilon,Delta,Zeta
match_0018,math,Beta,Delta,Epsilon,Alpha,Gamma,Zeta
match_0019,reasoning,Gamma,Alpha,Beta,Delta,Epsilon,Zeta
match_0020,safety,Gamma,Alpha,Beta,Delta,Epsilon,Zeta
match_0021,coding,Beta,Alpha,Gamma,Zeta,Delta,Epsilon
match_0022,math,Beta,Delta,Gamma,Zeta,Alpha,Epsilon
match_0023,reasoning,Delta,Gamma,Epsilon,Beta,Alpha,Zeta
match_0024,safety,Epsilon,Alpha,Delta,Gamma,Beta,Zeta
match_0025,coding,Alpha,Beta,Delta,Gamma,Zeta,Epsilon
match_0026,math,Alpha,Gamma,Beta,Epsilon,Delta,Zeta
match_0027,reasoning,Alpha,Delta,Beta,Gamma,Epsilon,Zeta
match_0028,safety,Alpha,Delta,Zeta,Gamma,Epsilon,Beta
match_0029,coding,Beta,Alpha,Gamma,Epsilon,Delta,Zeta
match_0030,math,Alpha,Delta,Gamma,Epsilon,Beta,Zeta
match_0031,reasoning,Beta,Alpha,Delta,Gamma,Epsilon,Zeta
match_0032,safety,Beta,Gamma,Delta,Zeta,Alpha,Epsilon
match_0033,coding,Delta,Beta,Alpha,Gamma,Zeta,Epsilon
match_0034,math,Beta,Epsilon,Gamma,Alpha,Zeta,Delta
