Phenotype,C+T,SCT,LDpred,LDpred2,LDpred2-auto,LDpred2-inf,LDpred-funct,AnnoPred,lassosum,lassosum2,PRS-CS,PRS-CS-auto,SBayesR,DBSLMM
Asthma,,,,,,,0.543,,0.535,,0.547,,,
Asthma,,,,,,,0.566,,0.541,,0.564,,,
BrCa,,,,,,,0.58,,0.586,,0.582,,,
BrCa,,,,,,,0.525,,0.576,,0.557,,,
CAD,,,,,,,0.559,,0.557,,0.559,,,
CAD,,,,,,,0.571,,0.545,,0.574,,,
Cataract,,,,,,,0.523,,0.512,,0.516,,,
Cataract,,,,,,,0.511,,0.4,,0.508,,,
Gastric Cancer,,,,,,,0.569,,0.598,,0.59,,,
Gastric Cancer,,,,,,,0.4,,0.519,,0.4,,,
Glaucoma,,,,,,,0.569,,0.571,,0.57,,,
Glaucoma,,,,,,,0.577,,0.561,,0.574,,,
Hyperthyroidism,,,,,,,0.558,,0.56,,0.563,,,
Hyperthyroidism,,,,,,,0.531,,0.509,,0.551,,,
Hypothyroidism,,,,,,,0.555,,0.562,,0.553,,,
Hypothyroidism,,,,,,,0.574,,0.547,,0.593,,,
Osteoporosis,,,,,,,0.524,,0.515,,0.52,,,
Osteoporosis,,,,,,,0.534,,0.536,,0.531,,,
T2D,,,,,,,0.643,,0.66,,0.669,,,
T2D,,,,,,,0.592,,0.585,,0.624,,,
Alz,0.58,,,,,,,,,0.58,0.59,,,
Alz,0.59,,,,,,,,,0.6,0.59,,,
Alz,0.59,,,,,,,,,0.59,0.59,,,
T1B,0.72,0.67,,0.67,0.71,0.66,,,0.71,,0.68,,0.71,0.69
QU,0.66,0.66,,0.66,0.62,0.66,,,0.66,,0.57,,0.65,0.65
HT,0.65,0.64,,0.64,0.62,0.64,,,0.65,,0.6,,0.64,0.63
TA,0.72,0.65,,0.67,0.7,0.67,,,0.7,,0.68,,0.67,0.67
SS,0.62,0.61,,0.61,0.61,0.61,,,0.61,,0.57,,0.6,0.61
MY,0.76,0.73,,0.73,0.74,0.73,,,0.74,,0.73,,0.72,0.72
ES,0.6,0.59,,0.6,0.59,0.6,,,0.6,,0.56,,0.59,0.59
SAF,0.59,0.58,,0.58,0.59,0.58,,,0.59,,0.55,,0.58,0.58
MP,0.58,0.58,,0.58,0.55,0.58,,,0.58,,0.52,,0.58,0.58
AS,0.63,0.61,,0.61,0.58,0.6,,,0.62,,0.58,,0.6,0.6
DFI,0.6,0.6,,0.6,0.6,0.6,,,0.6,,0.58,,0.59,0.6
SN,0.64,0.64,,0.64,0.63,0.63,,,0.63,,0.61,,0.63,0.63
TE,0.59,0.59,,0.59,0.57,0.59,,,0.59,,0.54,,0.59,0.58
AN,0.69,0.68,,0.68,0.66,0.67,,,0.68,,0.66,,0.67,0.68
HA,0.6,0.6,,0.6,0.58,0.59,,,0.6,,0.58,,0.59,0.59
CAD,0.72,0.72,,0.72,0.71,0.72,,,0.72,,0.69,,0.72,0.71
PRCA,0.64,0.59,,0.59,0.63,0.57,,,0.65,,0.61,,0.64,0.6
GO,0.8,0.78,,0.78,0.79,0.78,,,0.8,,0.79,,0.8,0.78
FFI,0.62,0.63,,0.63,0.62,0.62,,,0.62,,0.6,,0.62,0.62
T2D,0.68,0.65,,0.66,0.65,0.65,,,0.67,,0.63,,0.65,0.65
VMS,0.57,0.57,,0.57,0.57,0.57,,,0.57,,0.55,,0.57,0.57
MDD,0.58,0.59,,0.59,0.58,0.58,,,0.59,,0.56,,0.58,0.58
BRCA,0.6,0.57,,0.57,0.59,0.57,,,0.6,,0.59,,0.6,0.59
RA,0.62,0.61,,0.62,0.58,0.61,,,0.63,,0.62,,0.62,0.61
OA,0.58,0.58,,0.58,0.57,0.58,,,0.58,,0.57,,0.58,0.58
SH,0.26,0.3,,0.3,0.26,0.26,,,0.31,,0.21,,0.16,0.3
BMD,0.13,0.16,,0.17,0.12,0.12,,,0.16,,0.16,,0.1,0.16
HDL,0.13,0.17,,0.17,0.13,0.13,,,0.16,,0.1,,0.13,0.18
BMR,0.12,0.15,,0.16,0.14,0.14,,,0.15,,0.11,,0.07,0.16
PLT,0.16,0.2,,0.2,0.14,0.15,,,0.2,,0.12,,0.13,0.2
BMI,0.09,0.11,,0.12,0.11,0.11,,,0.12,,0.09,,0.06,0.12
BFP,0.08,0.1,,0.1,0.1,0.1,,,0.1,,0.07,,0.05,0.1
AM,0.06,0.06,,0.05,0.05,0.05,,,0.06,,0.06,,0.05,0.06
HC,0.08,0.1,,0.1,0.1,0.1,,,0.1,,0.08,,0.05,0.1
RBC,0.12,0.14,,0.15,0.11,0.11,,,0.14,,0.09,,0.08,0.14
TFP,0.08,0.09,,0.09,0.09,0.09,,,0.09,,0.07,,0.05,0.1
RDW,0.11,0.13,,0.14,0.09,0.09,,,0.12,,0.07,,0.1,0.12
WC,0.06,0.08,,0.09,0.08,0.09,,,0.09,,0.07,,0.04,0.09
EOS,0.1,0.12,,0.12,0.08,0.08,,,0.11,,0.07,,0.08,0.11
TG,0.08,0.11,,0.11,0.08,0.09,,,0.1,,0.07,,0.08,0.1
WBC,0.08,0.11,,0.11,0.09,0.09,,,0.09,,0.06,,0.05,0.09
FVC,0.07,0.08,,0.09,0.08,0.08,,,0.08,,0.07,,0.04,0.09
FFR,0.07,0.09,,0.1,0.08,0.08,,,0.09,,0.06,,0.05,0.08
FEV,0.06,0.07,,0.07,0.06,0.07,,,0.07,,0.05,,0.04,0.07
WHR,0.06,0.07,,0.07,0.06,0.06,,,0.07,,0.06,,0.04,0.07
SBP,0.03,0.04,,0.05,0.04,0.04,,,0.05,,0.04,,0.03,0.05
TC,0.07,0.09,,0.08,0.05,0.05,,,0.08,,0.06,,0.08,0.09
LDL,0.07,0.09,,0.08,0.05,0.05,,,0.08,,0.05,,0.08,0.09
BW,0.03,0.04,,0.04,0.03,0.03,,,0.04,,0.04,,0.02,0.04
SU,0.01,0.01,,0.02,0.02,0.02,,,0.02,,0.02,,0.01,0.02
Crohns Disease,,,0.661,,,,,0.68,,,,,,
Celiac Disease,,,0.58,,,,,0.585,,,,,,
T2D,,,0.618,,,,,0.62,,,,,,
Bladder Cancer,0.5614,,,0.5632,,,,0.556,,,0.536,,,
Breast Cancer,0.5876,,,0.654,,,,0.6112,,,0.6514,,,
Colorectal Cancer,0.555,,,0.5672,,,,0.564,,,0.5456,,,
Kidney Cancer,0.5426,,,0.54,,,,0.547,,,0.5234,,,
Lung Cancer,0.5708,,,0.5866,,,,0.575,,,0.5774,,,
Ovary Cancer,0.517,,,0.5174,,,,0.5364,,,0.5228,,,
Pancreas Cancer,0.5358,,,0.5426,,,,0.5488,,,0.535,,,
Prostate Cancer,0.66,,,0.6684,,,,0.66,,,0.6802,,,
AD,0.1536,,,,0.1572,,0.1642,,0.1474,,0.1616,0.1343,,
SCZ,0.0704,,,,0.0716,,0.0718,,0.0646,,0.0715,0.0717,,
BIP,0.0189,,,,0.0539,,0.0526,,0.0466,,0.0507,0.0538,,
Hyptertension,0.1445,,,,0.1585,,0.1662,,0.1497,,0.166,0.1591,,
T2D,0.0644,,,,0.0719,,0.0796,,0.0728,,0.0795,0.0714,,
Asthma,0.565,0.574,,0.583,,,,,,0.577,0.576,,,
Asthma,0.561,0.587,,0.584,,,,,,0.579,0.583,,,
Asthma,0.575,0.596,,0.601,,,,,,0.599,0.597,,,
CAD,0.579,0.613,,0.614,,,,,,0.595,0.615,,,
CAD,0.572,0.591,,0.622,,,,,,0.6,0.604,,,
CAD,0.575,0.597,,0.615,,,,,,0.609,0.606,,,
T2D,0.628,0.651,,0.678,,,,,,0.669,0.678,,,
T2D,0.629,0.651,,0.664,,,,,,0.652,0.659,,,
