workload_id,scenario,latency_alpha,latency_beta,latency_gamma,latency_delta,latency_epsilon,latency_zeta
workload_0001,short_context,99.697,93.306,94.134,89.665,103.523,100.545
workload_0002,medium_context,95.985,103.306,106.749,97.823,98.792,105.81
workload_0003,long_context,105.292,108.824,108.645,106.599,93.263,114.772
workload_0004,tool_heavy,106.146,121.674,112.972,104.205,110.771,116.995
workload_0005,short_context,94.623,102.167,95.878,92.702,91.96,93.605
workload_0006,medium_context,101.382,97.325,98.615,102.163,99.106,107.266
workload_0007,long_context,107.374,108.588,113.358,104.71,112.869,109.01
workload_0008,tool_heavy,103.756,111.006,119.613,115.013,115.654,120.465
workload_0009,short_context,95.582,94.221,93.207,97.938,94.803,94.793
workload_0010,medium_context,94.408,98.925,101.162,103.109,109.043,107.576
workload_0011,long_context,97.546,99.639,105.81,106.826,110.457,108.699
workload_0012,tool_heavy,114.789,113.912,113.31,105.047,107.613,122.367
workload_0013,short_context,97.119,92.604,94.924,91.574,93.34,100.896
workload_0014,medium_context,107.309,94.299,97.123,95.058,107.134,97.315
workload_0015,long_context,103.68,108.223,112.582,102.78,105.593,112.235
workload_0016,tool_heavy,110.312,105.826,119.16,117.013,113.963,119.655
workload_0017,short_context,99.83,94.839,95.541,99.629,97.948,102.296
workload_0018,medium_context,92.05,99.12,102.535,102.148,108.864,98.659
workload_0019,long_context,108.02,103.222,104.478,102.701,112.136,112.802
workload_0020,tool_heavy,110.019,109.342,121.116,110.639,118.178,115.905
workload_0021,short_context,94.383,93.636,94.111,94.158,101.962,97.903
workload_0022,medium_context,96.68,107.493,103.639,108.46,109.277,111.145
workload_0023,long_context,110.313,112.667,111.053,117.07,105.437,107.733
workload_0024,tool_heavy,110.868,108.651,113.469,106.622,116.334,121.622
workload_0025,short_context,90.213,100.719,92.941,87.651,96.994,103.869
workload_0026,medium_context,96.807,104.143,105.752,98.083,104.199,94.118
workload_0027,long_context,104.753,104.536,101.418,110.937,106.493,117.297
workload_0028,tool_heavy,122.664,111.261,120.902,111.964,106.28,114.923
workload_0029,short_context,89.954,95.152,94.323,95.612,107.45,103.36
workload_0030,medium_context,98.668,103.891,100.173,98.978,105.23,101.085
workload_0031,long_context,111.404,110.947,110.464,107.584,110.521,99.422
workload_0032,tool_heavy,115.09,103.906,116.357,110.346,117.363,124.059
workload_0033,short_context,92.76,89.838,90.62,96.995,94.856,108.319
workload_0034,medium_context,99.968,106.351,97.749,104.897,105.446,105.023
workload_0035,long_context,107.098,111.424,107.741,102.953,110.143,110.973
workload_0036,tool_heavy,102.659,107.008,111.386,117.403,114.406,116.039
workload_0037,short_context,88.344,88.904,93.992,103.465,89.804,100.138
workload_0038,medium_context,96.608,102.659,100.511,97.813,104.315,93.042
workload_0039,long_context,113.207,112.228,104.712,105.903,116.732,112.483
workload_0040,tool_heavy,119.031,106.612,120.856,111.606,116.396,112.743
workload_0041,short_context,93.442,92.403,101.048,102.064,100.659,101.585
workload_0042,medium_context,89.503,106.118,104.109,98.258,99.174,102.645
workload_0043,long_context,107.18,117.671,104.038,109.39,107.626,100.496
workload_0044,tool_heavy,113.299,114.47,117.437,117.082,112.223,116.732
workload_0045,short_context,93.776,103.563,95.041,83.161,98.722,95.211
workload_0046,medium_context,96.608,97.728,93.14,102.506,100.883,97.827
workload_0047,long_context,103.041,104.998,105.272,111.137,107.212,115.933
workload_0048,tool_heavy,109.32,111.792,109.405,117.494,117.449,114.416
workload_0049,short_context,97.444,89.372,101.599,96.369,99.646,94.917
workload_0050,medium_context,100.409,102.3,102.376,103.615,105.368,104.054
workload_0051,long_context,100.126,108.352,110.202,103.326,106.861,113.348
workload_0052,tool_heavy,113.66,105.044,111.444,106.14,113.439,111.307
workload_0053,short_context,96.264,104.2,92.858,97.718,100.751,98.418
workload_0054,medium_context,99.64,103.403,102.322,105.43,100.502,101.781
workload_0055,long_context,105.756,116.868,100.129,102.655,107.837,113.881
workload_0056,tool_heavy,109.726,115.987,117.272,125.168,112.8,109.633
workload_0057,short_context,92.697,93.612,90.031,93.321,89.103,100.015
workload_0058,medium_context,97.666,109.755,109.528,101.614,104.248,104.506
workload_0059,long_context,109.589,114.169,108.06,105.164,109.924,114.499
workload_0060,tool_heavy,112.963,110.774,115.591,120.519,111.325,107.428
workload_0061,short_context,98.638,98.938,89.625,95.647,89.678,99.935
workload_0062,medium_context,89.06,96.456,103.833,104.936,103.715,104.968
workload_0063,long_context,96.921,101.989,104.916,109.161,107.134,115.329
workload_0064,tool_heavy,111.262,114.096,112.266,117.354,116.693,114.27
workload_0065,short_context,98.231,92.299,97.384,93.275,93.958,96.313
workload_0066,medium_context,89.745,106.26,98.072,99.954,104.855,104.619
workload_0067,long_context,95.782,102.566,100.867,106.206,101.15,104.271
workload_0068,tool_heavy,116.507,108.601,117.858,109.53,112.856,113.674
workload_0069,short_context,90.54,97.213,89.563,99.133,98.875,96.769
workload_0070,medium_context,99.731,103.833,105.485,103.215,104.395,109.277
workload_0071,long_context,107.978,110.593,101.558,108.797,106.901,115.297
workload_0072,tool_heavy,112.51,112.716,114.927,115.263,113.792,120.329
workload_0073,short_context,90.291,93.52,91.437,91.797,97.573,97.271
workload_0074,medium_context,102.222,100.771,101.824,97.506,104.946,96.385
workload_0075,long_context,103.393,109.389,103.364,105.935,104.859,102.549
workload_0076,tool_heavy,108.677,115.549,113.006,117.138,115.808,108.869
workload_0077,short_context,91.47,91.974,95.772,93.92,96.366,94.018
workload_0078,medium_context,98.501,100.999,93.92,102.544,97.241,109.303
workload_0079,long_context,109.999,102.512,112.417,108.452,116.243,111.128
workload_0080,tool_heavy,102.962,112.027,107.236,117.96,117.402,116.489
workload_0081,short_context,87.574,93.786,95.883,90.35,99.272,101.627
workload_0082,medium_context,99.162,93.32,98.316,101.983,105.921,103.662
workload_0083,long_context,102.695,105.607,105.6,109.832,109.735,102.914
workload_0084,tool_heavy,107.539,112.283,113.314,107.092,116.539,115.33
workload_0085,short_context,89.282,95.913,95.827,90.928,105.119,90.834
workload_0086,medium_context,90.317,93.863,98.733,98.621,102.125,99.274
workload_0087,long_context,99.89,101.23,114.524,106.954,109.926,110.35
workload_0088,tool_heavy,108.698,108.54,107.053,110.891,115.266,122.236
workload_0089,short_context,95.367,94.155,102.975,104.33,97.579,96.533
workload_0090,medium_context,97.711,92.65,105.01,104.226,110.472,106.066
workload_0091,long_context,110.972,113.063,111.519,108.931,106.828,110.028
workload_0092,tool_heavy,109.903,113.55,117.972,117.067,119.041,118.257
workload_0093,short_context,93.682,88.219,93.994,100.059,102.663,103.924
workload_0094,medium_context,105.296,106.303,94.363,98.429,101.77,110.68
workload_0095,long_context,105.989,105.456,107.464,104.861,108.654,97.34
workload_0096,tool_heavy,104.995,111.306,119.026,114.798,111.639,112.478
workload_0097,short_context,97.322,92.419,94.444,98.793,107.757,99.754
workload_0098,medium_context,100.556,97.407,107.879,105.622,107.814,103.829
workload_0099,long_context,99.395,101.112,103.27,110.899,109.578,117.234
workload_0100,tool_heavy,111.035,115.732,111.604,108.156,119.87,114.235
workload_0101,short_context,84.493,95.991,93.542,103.279,101.273,98.565
workload_0102,medium_context,102.07,95.253,100.036,105.871,104.602,105.087
workload_0103,long_context,107.196,103.387,99.12,107.672,109.735,114.287
workload_0104,tool_heavy,103.504,118.654,104.153,114.937,112.871,123.182
workload_0105,short_context,97.989,95.352,93.482,89.023,88.482,93.82
workload_0106,medium_context,94.891,97.734,97.968,100.497,101.746,102.073
workload_0107,long_context,109.734,104.812,106.963,112.783,107.697,111.758
workload_0108,tool_heavy,114.056,109.822,115.687,113.021,116.969,116.993
workload_0109,short_context,89.052,95.198,85.742,93.399,108.086,93.159
workload_0110,medium_context,98.284,97.537,98.067,105.434,94.694,108.505
workload_0111,long_context,101.985,102.951,104.101,102.778,110.339,110.411
workload_0112,tool_heavy,107.528,120.012,117.888,104.178,110.208,115.928
workload_0113,short_context,91.627,94.32,106.087,104.723,96.006,95.191
workload_0114,medium_context,105.53,104.899,105.188,101.258,104.57,111.025
workload_0115,long_context,108.572,104.979,101.822,117.105,114.899,107.475
workload_0116,tool_heavy,103.158,108.411,111.238,114.438,117.349,116.627
workload_0117,short_context,94.181,87.493,105.064,99.528,95.929,88.619
workload_0118,medium_context,100.142,90.618,99.797,109.4,103.141,108.948
workload_0119,long_context,110.243,107.317,114.922,106.696,113.712,105.272
workload_0120,tool_heavy,110.319,111.109,111.958,108.68,119.209,114.261
workload_0121,short_context,95.616,87.932,98.376,105.169,93.462,95.643
workload_0122,medium_context,100.116,104.594,93.01,99.557,100.405,105.177
workload_0123,long_context,108.201,106.28,105.18,108.921,110.254,105.985
workload_0124,tool_heavy,114.005,107.965,106.4,121.417,111.193,118.629
workload_0125,short_context,94.806,97.568,102.839,99.713,97.67,100.454
workload_0126,medium_context,97.644,101.702,98.633,105.875,99.459,97.392
workload_0127,long_context,97.278,109.926,103.206,106.415,110.918,113.683
workload_0128,tool_heavy,105.208,109.262,116.37,115.541,119.195,120.001
workload_0129,short_context,95.137,98.879,88.934,92.439,92.033,104.636
workload_0130,medium_context,98.143,98.051,100.531,108.641,103.598,98.681
workload_0131,long_context,109.4,105.056,103.726,110.962,112.256,110.568
workload_0132,tool_heavy,114.9,113.363,107.464,107.573,109.112,112.627
workload_0133,short_context,87.186,101.012,97.836,93.962,96.332,100.914
workload_0134,medium_context,106.217,98.806,94.702,101.928,103.571,101.362
workload_0135,long_context,107.855,104.806,113.223,106.669,111.225,102.896
workload_0136,tool_heavy,108.024,112.392,121.903,111.924,108.762,112.429
workload_0137,short_context,98.116,90.141,96.303,87.538,101.302,89.881
workload_0138,medium_context,97.759,101.509,96.73,95.318,105.913,107.488
workload_0139,long_context,103.01,108.95,108.851,111.338,113.476,115.786
workload_0140,tool_heavy,113.074,104.442,118.624,113.378,110.625,121.63
workload_0141,short_context,94.195,101.357,92.802,99.009,92.122,96.835
workload_0142,medium_context,102.121,95.298,100.462,99.043,110.411,104.197
workload_0143,long_context,107.554,104.83,106.424,108.333,104.325,112.097
workload_0144,tool_heavy,108.958,100.928,116.344,111.292,115.52,118.808
workload_0145,short_context,86.692,84.961,91.797,83.521,101.317,87.142
workload_0146,medium_context,94.878,98.13,102.174,104.154,101.129,105.665
workload_0147,long_context,104.394,101.637,109.579,105.595,109.153,110.79
workload_0148,tool_heavy,110.874,107.7,108.761,120.473,114.374,123.558
workload_0149,short_context,95.909,93.715,94.383,97.409,99.132,94.595
workload_0150,medium_context,99.456,100.962,96.197,100.641,104.589,108.696
workload_0151,long_context,98.652,101.252,106.991,110.386,102.883,106.645
workload_0152,tool_heavy,98.551,109.557,110.992,122.795,111.593,105.637
workload_0153,short_context,104.424,99.187,102.785,96.991,104.201,94.613
workload_0154,medium_context,92.645,107.835,89.041,98.459,107.973,110.748
workload_0155,long_context,103.004,102.761,106.572,107.312,105.859,112.011
workload_0156,tool_heavy,103.637,112.03,107.813,110.925,112.49,118.708
workload_0157,short_context,98.786,96.956,100.007,102.343,97.602,100.067
workload_0158,medium_context,97.4,101.585,106.579,98.578,100.344,97.401
workload_0159,long_context,98.732,109.583,107.759,115.701,108.776,111.217
workload_0160,tool_heavy,109.31,113.243,116.367,110.596,104.113,121.81
workload_0161,short_context,91.536,95.544,95.852,98.315,102.14,97.509
workload_0162,medium_context,97.333,100.885,100.952,106.392,109.338,97.353
workload_0163,long_context,108.59,101.253,112.099,106.896,114.531,110.637
workload_0164,tool_heavy,112.412,106.964,119.304,111.464,112.311,110.459
workload_0165,short_context,96.655,94.04,91.952,89.081,98.235,105.406
workload_0166,medium_context,98.635,106.152,103.861,103.55,102.152,106.396
workload_0167,long_context,103.682,109.771,109.504,105.386,104.44,113.284
workload_0168,tool_heavy,101.62,101.667,106.711,112.804,116.167,118.683
workload_0169,short_context,99.483,92.787,99.354,94.811,95.146,101.487
workload_0170,medium_context,103.446,102.579,102.188,95.435,103.618,99.538
workload_0171,long_context,113.761,105.841,102.243,107.105,110.762,102.295
workload_0172,tool_heavy,109.752,103.659,113.438,108.413,122.292,118.608
workload_0173,short_context,100.989,96.335,96.546,98.812,102.399,96.024
workload_0174,medium_context,86.802,99.533,89.578,99.082,104.615,103.03
workload_0175,long_context,97.565,108.835,107.316,113.471,103.928,111.094
workload_0176,tool_heavy,110.018,117.815,106.175,113.684,110.942,110.396
workload_0177,short_context,97.765,99.634,98.338,93.536,93.877,101.854
workload_0178,medium_context,95.773,97.871,95.365,100.424,103.674,96.257
workload_0179,long_context,116.804,112.401,108.869,117.627,101.914,109.1
workload_0180,tool_heavy,105.818,103.026,112.493,111.893,107.132,114.396
workload_0181,short_context,99.865,91.169,91.597,88.384,95.506,106.535
workload_0182,medium_context,96.252,104.446,95.562,104.145,112.389,103.47
workload_0183,long_context,103.611,100.898,103.389,107.202,114.039,111.834
workload_0184,tool_heavy,116.759,113.469,121.498,119.739,112.268,119.968
workload_0185,short_context,89.814,90.291,100.838,99.41,95.658,97.168
workload_0186,medium_context,86.509,95.643,95.973,101.004,104.344,97.706
workload_0187,long_context,100.354,107.777,107.41,99.966,107.672,113.083
workload_0188,tool_heavy,106.369,110.322,109.989,109.977,119.637,119.593
workload_0189,short_context,98.429,100.482,92.117,93.939,101.447,105.439
workload_0190,medium_context,105.422,99.467,101.233,100.305,99.602,101.977
workload_0191,long_context,108.057,104.084,113.236,111.286,112.608,113.409
workload_0192,tool_heavy,107.155,110.266,113.17,108.77,110.963,119.877
workload_0193,short_context,90.315,90.216,94.587,96.053,101.652,107.246
workload_0194,medium_context,105.797,103.636,104.26,94.887,111.615,101.972
workload_0195,long_context,102.306,98.477,107.416,103.009,110.585,112.883
workload_0196,tool_heavy,111.949,114.821,116.462,112.46,115.411,101.779
workload_0197,short_context,94.081,95.513,102.922,97.987,103.119,96.154
workload_0198,medium_context,94.435,91.095,96.035,100.014,109.359,105.508
workload_0199,long_context,112.023,107.788,105.167,109.741,110.583,106.853
workload_0200,tool_heavy,112.636,113.144,112.248,120.842,106.961,110.411
workload_0201,short_context,86.997,94.381,102.233,93.532,97.248,98.222
workload_0202,medium_context,99.955,101.183,100.485,105.167,113.646,101.582
workload_0203,long_context,100.879,104.353,99.869,105.992,112.499,102.86
workload_0204,tool_heavy,117.176,112.244,107.078,106.808,107.078,115.88
workload_0205,short_context,88.665,97.448,95.585,96.816,98.816,94.78
workload_0206,medium_context,101.28,95.077,102.729,106.156,95.717,105.755
workload_0207,long_context,98.626,116.586,108.959,103.694,106.713,106.705
workload_0208,tool_heavy,117.504,106.166,106.581,120.628,109.872,108.984
workload_0209,short_context,103.062,92.361,95.265,97.521,97.906,93.31
workload_0210,medium_context,105.894,99.667,100.152,104.706,95.425,100.36
workload_0211,long_context,107.201,113.914,104.153,113.323,101.509,109.575
workload_0212,tool_heavy,106.578,109.638,102.472,107.281,111.389,116.734
workload_0213,short_context,91.084,102.019,85.909,96.369,94.262,99.671
workload_0214,medium_context,98.473,92.953,106.534,91.395,98.128,102.479
workload_0215,long_context,105.886,108.43,105.995,106.076,104.662,106.269
workload_0216,tool_heavy,109.285,112.265,106.327,117.857,118.429,112.629
workload_0217,short_context,93.252,95.325,95.375,97.501,100.512,106.827
workload_0218,medium_context,103.528,107.468,94.304,106.871,98.512,107.867
workload_0219,long_context,109.244,99.78,103.207,105.956,106.092,113.361
workload_0220,tool_heavy,113.211,104.595,117.126,110.547,117.677,115.08
workload_0221,short_context,92.003,96.662,94.713,96.034,94.699,100.711
workload_0222,medium_context,91.471,98.508,100.515,111.122,96.586,100.377
workload_0223,long_context,108.59,107.88,101.844,109.682,107.108,102.995
workload_0224,tool_heavy,111.899,108.022,115.407,109.791,111.239,119.071
workload_0225,short_context,87.588,93.097,103.302,97.127,99.663,100.816
workload_0226,medium_context,101.162,94.385,106.051,98.383,100.213,100.885
workload_0227,long_context,96.947,112.635,112.361,114.869,104.613,111.648
workload_0228,tool_heavy,105.104,112.118,109.497,118.642,109.213,117.808
workload_0229,short_context,94.218,104.738,96.33,99.636,92.265,99.817
workload_0230,medium_context,89.737,95.702,100.719,97.472,97.593,96.701
workload_0231,long_context,110.109,98.443,115.588,103.888,107.106,105.487
workload_0232,tool_heavy,118.313,108.739,114.104,108.221,111.484,106.591
workload_0233,short_context,95.651,90.775,95.663,93.379,102.623,108.143
workload_0234,medium_context,94.644,95.234,96.042,106.631,97.024,99.017
workload_0235,long_context,104.31,108.042,102.985,109.978,111.457,107.005
workload_0236,tool_heavy,108.11,121.224,101.163,109.473,115.366,116.894
workload_0237,short_context,96.88,95.349,105.697,102.831,103.034,102.355
workload_0238,medium_context,94.86,96.983,101.845,108.36,107.266,105.195
workload_0239,long_context,108.161,101.548,109.012,105.713,107.398,107.199
workload_0240,tool_heavy,116.335,108.346,114.656,117.628,110.586,119.448
workload_0241,short_context,96.371,95.322,93.941,97.461,101.017,97.954
workload_0242,medium_context,93.049,97.1,104.848,97.838,105.346,98.519
workload_0243,long_context,107.97,114.872,102.376,107.885,111.672,110.794
workload_0244,tool_heavy,114.156,105.216,111.708,111.341,111.513,103.806
workload_0245,short_context,92.002,105.131,90.801,96.926,99.484,101.094
workload_0246,medium_context,96.033,98.003,95.528,106.864,96.313,103.099
workload_0247,long_context,102.432,99.863,106.397,104.72,101.304,108.957
workload_0248,tool_heavy,111.755,112.913,118.458,114.699,108.834,115.949
workload_0249,short_context,85.682,100.638,91.726,97.012,101.326,98.691
workload_0250,medium_context,97.952,99.175,104.769,100.069,102.682,104.834
workload_0251,long_context,98.738,109.177,101.987,109.004,110.316,114.107
workload_0252,tool_heavy,105.865,111.001,115.458,115.074,115.185,121.35
workload_0253,short_context,95.692,100.398,93.847,96.117,91.017,105.39
workload_0254,medium_context,91.601,101.106,98.166,101.022,101.344,95.555
workload_0255,long_context,110.656,102.523,108.096,113.389,110.487,107.812
workload_0256,tool_heavy,108.441,110.865,112.843,109.458,113.263,117.327
workload_0257,short_context,99.051,89.653,85.55,99.442,101.483,92.512
workload_0258,medium_context,96.118,99.013,104.677,101.536,101.427,108.168
workload_0259,long_context,111.044,109.955,105.057,107.806,107.193,105.633
workload_0260,tool_heavy,114.172,110.953,115.81,114.543,110.911,115.243
workload_0261,short_context,93.369,100.102,89.304,103.448,86.013,98.428
workload_0262,medium_context,100.406,105.602,92.41,97.29,108.042,95.18
workload_0263,long_context,104.293,108.778,112.228,108.922,113.826,101.595
workload_0264,tool_heavy,116.024,115.006,117.41,103.805,115.398,115.458
workload_0265,short_context,94.41,96.098,91.021,100.558,105.275,95.322
workload_0266,medium_context,96.857,97.043,112.211,101.794,103.398,108.971
workload_0267,long_context,106.995,108.776,104.399,110.828,108.014,108.081
workload_0268,tool_heavy,111.698,112.979,108.322,117.645,109.55,118.506
workload_0269,short_context,94.296,92.16,95.615,108.383,101.951,100.459
workload_0270,medium_context,104.177,93.903,101.311,103.0,102.417,106.302
workload_0271,long_context,105.291,109.408,99.522,112.698,104.582,113.107
workload_0272,tool_heavy,115.855,115.49,115.379,110.481,111.18,119.56
workload_0273,short_context,91.535,94.514,98.717,93.503,100.576,94.658
workload_0274,medium_context,109.26,98.693,104.142,100.886,101.07,103.355
workload_0275,long_context,102.185,99.675,99.344,106.032,109.446,111.924
workload_0276,tool_heavy,112.174,113.692,107.901,111.964,117.038,119.888
workload_0277,short_context,86.03,99.877,96.66,93.944,99.985,101.846
workload_0278,medium_context,101.101,97.092,99.138,97.261,98.852,98.134
workload_0279,long_context,103.402,107.391,102.004,110.491,101.466,107.965
workload_0280,tool_heavy,107.145,102.806,107.167,115.191,105.355,117.448
workload_0281,short_context,94.572,88.923,98.167,97.348,92.998,102.791
workload_0282,medium_context,107.416,107.071,102.668,106.944,103.992,104.718
workload_0283,long_context,108.109,111.273,106.45,110.866,114.677,107.567
workload_0284,tool_heavy,110.801,103.175,99.616,111.444,117.393,113.315
workload_0285,short_context,92.895,106.579,85.857,97.31,99.034,101.107
workload_0286,medium_context,97.308,93.469,95.332,98.654,106.399,104.625
workload_0287,long_context,106.465,114.496,102.686,101.697,107.753,105.195
workload_0288,tool_heavy,114.407,120.601,113.892,123.695,113.775,124.163
workload_0289,short_context,94.882,89.33,93.812,107.989,101.009,97.596
workload_0290,medium_context,100.087,97.516,105.623,94.747,99.916,97.679
workload_0291,long_context,106.138,105.685,107.221,111.086,110.538,111.237
workload_0292,tool_heavy,104.566,105.46,111.841,108.862,117.29,117.496
workload_0293,short_context,91.828,94.951,91.263,101.622,98.251,97.438
workload_0294,medium_context,85.491,102.401,99.539,98.708,108.819,104.712
workload_0295,long_context,101.988,99.067,102.227,109.956,110.419,110.725
workload_0296,tool_heavy,114.78,110.986,113.84,114.257,111.709,119.075
workload_0297,short_context,94.135,91.859,87.286,102.11,87.851,92.703
workload_0298,medium_context,95.545,97.546,98.208,102.782,108.462,102.469
workload_0299,long_context,95.392,98.092,111.107,100.8,107.077,108.834
workload_0300,tool_heavy,110.457,114.154,110.271,114.76,113.594,119.693
workload_0301,short_context,97.923,97.526,96.566,97.503,106.436,96.588
workload_0302,medium_context,96.302,99.56,95.053,99.941,98.846,100.538
workload_0303,long_context,103.469,104.209,112.28,108.104,104.381,113.002
workload_0304,tool_heavy,112.478,112.209,119.519,116.189,117.219,110.928
workload_0305,short_context,90.605,95.644,101.111,97.116,101.247,91.143
workload_0306,medium_context,94.338,94.02,101.136,98.444,102.65,104.222
workload_0307,long_context,113.395,102.485,109.274,114.1,117.253,106.647
