reviewer_id,review_date,Product 1 (SKU_2145),Product 2 (SKU_5925),Product 3 (SKU_2469),Product 4 (SKU_7476),Product 5 (SKU_3014),Product 6 (SKU_3288),Product 7 (SKU_5578)
user_66618,2023-01-01,3.217426522708723,3.9587789633845225,3.8577959135993876,4.987233563538096,3.452178577475915,1.7480208852465764,3.912254475459042
user_37636,2023-01-02,3.048092936414875,3.0124487454452593,4.422783185561393,3.90736737731957,2.996300402658533,2.51929025931695,2.2665814111907188
user_90012,2023-01-03,4.7367465922768766,5.0,3.9551249064967777,3.6862080443620346,3.9857267107386307,3.658145941259315,4.039416612856904
user_76167,2023-01-04,4.608343067775966,4.151320383997658,3.7939167374076024,3.400085011350363,4.5197108771862045,3.2682538051178462,1.979263105156678
user_51720,2023-01-05,4.159345601306759,4.045327240256302,4.841600509432269,3.8337190736950393,1.0584707444096866,3.1442440410700025,1.889851549305206
user_99404,2023-01-06,3.1742851318941563,4.917437865626589,2.8500261572411603,3.8241887568019957,3.647410919937657,2.2350914376331685,1.2920328942805999
user_54909,2023-01-07,4.877113010211993,4.5378598379599,4.329111375078061,3.833735062565861,2.158680631351722,2.5273453215268566,2.3433637489385464
user_93252,2023-01-08,5.0,3.2970923884966346,2.5630822681637206,3.6918760722222026,3.6992884054391526,3.9960328065786053,2.2970221305364373
user_44257,2023-01-09,4.722385952175138,4.143275709978105,3.2293104959993535,4.2950386706444394,3.402341761899663,2.9587926449968576,3.1207498242037204
user_69338,2023-01-10,3.822020887547948,3.931866421418892,2.929874293901349,3.618483476800585,3.8085812211524397,3.3002877569155786,2.895112753296361
user_45784,2023-01-11,4.535641732456921,2.804373689115157,4.525554028361535,2.817648931557889,2.900601908404276,2.907849336978817,1.7456213031846906
user_42234,2023-01-12,3.4071087352530522,3.6477790134102364,3.847671813123685,3.1100616872793054,1.801407910544678,2.0535315878001876,2.385819009259346
user_96805,2023-01-13,5.0,4.053167742386828,3.8891974043256186,2.01678504520823,2.9397054469946653,3.7470483408599975,2.4028303831298516
user_52157,2023-01-14,4.565475467623631,4.108039254806526,3.014613609816439,5.0,3.6254781081118264,3.402585907625997,1.279214202430486
user_54778,2023-01-15,3.0854744705974144,3.014214861058153,3.6602452032536887,4.290203673562149,4.112313862940178,4.844509469893751,1.9152426183893045
user_37606,2023-01-16,4.259460511645054,5.0,3.2892277573527107,2.9359436038966105,2.36253495962198,2.1875348962795638,2.0833490955087286
user_70266,2023-01-17,4.870641208187385,4.118317552886849,4.206764011883373,3.37452412048232,4.121648341498414,3.6580583369603845,3.8469000158567574
user_88579,2023-01-18,4.233561903219582,4.23004246132845,3.107127091734709,3.0904988206348536,2.7817021682827825,1.950764827170399,2.853160572765882
user_53051,2023-01-19,4.279283422847861,4.52051331067187,4.96383549216406,4.834037769099294,3.589959905275621,3.1258772541384623,3.229735003158
user_12080,2023-01-20,3.5204782343621828,3.569538996877063,2.5595356403007243,2.464098268583257,2.8920848377074937,3.7812052712505317,1.5010916022806307
user_27527,2023-01-21,4.953232789665325,4.565084778506157,3.2547841340347508,3.6915808470550235,3.445736502169681,1.3422919071228103,3.6553715864111935
user_94730,2023-01-22,3.9812246399846902,3.906340283185454,5.0,3.513177725948122,4.01350210765622,2.8360540206067135,3.740881650419275
user_10268,2023-01-23,2.7748436983959737,3.4827315674822468,3.5518890016303724,4.261470904567291,2.3183887381691712,2.549432212765904,1.1013240262842992
user_89794,2023-01-24,4.202994103463685,4.658757994684319,2.8480970684764704,3.516792617820244,2.7560752826025348,2.4384341613639027,2.1357466208673217
user_72459,2023-01-25,5.0,5.0,4.075257250030135,2.1934328986756517,3.4479700698736693,3.3081701218074833,3.0966124584124084
user_10560,2023-01-26,4.190456442720042,4.779863498788665,3.519686206228366,3.3991057322860474,5.0,3.896548565138076,3.215510762830546
user_11255,2023-01-27,5.0,4.938382052112345,3.2313037955053554,2.8222702256453402,2.6094482302665374,2.8933770278166757,2.1572042156102227
user_98172,2023-01-28,4.843174358838814,3.783495514750161,3.023303351361026,3.6636636372452487,4.932107108797535,3.164389142048016,2.455600429557078
user_32745,2023-01-29,4.771006529824293,2.9219042166652347,5.0,4.747341629216262,4.903538642940137,3.0914470024473983,2.222095151163886
user_64154,2023-01-30,4.397281387265913,5.0,3.6987584798526907,2.2084598046141775,3.222151079438727,3.0014428050851314,2.788334437556896
user_82848,2023-01-31,4.445371033788567,5.0,2.359546111733698,2.959821811680077,3.0614779790400797,2.128525889830315,3.6577428251695303
user_74091,2023-02-01,4.289261091904397,5.0,5.0,3.157845636973202,2.7463478410682463,3.886755681378314,2.0831662742870365
