game_id,event,white,black,Magnus Carlsen,Fabiano Caruana,Ding Liren,Ian Nepomniachtchi,Alireza Firouzja,Wesley So,Anish Giri,Levon Aronian,Maxime Vachier-Lagrave
1,Norway Chess,Anish Giri,Maxime Vachier-Lagrave,,,,,,,0.0,,1.0
2,Norway Chess,Ding Liren,Ian Nepomniachtchi,,,0.5,0.5,,,,,
3,Norway Chess,Anish Giri,Fabiano Caruana,,1.0,,,,,0.0,,
4,Tata Steel,Ding Liren,Ian Nepomniachtchi,,,0.0,1.0,,,,,
5,Norway Chess,Anish Giri,Levon Aronian,,,,,,,1.0,0.0,
6,Tata Steel,Wesley So,Fabiano Caruana,,1.0,,,,0.0,,,
7,World Championship,Ian Nepomniachtchi,Wesley So,,,,1.0,,0.0,,,
8,Norway Chess,Levon Aronian,Ding Liren,,,1.0,,,,,0.0,
9,Norway Chess,Anish Giri,Alireza Firouzja,,,,,0.5,,0.5,,
10,Norway Chess,Anish Giri,Magnus Carlsen,0.0,,,,,,1.0,,
11,World Championship,Anish Giri,Ding Liren,,,0.5,,,,0.5,,
12,Norway Chess,Ian Nepomniachtchi,Wesley So,,,,1.0,,0.0,,,
13,World Championship,Fabiano Caruana,Magnus Carlsen,0.0,1.0,,,,,,,
14,Norway Chess,Wesley So,Ian Nepomniachtchi,,,,0.5,,0.5,,,
15,Candidates,Ian Nepomniachtchi,Fabiano Caruana,,0.5,,0.5,,,,,
16,Norway Chess,Maxime Vachier-Lagrave,Ian Nepomniachtchi,,,,0.0,,,,,1.0
17,Tata Steel,Fabiano Caruana,Anish Giri,,0.5,,,,,0.5,,
18,World Championship,Wesley So,Maxime Vachier-Lagrave,,,,,,1.0,,,0.0
19,Norway Chess,Levon Aronian,Maxime Vachier-Lagrave,,,,,,,,1.0,0.0
20,Candidates,Anish Giri,Fabiano Caruana,,0.0,,,,,1.0,,
21,World Championship,Wesley So,Anish Giri,,,,,,1.0,0.0,,
22,World Championship,Alireza Firouzja,Magnus Carlsen,1.0,,,,0.0,,,,
23,Tata Steel,Levon Aronian,Alireza Firouzja,,,,,0.0,,,1.0,
24,World Championship,Magnus Carlsen,Maxime Vachier-Lagrave,1.0,,,,,,,,0.0
25,Tata Steel,Fabiano Caruana,Levon Aronian,,1.0,,,,,,0.0,
26,Norway Chess,Alireza Firouzja,Maxime Vachier-Lagrave,,,,,1.0,,,,0.0
27,Norway Chess,Anish Giri,Fabiano Caruana,,1.0,,,,,0.0,,
28,Tata Steel,Levon Aronian,Magnus Carlsen,0.5,,,,,,,0.5,
29,World Championship,Levon Aronian,Fabiano Caruana,,1.0,,,,,,0.0,
30,World Championship,Magnus Carlsen,Ian Nepomniachtchi,1.0,,,0.0,,,,,
31,Tata Steel,Ding Liren,Fabiano Caruana,,1.0,0.0,,,,,,
32,Norway Chess,Ian Nepomniachtchi,Ding Liren,,,0.0,1.0,,,,,
33,World Championship,Maxime Vachier-Lagrave,Magnus Carlsen,1.0,,,,,,,,0.0
34,Norway Chess,Alireza Firouzja,Magnus Carlsen,0.0,,,,1.0,,,,
35,Tata Steel,Fabiano Caruana,Alireza Firouzja,,1.0,,,0.0,,,,
36,Tata Steel,Alireza Firouzja,Ding Liren,,,1.0,,0.0,,,,
37,Candidates,Fabiano Caruana,Ding Liren,,1.0,0.0,,,,,,
38,Candidates,Anish Giri,Levon Aronian,,,,,,,0.5,0.5,
39,Norway Chess,Levon Aronian,Maxime Vachier-Lagrave,,,,,,,,0.0,1.0
40,Norway Chess,Levon Aronian,Ian Nepomniachtchi,,,,0.0,,,,1.0,
41,Candidates,Fabiano Caruana,Wesley So,,1.0,,,,0.0,,,
42,Tata Steel,Ian Nepomniachtchi,Fabiano Caruana,,0.0,,1.0,,,,,
43,Candidates,Magnus Carlsen,Ian Nepomniachtchi,1.0,,,0.0,,,,,
44,World Championship,Levon Aronian,Anish Giri,,,,,,,0.0,1.0,
45,Norway Chess,Wesley So,Ian Nepomniachtchi,,,,1.0,,0.0,,,
46,World Championship,Alireza Firouzja,Levon Aronian,,,,,0.5,,,0.5,
47,Tata Steel,Ding Liren,Ian Nepomniachtchi,,,0.0,1.0,,,,,
48,Candidates,Levon Aronian,Ian Nepomniachtchi,,,,1.0,,,,0.0,
49,Norway Chess,Fabiano Caruana,Alireza Firouzja,,1.0,,,0.0,,,,
50,World Championship,Fabiano Caruana,Ding Liren,,1.0,0.0,,,,,,
51,Tata Steel,Fabiano Caruana,Ian Nepomniachtchi,,1.0,,0.0,,,,,
52,Tata Steel,Ding Liren,Alireza Firouzja,,,1.0,,0.0,,,,
53,World Championship,Wesley So,Alireza Firouzja,,,,,0.0,1.0,,,
54,Tata Steel,Wesley So,Anish Giri,,,,,,1.0,0.0,,
55,World Championship,Maxime Vachier-Lagrave,Anish Giri,,,,,,,0.5,,0.5
56,World Championship,Levon Aronian,Alireza Firouzja,,,,,0.5,,,0.5,
57,Candidates,Anish Giri,Maxime Vachier-Lagrave,,,,,,,1.0,,0.0
58,Tata Steel,Anish Giri,Ding Liren,,,1.0,,,,0.0,,
59,World Championship,Maxime Vachier-Lagrave,Anish Giri,,,,,,,0.0,,1.0
60,World Championship,Ian Nepomniachtchi,Fabiano Caruana,,0.0,,1.0,,,,,
61,World Championship,Magnus Carlsen,Alireza Firouzja,1.0,,,,0.0,,,,
