item_A,item_B,item_C,comment
excellent,excellent,poor,Some text comment
fair,fair,poor,Some text comment
poor,good,good,Some text comment
poor,poor,good,Some text comment
poor,excellent,fair,Some text comment
poor,poor,fair,Some text comment
excellent,fair,good,Some text comment
good,fair,good,Some text comment
fair,poor,poor,Some text comment
excellent,good,poor,Some text comment
poor,poor,poor,Some text comment
poor,fair,fair,Some text comment
fair,poor,poor,Some text comment
good,excellent,excellent,Some text comment
good,excellent,excellent,Some text comment
good,good,poor,Some text comment
poor,poor,poor,Some text comment
excellent,poor,good,Some text comment
excellent,poor,good,Some text comment
good,poor,fair,Some text comment
fair,good,excellent,Some text comment
good,fair,excellent,Some text comment
good,good,fair,Some text comment
fair,fair,poor,Some text comment
good,fair,poor,Some text comment
fair,fair,fair,Some text comment
fair,poor,excellent,Some text comment
excellent,good,excellent,Some text comment
fair,fair,poor,Some text comment
good,excellent,good,Some text comment
fair,fair,fair,Some text comment
good,good,fair,Some text comment
fair,poor,poor,Some text comment
excellent,excellent,fair,Some text comment
good,fair,excellent,Some text comment
good,poor,poor,Some text comment
good,good,excellent,Some text comment
fair,good,good,Some text comment
excellent,excellent,fair,Some text comment
excellent,excellent,fair,Some text comment
excellent,fair,excellent,Some text comment
