model_A_score,model_B_score,model_C_score,model_D_score,model_E_score,model_F_score,model_G_score,model_H_score
0.9399136114352071,0.7479172539739486,0.8910295710475761,0.8836214778528364,0.6938073665924613,0.5696423528306614,0.6019137131445886,0.6399355436586003
0.8962365297575152,1.0,0.7817587703286202,0.6287360244975495,0.6697862818212963,0.6336947135755451,0.6214151331296116,0.5924633682912769
1.0,0.8921889329452318,0.8538643554515482,0.827003668419087,0.7902678987733799,0.7216488892716916,0.6900581101561003,0.5059630369920174
0.911422764866204,0.8613407552266302,0.7885461233273319,0.7071725441488778,0.9241218140159337,0.5116341843446083,0.5767949741130042,0.4353063222294426
0.9150301761461878,0.7570213648390215,0.7886898996638603,0.7236250576061853,0.6183416941365394,0.6275826817004019,0.6280432329017084,0.569822331361359
0.8636387787786144,0.912888130798042,0.8795426663118855,0.796053377788089,0.6224846271767492,0.544273632791797,0.5481692877141345,0.539348538542175
0.8943054376278933,0.7852933602333655,0.7341098128925483,0.6162992264151987,0.7758446591354787,0.7337903771781986,0.7011545786878044,0.5895193220027732
0.9307801768892059,0.855058124321679,0.795326363408384,0.7668124031898337,0.7396177203912027,0.46196702380733684,0.48950362693693017,0.563517180168197
0.7289831607343374,1.0,0.7394867568437814,0.7452166493927342,0.8560993040021748,0.5583935295585555,0.7372369004339387,0.6049552715319335
0.7651814577894287,0.8332511528846779,0.7422646629710541,0.7778165549722436,0.7298213899611679,0.6520069017921664,0.5531270620784228,0.4464764788439432
0.9743264094022716,0.9577844754857104,0.7547970733674217,0.7574882929622104,0.6354993623498655,0.7708381172091484,0.41406534693105235,0.6317394065634325
0.9170865438127942,0.7725395003445541,0.8079276628776569,0.9741014425625181,0.7304940544978025,0.6077106881784156,0.5699532986339361,0.51975996046924
0.8816016663647321,0.8393582938074466,0.737839423547938,0.6647974301462971,0.7822989294868623,0.5587657616163945,0.48903769139536907,0.7075260872625265
0.9018433933065393,1.0,0.9112898982716378,0.6754717330712469,0.7534767895483079,0.8024014212297733,0.6412072120417296,0.4310812181910432
0.9347581705361672,0.7801604370783661,0.6962535554923353,0.6662573759289522,0.7221559745393012,0.4694843242440899,0.4918804592126181,0.6735963803165249
0.8460240319690638,1.0,0.7670271212981498,0.6730237166554032,0.7780960403874869,0.3944051186237061,0.5125245138213792,0.5197910783462648
0.8221695274597688,0.9136323364026904,0.7417411798868682,0.6648327158407769,0.7883581304731387,0.6582871592910475,0.368188784048304,0.43485819963855515
0.9195845255097682,0.786610465267716,0.930412074149659,0.8474730816821838,0.8096444705323242,0.5640802918504532,0.5119122252179495,0.4516114165945678
0.8021627222384968,0.9060979167626949,0.8053697633654432,0.8706218533704142,0.7362995601875357,0.512162432572643,0.31475492447996145,0.46796526918056797
0.9408252755714472,0.9401125878198159,0.8888987396611492,0.671496799196481,0.654716763396886,0.6851213590156496,0.39875257479428483,0.5424165946401917
0.729741639576216,0.9050381390788625,0.6371582484105884,0.6453358712610058,0.6860999400719038,0.6386657856628342,0.6331843227572869,0.55228354880355
1.0,0.6858346708680972,0.8124193123012116,0.7757129842100691,0.7920794680794072,0.5578778512120415,0.6357228730079404,0.4426299996061421
0.9472597482413043,0.770143425274656,0.8746773652766294,0.6733491241433315,0.5897350043298479,0.48625527441862487,0.5996886133213536,0.4975645407739017
0.9256029734313875,0.8181052793019924,0.7939426846418282,0.7918646103469797,0.7082959023158616,0.7015314471137288,0.4604452428299359,0.7142270358611864
0.9982690983945515,0.8354137999471383,0.8922623232208209,0.7488637306565586,0.6320946901958354,0.6793058320815805,0.5523717215286592,0.6727543170100712
1.0,0.9049243526122106,0.7339854407042485,0.5769970170717055,0.6743030537220532,0.604368127907776,0.5567826032338004,0.5436323669674032
1.0,0.8606272429504682,0.9266490297328437,0.8833219487044348,0.7992737576893014,0.7989494138904809,0.4413063882236029,0.50380034781682
0.7159125768668355,0.7093227069861328,1.0,0.9081591958809808,0.6905384782305618,0.5072772376530991,0.7074826873195722,0.5120031326718262
0.7720423033264299,0.8808769279577392,0.7494304296703198,0.66729255952299,0.6760722262441864,0.46173319719324046,0.6448790862004243,0.5613517972730416
0.8375181422304321,0.9039157173855252,0.7411640335742085,0.6898012725778302,0.5354429573305796,0.5450949072975899,0.5350464397598907,0.39772074348015946
0.9026091050210834,0.8988361876502469,0.9310527334260558,0.7571579676439192,0.7460539280312936,0.6097271126501645,0.5598314410423102,0.4742623462576655
0.9517659020469124,0.9509352154126051,0.9436715002873569,0.7620171075701312,0.735976989542679,0.6386196592179835,0.5779811379376124,0.3331415926122411
0.8274256186846535,0.9262493583120333,0.7334282829989589,0.7944258558387117,0.8877540437591175,0.5901621085000813,0.3529693703004281,0.5399223122605279
0.9186766764477079,0.8887751507799866,0.7436956040047,0.9295918824480636,0.6406507479332714,0.649491253937144,0.5324251188907975,0.564719593970274
0.8244617067646678,0.8358405717112781,0.757535824828235,0.7108767058220237,0.6933436041949654,0.4891317718666699,0.4889444323430773,0.4516813537700626
0.8388482197008051,0.6767610495055437,0.651269234610858,0.6487417041175833,0.696366939799647,0.7586621746930403,0.4569808561533656,0.6573986763290033
0.7593338903151778,0.8858189647704015,0.6938490910658659,0.5906395057699759,0.8291738994049189,0.6060705964464574,0.5290328278542616,0.3774234336997659
0.8076766753889095,0.8636259115734539,0.685300209039079,0.6554784245772367,0.6618990181898763,0.7260152974445271,0.7369115098278094,0.353562511979018
0.7648315394383667,0.8700150265766802,0.7089345292038729,0.7252587312840489,0.6993307240056054,0.6485582489234847,0.6212271432695582,0.5224451818559972
0.8024126747022667,0.715182285275112,0.7822457969756076,0.9080272149232074,0.7322182224002254,0.6599610362010927,0.5000249581645775,0.6047098302612155
1.0,0.7347514888163166,0.8091357589679378,0.6768102986678115,0.6900894837442073,0.6712624423089347,0.6144011352784731,0.6683927691457869
