accuracy_A,accuracy_B,accuracy_C,accuracy_D,accuracy_E,accuracy_F
0.7650157029019116,0.670340897703041,0.5684504027236789,0.6116803073306207,0.5997856509376542,0.3395918833428087
0.8878873944508145,0.7838544740680946,0.6512612741706998,0.6645562377035971,0.5446673604590682,0.3137294048515876
0.7764460612612958,0.8008253903783069,0.7913528919349297,0.5851786594725235,0.7051842346574138,0.4455561840882705
0.9739947524014031,0.6992914051039094,0.6333864427504975,0.6359333081990753,0.4653361371715879,0.4807252359151446
0.787339736613101,0.7822980084756422,0.7255055542516983,0.5995885556505852,0.46282225262553794,0.44738442015247254
0.824235078703546,0.77465669747568,0.7519707242743469,0.6177596771994175,0.4820485883644783,0.28460463199680985
0.9150813773895735,0.6785623761735502,0.6158455622737533,0.6576125620349531,0.36008834205521545,0.44287039683897694
0.7515308546852836,0.7986229888278626,0.6852379715150559,0.5445423453413222,0.4879395982655391,0.34564243995961175
0.8681967947683303,0.8148627621094587,0.43069861279447413,0.7773909820548368,0.4692693870757042,0.503573803906403
0.9545714203425942,0.8566440994540222,0.6080489886932567,0.5295186094800238,0.5420315029180967,0.4793278596877479
0.7214013412351018,0.8543041641627922,0.6697945478885471,0.5128649109769814,0.5573404780621728,0.3748096170938116
0.8647707086825843,0.6597864505634328,0.590177345442812,0.7026488698800054,0.6800936671372709,0.4088906466130645
0.8707906235398739,0.6949739968067902,0.8205929043145308,0.6733330155170348,0.606033907054884,0.3652629182488839
0.9125458297421848,0.8112028213766928,0.5755886897631494,0.6599295853641725,0.4838477075470078,0.4449856722181463
0.7510439431297534,0.8111028760729767,0.6547964410642413,0.6602676407411424,0.4581268262921314,0.526411385640099
0.7443634709532578,0.8112038149044839,0.7004592461828872,0.6090202581722468,0.5693535337205204,0.3711419162931565
0.8917553252493517,1.0,0.8053018631252892,0.5382196502811335,0.42438134343834866,0.49032372124142753
0.8737587738586549,0.8156712408554534,0.5751310279056447,0.6160643646554981,0.6765167012683484,0.40757939053020475
0.8700394280276701,0.860845251214448,0.7830531001723967,0.5558270630790311,0.624355209657703,0.38657017341901245
0.877715856759758,0.8463201410794562,0.6908186448815669,0.68800957867342,0.4924659478316236,0.44143757120363536
0.7955980222737207,0.8221113001044639,0.6114793079161639,0.5982354094798289,0.3929492376727298,0.3671806142064501
0.8685802957728803,0.7447784604287724,0.7269682779410616,0.5439602242565991,0.6383097899332331,0.40570805557222545
0.8734457978638945,0.8307175376394614,0.7059247756458775,0.5842891326677605,0.5208368123797906,0.3541697685928921
0.7928518865578905,0.7081739828369943,0.6419826498272964,0.6430345163420499,0.629025304957877,0.6071780106333111
0.9992619608915805,0.7510545114607993,0.6955841667992014,0.564902035775682,0.40244578729645064,0.4528210841577383
0.887906633672943,0.7311709161736717,0.6591749122510592,0.5442223683546855,0.4820499981636982,0.39402195936059314
0.7546957202237881,0.7765499311509059,0.6990813876200997,0.629494976919353,0.5304194959774546,0.4671183928587378
0.9025242886907063,0.9551726853338807,0.7429704539616837,0.6295973256886979,0.5337584475011794,0.44101375602473364
0.7720254663818142,0.6206187845926602,0.8168813452916281,0.5694445459703096,0.4939947622816605,0.43232243203734216
0.9129667682993962,0.8249008152299611,0.590974760093852,0.5723169355505342,0.5798279945877999,0.49913333600347404
0.9426876463205923,0.6409827303048279,0.8606426699725013,0.6285639949886109,0.44459036564939247,0.5106006168037844
0.7843454145318631,0.7322454507368453,0.5338329760381998,0.49415325268021404,0.5186096411982966,0.40755990819115784
0.9270700903395457,0.8571160477573894,0.6778571923971533,0.4974028980498756,0.5396236505369519,0.4039345407484256
0.8830224741549199,0.775142401527637,0.737065376518766,0.5525244622998051,0.5711551067246999,0.4279958642278685
0.9157648127995592,0.6837804177656556,0.7124793494188025,0.5929242278630522,0.5869291902471112,0.26584630682115323
1.0,0.7127757032592026,0.6401840384143525,0.6348726052478404,0.4400286326529705,0.3287847150241158
0.8303689507197703,0.824367819914774,0.673350219971418,0.7280284973559641,0.40727086634115023,0.559349941395562
0.7897011068514008,0.711570669462629,0.6505599252272933,0.6786127698561615,0.6322141457518807,0.5815974170801027
0.7788388456299581,0.787316687166558,0.642850819444463,0.5972049176029258,0.5565851209583673,0.43007711683548977
0.7847351772027649,0.7736457471923052,0.757968167761682,0.6084787033677849,0.47012107707547574,0.49612455704446135
0.8438318632468716,0.7178719721915346,0.7185612388772037,0.5297976508289752,0.6540921580418019,0.4749000123634829
0.8772921579853314,0.941515527146026,0.6345672323791476,0.6085189491206088,0.5392539707434287,0.696310464676419
