mAP_A,mAP_B,mAP_C,mAP_D,mAP_E,mAP_F
0.8947079635802956,0.7972576670250957,0.7842549944865874,0.7969176132582415,0.48294607963257524,0.578461129525322
1.0,0.9218198508879952,0.6924708798308645,0.6656709190636769,0.6071764934088317,0.5211418454269148
0.979115708235155,0.8820972321793275,0.7229765675142165,0.6824560724574947,0.5390414257762713,0.44368484644826844
0.89677275322197,0.8852317987672937,0.7392735340316576,0.5631868187861936,0.626070976495443,0.4874370949658576
0.8406691051494362,0.9068904577444975,0.6558250035374822,0.6146910873568419,0.5935318221932603,0.5749054765565361
0.9445698077309849,0.815092607276915,0.79526594763361,0.633984289574085,0.5406810472764553,0.5284715562492187
0.8021163040236425,0.8237852565924477,0.6949429146822732,0.6385827922595013,0.631029782789686,0.5667530384377988
0.9181086215484976,0.7585878483652521,0.7177120067727984,0.7665315036003015,0.7363478487829396,0.6781152467612388
0.9204376127333301,0.7827141715178361,0.656452050031319,0.70861528485801,0.5767276966618162,0.3948606710631159
0.9648167925999104,0.8572616919816913,0.5310133072963752,0.5750833634450375,0.6495806353718546,0.6493770059974899
1.0,0.9043107549735053,0.7207177789919864,0.6837203822745604,0.488538163370307,0.528348475001857
0.9113932773743014,0.7968442979455201,0.9290092337290332,0.7038577398797429,0.5154850898545593,0.44809727613414974
0.8392829099434,0.7719848588118872,0.7987683430318419,0.7552119230817014,0.6297925022304303,0.41357490994088086
0.8779540550246404,0.8080422367085278,0.7344591696212485,0.7904432549254699,0.7107292822828772,0.5048703687378373
0.7384739276088705,0.8560965399143292,0.7149687336633386,0.5827924646537705,0.6204490679028529,0.5937320089539567
0.8244229495128753,0.6924916147093167,0.7377972714249637,0.599131399103173,0.5669553575581477,0.5097960703697972
0.8472574049509517,0.6243055237490209,0.7797695292140168,0.5633937712868308,0.5919433124338684,0.6408923944197878
0.8380729281652326,0.7639570520406733,0.6415349747752924,0.6452784112714415,0.4919673812824227,0.40390594479587527
0.8921883897626978,0.7103430059268674,0.8251457355735098,0.7013086699557068,0.6403612261084294,0.5190328841723156
0.814206405409424,0.7673487841882152,0.7932305052352995,0.7429867613271282,0.6625866449858728,0.4198085244469505
0.9696824533859577,0.7961775744946024,0.7934548580566347,0.6579239181085982,0.5558327733733537,0.5490905506099975
0.8800165651934557,0.771740127278159,0.7710780591047781,0.6384121981396125,0.55439662817924,0.590950991207784
0.8792559743089109,0.9241974027576597,0.7375693326155192,0.6761406393798992,0.613270258372164,0.48633905650551573
0.8537684226789666,0.8341395811681857,0.7898288988773455,0.5971885678695982,0.5570624211167524,0.3116628914698293
0.8924152547087183,0.8320379487688663,0.7833451306993102,0.831163097735582,0.5867093908299343,0.5359158517437196
0.9460078611734107,0.8577765715234722,0.7076767431247181,0.5353871178305554,0.7599777431333213,0.5549390841386808
0.810629582743128,0.7168933505775386,0.6901118581682479,0.678779246311658,0.5722379439403203,0.5523435803969359
0.8273506808739794,0.8911289429936216,0.744148503620959,0.8258884975383711,0.5633327878383023,0.6188625753457724
0.8557019176978669,0.8019388570771633,0.8599216121196149,0.6645439875647998,0.5401966555491874,0.4343157056280761
0.7723303261221428,0.861638449379297,0.636871433947688,0.6487968771998804,0.651535357719995,0.574417288436036
0.8144593712222802,0.7222514213567877,0.6185979787398048,0.6354043661751658,0.5775020661425518,0.615400600998238
0.8419023301164272,0.6836992987187149,0.7491808672989213,0.6495686654590074,0.540050156934286,0.37771299327947866
0.9499511344570182,0.8734311726420023,0.7400710161484815,0.7738278779741224,0.697704322581841,0.5455721460735182
0.901004906320154,0.8381127620878014,0.7498673331496326,0.48705104709363944,0.705568240361091,0.4796656135193863
0.8954871929094036,0.7358358756513992,0.75551625583268,0.7866746961037061,0.5439661147409036,0.5134781861518684
0.9480718369734378,0.7384269534980245,0.7181438196292156,0.5500834278039884,0.44267680389115077,0.547814118683067
0.8690102569280482,0.8980347827531816,0.8551890750881666,0.6426678136612468,0.6726010951869539,0.48102171487091583
0.9112371879943112,0.7128470485706138,0.6079276817218787,0.6296604463761071,0.5372296139391998,0.46594335366707107
0.8717422597654003,0.9394138362604771,0.6697202380175803,0.7110842615816576,0.6552500479330216,0.522732193399042
0.9012289879519703,0.7359503412281705,0.7277396191880762,0.5361500518493002,0.43439169458305327,0.4330203248909758
0.8333793073910735,0.8590713540486707,0.6045448951076666,0.7009738132865555,0.6634077870639448,0.43313398968918515
0.6848946273378856,0.7817105219400813,0.7219316476454343,0.8259447698629483,0.4951062456575376,0.5743498626365203
