acc_1,acc_2,acc_3,acc_4
0.8897371322408986,0.6320497923501947,0.5775725236069066,0.43123302932998825
0.8389388559063052,0.7824702596349218,0.6636159651646952,0.3367703406359669
0.9018150830480554,0.6189991746689849,0.612264215337144,0.4163483741787713
0.971842388512642,0.7333757542670472,0.5317237529649234,0.42258283867785845
0.8312677300221331,0.5598930567562846,0.6122449817740063,0.3858178184622705
0.8312690434440655,0.6104117827547922,0.7063762586506108,0.43709714306671926
0.9763370252405913,0.7324155655361966,0.5804672502045372,0.4823240685451631
0.9113947783322327,0.7757439930662995,0.7085048257984538,0.6008948720968424
0.8124420491252038,0.7303761291618643,0.37375372500615367,0.4639662250265471
0.8934048034868771,0.7074148040756074,0.6490855336833512,0.47060403125782113
0.812926584575003,0.6925783710195236,0.590297098792387,0.44404432673870664
0.8127416197143794,0.5983849074372725,0.5594127452960639,0.2964983027760767
0.8693569817252828,0.65907912999509,0.5906741954561734,0.44787888996406267
0.6969375804273761,0.6798155649898837,0.4243278201652618,0.4548184167952821
0.7120065733989573,0.80123644476418,0.5657595823063323,0.6470593689988229
0.8050169976607222,0.7441561298321436,0.6119023390542729,0.4346111228175102
0.768973510373246,0.5756234542376479,0.7015648569126546,0.47412378738668903
0.8751397866076219,0.7425933842182503,0.5418717158714415,0.44722305842358057
0.7773580739583031,0.6858600842333613,0.5186538451018783,0.35650575699043746
0.7370157038931766,0.66251290664219,0.5431927698465704,0.5414258251612016
0.9672519015137243,0.7656007697739361,0.6565655027494992,0.5101546426149419
0.8319378959610771,0.7991466284663428,0.609633422106108,0.5132825557634437
0.8554022563750339,0.7911690761959626,0.5409525170319701,0.3772490036164209
0.7360201451029235,0.6495292648088555,0.6243947279824017,0.5622235448748879
0.8064493820379853,0.6919296765985695,0.5910995372811765,0.33785191497661754
0.8588738071767893,0.7431677411789518,0.6608249325759644,0.4969485675040216
0.7579205138062157,0.7947102768364555,0.527169085823145,0.6252364500647983
0.8800558414676537,0.6783327276390435,0.5571203616055118,0.37075709398954493
0.8019489048064956,0.7018139485335613,0.5519646810827606,0.40469618163177823
0.8266645000165378,0.6281598687461845,0.4662521374827638,0.4579721092070113
0.8018634710216482,0.620970136740213,0.6070229554984994,0.4097219476707041
0.998182254760715,0.7816687324582026,0.6042177551077244,0.3259469255147094
0.8489202220209653,0.8251658689523325,0.5837424098647301,0.4554850379844822
