model_A_score,model_B_score,model_C_score,model_D_score,model_E_score
0.8124381746615243,0.6870293145342382,0.7181866255058494,0.5874213079900351,0.6246085192497629
0.7617200269035664,0.8529804177915283,0.7248220586300336,0.6055724912288695,0.292660976759185
0.9926177547531642,0.9441568620657901,0.6540639100459755,0.7094191518470948,0.46573124059196513
1.0,0.5528355499872711,0.6150155630535208,0.43075353702851804,0.46285591340042087
0.7601432426180859,0.7203104744529524,0.7830335816544245,0.7529550319460614,0.3592488305282179
0.956296923669057,0.8577072127180541,0.6143916174091132,0.5841992101421011,0.42221833124091246
0.8349357430878174,0.7796954613957008,0.7071566237219392,0.557311893005258,0.3889424154534171
0.8512874616235304,0.837114587337131,0.6522342553234883,0.4987895624739832,0.6752270443423622
0.8407606075761132,0.739601481328418,0.7478979825746391,0.434514332813423,0.5935678393147461
0.8136009230320185,0.80865897874729,0.7333662105286948,0.6823170583961915,0.6271555094994159
0.9048521627944828,0.784432276460792,0.8037539944257899,0.6073317967188404,0.5721672064043235
0.8169049883588962,0.9167782061659808,0.6489983601145253,0.4710039100258946,0.38709482287827707
0.9270456825779839,0.8254420843301213,0.6730125064706628,0.4704921227936384,0.4475479733720226
0.8949761890550864,0.8337602662075203,0.6021236284217693,0.5664215300709872,0.5489374561227918
0.8761051953133591,0.7588123033877533,0.6555706739923888,0.7669021525289392,0.3777872191108055
0.8092436337958402,0.7512393775927507,0.7377300493044852,0.5740408648636395,0.5712998430172388
0.8423228669431667,0.756744181218038,0.7756988616645352,0.44968570468818936,0.4759674601841865
0.9755391225825756,0.8394452142378297,0.6077834675822374,0.5754256935914055,0.46251791924504027
0.9500917187624381,0.7579015519179737,0.786960592010566,0.5727276430252329,0.5710959968203492
0.8022444755201449,0.8289774856896414,0.8355637858804951,0.3303113357058428,0.544426331148604
0.9099332305429226,1.0,0.74134349032237,0.5945705133482188,0.463903383418092
0.975138712337179,0.8871124703431693,0.8876795812558066,0.5769065469791321,0.6159329803364249
0.7330594718878628,0.767397646783216,0.6226210800896427,0.6696206364813418,0.3918936672400103
0.9543360192379935,0.9201213922163946,0.5755345296688582,0.7848956094945345,0.5615935606944263
0.8337376241054153,0.7591924626978449,0.5221279751095721,0.7126565029547758,0.5593101257968384
0.957059866859316,0.5961875464822146,0.8496044311489183,0.5731111309445169,0.469045356068601
0.8236740843457483,0.6991913689082596,0.7654365656354057,0.48934740912583297,0.5326133022242118
0.7195117899335481,0.6129208078974144,0.6944415329089545,0.857335980324986,0.3748886423614697
0.7372457562116838,0.7648486515958692,0.7279968626319819,0.6059218434014488,0.5924027019206901
0.9048084946661382,0.8018418379189552,0.5874510952701623,0.6013929291912946,0.4815097863557011
0.9259722501721482,0.9676437312275283,0.9445751979616825,0.5975874912889997,0.447727697948096
0.8095683374895591,0.8326927373764164,0.7129221181975227,0.6198084760767855,0.604900922583689
0.9638592458777374,0.7780899471191136,0.7109394794604893,0.5855639588076057,0.4295656309457241
0.7338479937731041,0.8829405581183489,0.7725766623898691,0.5426337993119763,0.359153870363644
0.8933920201352684,0.5788864690992115,0.7481009231736713,0.5453141058759607,0.34433708264760965
0.7788983800237543,0.8235614558108566,0.7223884024279131,0.5967246729784002,0.560600995134564
0.8348163892197841,0.8770865193886968,0.6209525544554688,0.5456575228866235,0.3719570647503717
0.9047398671316415,0.6521413754220159,0.7471468357135995,0.5287154217322836,0.6754794181984365
0.8139586634716047,0.914375404320693,0.8882024496475034,0.6106430227691897,0.29180705921162775
0.8615444455770175,0.8338496407494415,0.8345420046154978,0.5745022782579144,0.6696456368290038
1.0,0.7584712086099199,0.8593186626639396,0.7503992988582688,0.5211017467202619
0.8423108130476852,0.8632781866106285,0.6488784323568815,0.33490301916069876,0.49032868881296077
0.9835692112065142,1.0,0.6010395179741419,0.7091506851922462,0.445508091319105
