class,method_1,method_2,method_3,method_4,method_5,method_6
A,0.7222563396154658,0.6881194802409287,0.6594462052721539,0.7523423184562312,0.6424345711194925,0.6455388571179852
C,0.9656581651594239,0.708531434676233,0.6453960327372366,0.7645633427567631,0.5063670803161838,0.43024676887348384
B,0.9769613262599843,0.7444657576854687,0.7956898706319647,0.720436506571841,0.524451730407442,0.4606183569418388
B,0.7254849424039914,0.7546141037179896,0.6577652595384971,0.6158700905037761,0.5826372389606733,0.4395974366527615
C,0.9857619633050139,1.0,0.7359909774079504,0.47231784310524094,0.5047670530396806,0.4009752476700954
A,0.8356418411287866,0.8954620628487319,0.7423754642524277,0.6204784901995265,0.5624465553264646,0.5646414291842604
B,0.8918514559157055,0.8924774112281728,0.7612062131726738,0.639565512894605,0.49066242314566855,0.6661503048481976
C,0.8003348947871753,0.9068580364273382,0.8158270430181872,0.6387071032809987,0.4266829548301273,0.5315123243754735
C,0.9423044827226762,0.6901179130665951,0.6037037063132678,0.7318556356977924,0.711795705242936,0.3994252199435834
B,0.8906094018848667,0.6677635385012761,0.5388840674739512,0.868567641101484,0.48039513071760725,0.6339944539742028
C,0.7685846743402396,0.6793129708465944,0.6732552718771648,0.6823529201841093,0.5921319112392017,0.7185701754034972
C,0.7334798000034711,0.9234506133337839,0.9101528407832186,0.6483268210843539,0.6852891081493786,0.48537576758534057
C,0.7039697564790777,0.735280821111751,0.9322174100087378,0.6440778186995908,0.5485055897483958,0.5021445733282283
B,0.8687941776432756,0.6648643817760713,0.9131177135565888,0.6824384766907715,0.5274834100254463,0.6015660630083395
A,0.9072471411779736,0.7469003799780187,0.710701863223931,0.5871706239651602,0.6326238088667423,0.7121873747785052
B,0.9150965678779441,0.7661394468285373,0.5517884918015171,0.6820198558746056,0.7217933822727153,0.4980165854274774
B,0.8382018905392622,0.8168413273694562,0.4956960898348159,0.71508123363318,0.4930684734913532,0.41675502190017955
C,0.7343003544335636,0.8150951020712043,0.6685961838450589,0.6909686063574488,0.5949852167982562,0.6131418606272407
