domain,algorithm_A,algorithm_B,algorithm_C,algorithm_D
chemistry,0.7745977347571483,0.7686212511464849,0.476637396216598,0.5482533709821185
physics,0.8001063623754409,0.7613911558665901,0.6740423716732165,0.5660343054562682
medicine,0.9272633514319415,0.8320145648618408,0.8286393028873229,0.5747546125786459
physics,0.9342225579424346,0.7735572799787639,0.5338476980865792,0.46049531478304323
medicine,0.7901320626565616,0.753406258842617,0.5573531201345557,0.5309046835024035
biology,0.9044569610889271,0.8843667303457005,0.5623317890441781,0.6423953845541167
medicine,0.9631224356971784,0.6354199363218117,0.6463331559134928,0.6413769648291259
biology,0.7848773342492856,0.8203055885514243,0.5270297060479615,0.49708273007734394
biology,1.0,0.5995519501871318,0.6754580712024313,0.513931963072956
physics,0.8622468851440175,0.682830478666586,0.7180173278802499,0.6110911144734433
chemistry,1.0,0.6454009534043353,0.6867680546787117,0.3499197984737825
medicine,0.84665475542241,0.8448609202118585,0.45649179076952606,0.4676924257322975
chemistry,0.7973374517115821,0.7601256433071273,0.7328500998491939,0.6335570455536756
medicine,0.854186301015828,0.765316342207369,0.7270700747587013,0.5975200541684766
chemistry,0.890485187692268,0.6559933678937216,0.7163494705679637,0.5369263777649904
biology,0.861152009322852,0.7366973170733778,0.6706175581989158,0.34941675946693795
physics,0.8783998578426887,0.6903201363357555,0.6553522647538466,0.4950089766958838
medicine,0.9333965149676191,0.8050121681520883,0.736572273145973,0.4410084603750067
medicine,0.8828820630203601,0.6675575531335054,0.8256846820936787,0.5331038902817213
chemistry,0.8933887606047993,0.8996461031871743,0.5380292869968484,0.41906533152051195
chemistry,0.7290773600797404,0.5991086217042573,0.7411458729128105,0.39742766050253925
biology,0.9391698016010472,0.6860146834210106,0.624711623532588,0.2935134722316358
medicine,0.8910796702308332,0.9343867176632763,0.6203660281304733,0.6221804684976702
chemistry,1.0,0.7231527918704632,0.47968026429512944,0.4600229488556943
chemistry,0.8060434832746042,0.6351788002262255,0.6048543923817938,0.5157145783702535
physics,0.7191704671500485,0.7885738229204335,0.5336068375364917,0.4997761883525819
chemistry,0.9618068493930042,0.7191274424452125,0.5869478903827388,0.3932566067039501
chemistry,0.9346527018313001,0.6830796411048361,0.5235146949555183,0.37409350885518067
biology,0.7991566979468854,0.657079585586795,0.5884424946020327,0.39946848740027646
chemistry,0.7470251044995908,1.0,0.5927222976309929,0.4276831561170607
physics,1.0,0.7415114766482531,0.6430088251772134,0.5366606247013805
chemistry,1.0,0.574109930633379,0.47185834710420016,0.42042823364793885
biology,0.6512543241293871,0.9160376425672201,0.4887815185588009,0.6746490631594622
chemistry,0.85417769707435,0.8277737571777238,0.669524760406386,0.6027151035893151
physics,1.0,0.690020023564688,0.5535895216263234,0.5808359549665708
medicine,0.8523937442222134,0.6733547577980525,0.7407863123563264,0.48803410975268496
physics,0.8509387765973347,0.8340139462824898,0.655860305534838,0.6514280735720483
biology,0.8717240672370632,0.7419748339177212,0.694009548353974,0.4781994368878876
medicine,0.7879103026231841,0.5740688848221566,0.7744025653754227,0.4968738585845754
chemistry,0.7295224255771956,0.9453906631271336,0.602362252152676,0.5169974539749269
physics,1.0,0.723267620445071,0.5758846627917057,0.5701823040543343
physics,0.7157063093752325,0.9162238403149093,0.7205035918932147,0.5636908079002986
chemistry,0.9247271452108756,0.8945101624632382,0.6842846897263019,0.4524874721555397
chemistry,0.988657949275765,0.6665657122183852,0.6146003023512032,0.4467006280574046
medicine,0.7548773701098842,0.8699856531029815,0.7724791300289275,0.5639902957152084
medicine,0.8075731597404928,0.7015224116802986,0.6121089023493402,0.5715236583891232
chemistry,1.0,0.5799966079862725,0.6366106970889115,0.46066488751771273
chemistry,0.953289172022704,0.7242068500644525,0.6354555984167591,0.3412811930321546
physics,0.8382714293121113,0.8064304168442946,0.5398739438434862,0.47926839039917557
chemistry,1.0,0.7203930018670329,0.6410918722819724,0.5623525798825859
chemistry,1.0,0.7359618325741566,0.7730093510731825,0.6805416846419781
biology,0.9269052693015707,0.881023271159528,0.6778301648709509,0.3802042037659338
medicine,0.8099839772126337,0.7773160646956759,0.6364396759732265,0.4573428747169426
biology,0.8586551296528205,0.6823368355381715,0.6171566052167664,0.46105964384746234
physics,0.928638674395539,0.8368696990333994,0.6664200361739684,0.6355805339431502
medicine,0.8811405170852512,0.7864342233620912,0.7083099961822518,0.4965058499541367
biology,0.9938957178234852,0.5145061865204624,0.6942572164223086,0.40926734406277343
biology,0.7470225919890664,0.8095019580438116,0.6001468471511354,0.555869528292182
medicine,0.7505736470933762,0.8058495374382769,0.6658114927443448,0.45953614799590536
chemistry,0.9180871111482433,0.7686787796247527,0.6813273074481612,0.3775612726642046
medicine,0.8508455586193095,0.8558367247736243,0.5326138345806355,0.41072266927238493
physics,0.837295138530226,0.6994273082340166,0.6501563874517028,0.6734041954422619
medicine,0.7231943280825603,0.8003166455487568,0.4172029447030971,0.5384209221649462
