Task,model_A,model_B,model_C,model_D,model_E
math,0.8705455687036303,0.7398013345406322,0.7032783209322624,0.3775938189131965,0.3499370627516759
reasoning,0.7724393395397608,0.894694414638698,0.5694473317489479,0.6193823453859103,0.3644904525590795
reasoning,0.7699664593834696,0.6839165764189854,0.628488619982951,0.6666528336221004,0.3293977628591881
reasoning,0.8001012744020888,0.5927010742927139,0.8042276627661302,0.6391343901605248,0.36140292661022233
code,1.0,0.644745280812989,0.7494351519815423,0.5295644273354352,0.16499698906828175
reasoning,1.0,0.8494298826687623,0.7402271399943453,0.5209558517988852,0.5044582400793628
reasoning,0.8717207937528401,0.775473113738021,0.6000127569589149,0.5944145171087258,0.6554193841256071
code,0.8035232776088272,0.7371122621311247,0.7043032279289653,0.631575448665207,0.4647820739036527
math,0.7322773582548789,0.6990906194688431,0.6266102199546406,0.6102473436282364,0.30837311406593926
math,0.8968540161546069,0.798535990755319,0.6303906789323063,0.6540057890793389,0.3857223617100052
writing,1.0,0.6650895149009777,0.690968534374655,0.4481130042933265,0.4041123154975003
reasoning,0.8252659612974843,0.7805665568642596,0.5903006411579068,0.5272229020876366,0.34824152227866245
code,0.6121003959246776,0.6768745431187043,0.7993003104443204,0.4559984067876246,0.5360182638395157
math,0.9170049671815523,0.6602340614724946,0.6339869860402063,0.5113887223913859,0.5310260044375334
writing,0.9485399711450049,0.6862512565174989,0.7118360566259665,0.6515220891814306,0.33445482061823406
code,0.6914154359614152,0.7124592553516038,0.7955600479257299,0.5607983920725229,0.5225081044447508
writing,0.8676484183662952,0.7451170164066296,0.7531653774575175,0.8106859163149771,0.6026812663577266
writing,0.8951226016136099,0.7735455795111115,0.5091080897309476,0.5693406367189717,0.640255820522956
math,0.8426892697991061,0.3811634708571556,0.6944895895009885,0.5559691880579737,0.7365212023085963
code,0.7709229080914646,0.6692349442253235,0.7350719394460647,0.5606182919440217,0.3598007350556803
writing,0.9515937223563556,0.7108430022643961,0.739186302216075,0.48621913071400646,0.7324220426395203
reasoning,0.8096620254031317,0.900506203860833,0.5386705165885369,0.5442163387622406,0.4145793611491212
reasoning,0.7014813837300068,0.6419997391617868,0.5842964762982676,0.6627788027111646,0.3907534544619486
code,0.6450525514330319,0.7662796618099913,0.7494558235741622,0.5613970668127772,0.48270723748778455
math,0.976084951999931,0.8995030309735838,0.5738239629317354,0.47065402701165293,0.39179386659069876
writing,0.9116663976471118,0.6187031470052727,0.6200303943335685,0.45749153795213654,0.4899044140646526
reasoning,0.8587973547129168,0.7893975225864402,0.807587580950197,0.5049798108334157,0.3179922812262699
code,0.8059725363149196,0.669772816606548,0.645220074961521,0.5573863434410881,0.42612473979365656
