Category,product_1,product_2,product_3,product_4,product_5
food,4.929815393427423,4.2616618913642945,4.284259492736277,3.4418033929970844,1.8877988964763641
clothing,4.008990251394548,3.5997048288259474,3.105976188383496,2.3169008311655412,2.783270493540828
clothing,4.156633802216324,3.845245057036385,3.828464533171044,2.4592933096303566,2.175765399990431
electronics,4.692483208023817,4.096002118484338,4.216916419329922,3.1679236323600346,1.4217773114974837
food,4.899283336555295,4.138757929440946,2.81135225536395,3.258198333893289,2.314371314664803
clothing,5.0,4.160093927460936,3.3283324120737756,2.3774743882480025,2.9905748577851767
home,5.0,3.930832358991811,4.071103696442779,2.808591259506625,2.3065352767000262
home,4.4662767207224086,3.8112882994348354,4.078622273865513,2.6969580838901708,3.3689924925617603
electronics,5.0,5.0,3.4142521998058806,2.7566618385592014,2.7144839742742586
food,4.328847578275425,4.453393636466199,3.13266445316157,3.471798888136473,2.669379081140183
food,4.951045655794134,4.206573737976311,3.977967911165381,3.3532527317736265,2.4358008670411957
electronics,4.603744398926091,3.883395750896803,4.091774551290802,2.9904389100731463,2.4658568961178546
food,4.722838953540962,3.7743905865280616,2.9176683257438025,2.727019036442536,2.368288182440248
food,4.711753937011019,3.9345997031365223,2.89804317551681,2.32517516488993,2.348865303958737
electronics,3.697647495101094,4.146414421793342,3.6126283409917996,3.7100924693909745,2.7654335810335744
clothing,3.9379390705696133,3.0597822279684594,3.814680316714446,3.296056950142459,2.0320843851047172
electronics,4.551270719908762,3.215305202312658,3.3504654573849724,2.64666544796343,1.9620530856378702
electronics,3.6563604601794157,3.6815588055305213,3.8396469099911745,3.3597997488124456,1.9384024745623112
clothing,4.915605551599878,4.103569718389284,3.1449316965813088,2.964888189712687,3.522827273838577
clothing,4.935777983144071,3.8803634264240743,2.4426532004631323,2.8564452475688284,2.76517145083529
food,4.663585276438895,4.739060613049742,3.288049463833702,3.217605764144801,2.652246100840072
clothing,3.939432993621039,3.2588016065021157,3.5316160732565507,2.6292508750436374,1.9712426648532841
home,5.0,3.624327265198315,3.3620800200517715,2.828121740244945,2.811671150337414
home,5.0,4.760045870495551,2.9206983681702576,3.060730532099773,2.4417143267733357
food,4.573538413722987,4.065559662337574,2.5921755120605914,2.7502744035573934,2.607084470565875
food,4.755267689225618,4.44242129140058,3.242955597816051,3.334542605133762,2.011689842068222
food,4.600869327398022,5.0,3.9488278858248718,3.9345332518391305,2.580134428708788
home,4.7651845944994,3.6530977910490887,4.128098719706841,2.6228509336964287,2.2880832308967585
electronics,4.440220621686802,3.950342831103984,4.093856692069227,2.167437351847978,2.117194421484906
home,4.4827178800780985,3.8637865495345642,3.0920452324257237,1.9991299162618692,2.867053167903624
clothing,4.952858800248682,3.0227034977583624,2.923146838184818,2.924765929252509,1.731146095734999
home,5.0,3.8448015981220154,3.748317307489948,2.6684177049369087,2.782388132157075
food,3.7999643827991307,4.440531093690333,3.817550005798963,3.10393025053354,2.842243066776498
electronics,4.4480937577985165,4.27029477090612,3.700084802600249,3.0662988360130505,2.0601781622243798
clothing,3.909769757383959,4.309541584694005,2.4929683628811183,2.198391576692952,2.0898357694337664
electronics,5.0,3.8122455096802503,3.0665577075582666,2.092558085259297,2.388487159366799
clothing,4.206131015340051,3.671951381997179,3.485155604857011,3.1479666201730474,2.6410181052311104
food,3.778399603107103,4.63462783594931,3.7436090973152134,3.0677144173599786,2.423572504092887
home,4.819093499424286,3.751341426821165,3.883653681301243,2.7870910008167242,2.7167812300959397
food,5.0,4.147041019396607,3.57212676114102,2.1714282074338476,3.3814898262686994
clothing,4.831798934280381,4.081667340338769,3.665391903269118,3.2356956313824954,2.246141615425143
home,4.602398938640959,4.730858508128559,3.542432729180552,3.635949772711972,1.6424100146482896
electronics,4.704570461387997,4.48570617883618,3.8428096871092414,3.138991220109461,2.9129617915153267
food,5.0,3.3523706896664396,3.6564328257454557,2.576263054717468,3.341657287963765
home,4.062900364992925,3.40622341661248,3.5328688300236437,3.0222760827855755,2.6963841815255623
electronics,4.444076447956843,4.289454909034567,3.3658156004313096,2.3169429595331574,1.956125662323166
clothing,4.273654925745233,3.967831176310417,3.5406457125212407,3.528980356919396,2.4380538183823997
electronics,3.916067346354145,3.772414108023118,3.7422956894196373,3.0409221672647693,1.9407382578941839
home,4.335812370291599,4.507813941997235,3.6337376944490307,2.115921544123384,2.821427746981474
electronics,5.0,4.093729691044455,3.6904132091726267,2.8496628197781586,1.8243547986507829
clothing,4.783301074196363,4.026228693444722,4.1713609306755925,3.2316507551171156,2.3499356065859
food,4.8221552500541005,4.389914320377525,3.632581961373294,2.833476189512239,1.9978310868530467
food,4.573237805826659,3.8124455025282176,3.175500739763421,2.862052139279913,2.563412342567481
