Task,model_A,model_B,model_C,model_D,model_E,model_F,model_G,model_H
code,0.8788028368305489,0.7093446924599193,0.686798668195864,0.7200498747793527,0.9207096284346357,0.6609813788201959,0.5852925810889203,0.5212481764433805
math,0.7056074452926243,0.958148447980185,0.6819164328320901,0.5822317944515717,0.7960144684558851,0.6187481717356481,0.4207143309488035,0.5531380525277331
reasoning,0.8944853537557488,1.0,0.7823587453983117,0.4853649127194326,0.6936960539174013,0.6092290658804405,0.6207049156920047,0.48881857956547337
math,0.8911565719164282,0.7895546164851868,0.7436190659293136,0.5028845586312785,0.5461081932694744,0.6563882982588136,0.47547490254943214,0.3529728674091761
writing,0.7558596830997975,0.7424921168195832,0.7068986826631739,0.5516731708459788,0.610069355258375,0.5163138246091007,0.6445913552856131,0.31471341110359613
math,0.9620967023614377,0.7756196471117767,0.7540155785454339,0.5896854587678612,0.5670865284509198,0.5210219626523614,0.5878104973592935,0.4648780634807305
code,0.9305574702806173,0.8643303156089128,0.6365615816038224,0.66259657877227,0.7478141653382103,0.7828587759579717,0.21282870059568376,0.4328743695175066
reasoning,0.9475823337288564,0.9206428083601942,0.7462421481052535,0.5771550067587318,0.6476788605137548,0.5396286088597568,0.4067348938473544,0.4587391428920122
reasoning,0.8508857703668895,0.8499058759435002,0.750774534998749,0.7124690179382548,0.5430121855925881,0.6377989255911234,0.6015813794263961,0.44839459607514137
code,0.7084475933086293,0.8030294637043198,0.5854095997785376,0.6553440782914813,0.5743530615160932,0.5649238683820458,0.5223085843573588,0.7083573660166567
math,0.9477872272211137,0.9426583198875855,0.8352836611513219,0.6796259997455312,0.7335473856855619,0.3794598612778728,0.40476726237207206,0.3169773744358662
writing,0.8229628600864208,0.7615734955519906,0.647570915191586,0.7925964838385491,0.7814383561106193,0.35982281390558746,0.44378390559347586,0.2510053730178875
reasoning,0.711021985680733,0.8959490766938335,0.7447452656349292,0.5605482551513916,0.774261727777196,0.5063872922917239,0.316519195133919,0.483237683351961
math,0.9852039365974326,0.764050863022015,0.8521554597678127,0.7204418864006654,0.6971317779339692,0.6698958394527132,0.4983055283902175,0.41235774454118046
reasoning,1.0,0.8359594386582321,0.8282819614856726,0.6771741057238213,0.5961660845483078,0.6431148799493147,0.7282118297444335,0.48160678697299514
code,0.8458751871020797,0.7815008863780977,0.7391476245711692,0.6452228004744591,0.29727718889565935,0.6556934307081177,0.5876361962160896,0.5083883022284001
code,1.0,0.7872719245918617,0.6994643854260788,0.7670970606580246,0.6511445738093936,0.4655810963920827,0.7261845572616994,0.5784104695178898
math,0.8591314728611349,0.7551184911109218,0.8304654765718424,0.7664728440271293,0.6212456955441614,0.7258729632979457,0.5953825661218551,0.2992774179616062
reasoning,0.8119544095833648,0.9273425459752123,0.8031837834951476,0.5839223489725858,0.6354267810607068,0.4677963842670758,0.6098907914781263,0.3943282102142837
code,0.7869541545814522,0.7195645390462893,0.6738777837098726,0.6603553701856362,0.626818306131892,0.5855681541527111,0.7045507259173596,0.4928761258880764
