Item_1,Item_2,Item_3,Item_4,Item_5,Item_6
-1.0318829488639276,3.16709544462395,3.9129327153754274,,,
-0.953136192515273,-1.990821155582739,3.389997654003276,,-2.647978350874654,
0.28221278796237736,0.34787704619543414,-0.32933167307278116,-2.1076083076879137,,1.6085738289132379
-0.544941234739268,5.5721876811614655,-2.7898126541550923,,3.1511294177009166,0.021323873263097648
-1.6336763199137827,-1.3468399163308127,0.7063547670376661,,1.2100428922002973,
1.7239551450270938,-3.259149752674045,-2.4025486177574176,,,
1.5793122818156486,-3.7363816749852483,1.3988520979043102,,,
-0.010178647157965142,-0.28215691440263563,-0.11138258237336712,,-1.2557134018049807,
-1.022632873803855,2.002001956349265,-0.02004000504440523,,2.582162600041345,
-2.0270713693725106,-1.480495227018263,0.6007478739173242,,,
-0.17624596027225162,-1.0073586287314986,-2.2952950963551344,,-2.3480194072693257,
0.9453300548044984,3.7880430463394825,3.1939705634726123,,,
-4.984548614851671,1.046652868394066,-2.59734641842462,,,
0.4209397807357522,1.5492509577680427,-0.28134900767111565,0.06699237805827776,,-0.19508484650954444
1.9923319154893278,-3.0829665841593745,-2.434443822240994,,,3.162471912311425
-2.610734248381316,0.14197979253704862,-0.45733140273297124,,,
3.258970127209044,1.5760470613704207,0.1553234763470949,,,0.964896392586208
2.1540217240246387,-0.49312702414270443,1.0402598176277558,1.473620175735054,,
4.313143677935656,-0.6086776896208959,-0.5409783535003815,,,
4.62668469799048,0.9689365933493346,0.24782611702680615,,,-2.3996993179529578
2.2836311171480914,-2.253717615615203,1.1519554059971227,,2.367999645757508,
2.3875808010873834,-3.3419903660943375,-0.6773517241043665,0.10750212000645286,,
