sample_id,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6
s0001,0.9776263987873555,0.745893677753422,0.5783935823928105,0.578555620970237,0.5013278305179938,0.4391383345061658
s0002,0.8871206763470059,0.72659666456764,0.7071187143745662,0.7425500219721257,0.7251929089517424,0.4383929189879517
s0003,0.8518230997137117,0.8253627409358232,0.5757057453616784,0.5933514415718454,0.537793729655821,0.53730660663321
s0004,0.8480469610532898,0.8120309817485205,0.5715048058773924,0.5128810130862008,0.6482900489387524,0.5108984446492435
s0005,0.7786371106795532,0.8291801191145016,0.8504934501753901,0.8277320381042221,0.5806976345828142,0.49189116113727865
s0006,0.7956016586627316,0.8959283711436169,0.7969447388124189,0.42750222530388826,0.6413862397982221,0.1466010637854731
s0007,0.8927376045470797,0.9562869121400177,0.6895857415055845,0.5361261274695073,0.2500035697406414,0.4799794874163164
s0008,0.7114639481555505,0.7824663393407557,0.7084768650249024,0.5472972148169606,0.4995541978851771,0.28443606398299176
s0009,0.909305405028302,0.8799463771395654,0.665208397425699,0.8608306273056563,0.6607135423150714,0.5146320163135826
s0010,0.8111492932881147,0.7348339816165785,0.7469876375979523,0.7906858884146512,0.47282641772506667,0.5974497367570515
s0011,0.9325557074869565,0.8885006983583016,0.6223945633451194,0.7593928143642198,0.7062473164869613,0.3573760887411449
s0012,0.9461093457232084,0.8761509157175844,0.7893740262867956,0.5769341337623668,0.6783890153767762,0.42382192776572936
s0013,0.682691598749426,0.8708415969942992,0.6646913158985889,0.8526178003841776,0.48308692838725376,0.3900644294947003
s0014,0.7918419236772781,0.7794069841191524,0.648015300416877,0.6468352003840971,0.47968364809536435,0.5735431775756801
s0015,0.7644472312059376,0.7031641836009112,0.6921713018484842,0.7077263370303122,0.42863941576455317,0.45950278852720733
s0016,0.6687272034926857,0.6305471562134524,0.6308853170074389,0.6279695381106207,0.46704057681362027,0.6228329380566333
s0017,0.7467466723790589,0.76599627924789,0.7228682349496482,0.6050533428676749,0.4067410935831085,0.4913754202947388
s0018,1.0,0.9233012542249184,0.63626374106866,0.584822132607362,0.5728811180433006,0.47424501806358194
s0019,0.910950989621244,0.7390155098635927,0.7368523602818835,0.5890360006580838,0.3843953506653567,0.45682067826028366
s0020,1.0,0.8485126585460054,0.8116006538911475,0.6708491648678079,0.5903733016190222,0.5317992099257337
s0021,0.9329098440018335,0.8543951400518931,0.6180678313191825,0.6467199798775388,0.5928078696900249,0.27623138017546567
s0022,0.7758156838991525,0.7416313779072827,0.6769424542704828,0.6068528629796316,0.3638795594816078,0.458534395552051
s0023,0.8118228803325956,0.901634483751952,0.7361330713035421,0.7609523992698854,0.684981860632834,0.44299535562720355
s0024,0.9088436180240307,0.4791339255519496,0.6464142645018592,0.3133246931259269,0.5813609294415222,0.5225418827157766
s0025,0.8937506203473036,0.6477249721261825,0.7364320560826665,0.6609887247921195,0.6049698021444869,0.4312298394125963
s0026,0.7922657984291666,0.6784367703641541,0.745539886065174,0.6817738706658979,0.4541334798457228,0.346126556583733
s0027,0.6990006829420793,0.688028497713261,0.7983261776294304,0.7246962868255169,0.5922379118473119,0.4507350674919699
s0028,1.0,0.8036262951185895,0.6294009953915087,0.6035128558946639,0.6426393449722065,0.34171594711316566
s0029,0.8358850327657195,0.7990037803053902,0.5957224759769525,0.6307920067383957,0.5201391600995323,0.25747377874125144
s0030,0.817426110681738,0.8093990572175008,0.6592422610436256,0.7085948383314721,0.7301922459248361,0.5227122481485493
