sample_id,algorithm_1,algorithm_2,algorithm_3,algorithm_4
s0001,0.8056478400162885,0.7503569930643282,0.6740203867943617,0.4399304127182823
s0002,0.8572249134236203,0.7618941044315246,0.5457405087861976,0.3553686177252204
s0003,0.7937837658065272,0.8842302960512229,0.6094517874612961,0.5674814057585692
s0004,0.7077941502832068,0.6972671874100042,0.6625078607342055,0.26210190552461726
s0005,0.8715031942943455,0.7575152004813137,0.5261430483523408,0.41722049441225373
s0006,0.9573366582444972,0.6305378564280766,0.5192221679180563,0.44583399766186654
s0007,0.9369572518653421,0.6810239546141588,0.7492203027788662,0.4515908658399631
s0008,0.7690264532610188,0.5641481230004468,0.681792622822913,0.4680496056078081
s0009,0.7248772084622324,0.6971877045383431,0.6624005652024061,0.5110439819809494
s0010,0.8215812117845221,0.6861357513148102,0.6620609626456246,0.44645925609546494
s0011,1.0,0.7465866432755562,0.6292908821644398,0.41319417178563195
s0012,0.9145598078959545,0.6543069786334027,0.7851109146508397,0.40924106553403045
s0013,0.9203964676794233,0.7250012017641758,0.587724163521049,0.3888484197961645
s0014,0.9389856951785495,0.6833286611059001,0.6410595700534252,0.5287543324326865
s0015,0.8920766562518586,0.6835167278367152,0.438242040473932,0.38534715205234854
s0016,0.8620608547613579,0.7247028992629697,0.5008372646742092,0.5346771109008245
s0017,0.9162306896647968,0.7207189608983676,0.4632514333498292,0.45189990822598713
s0018,0.795383389578198,0.7927840705718305,0.7107396916849482,0.39787451931438705
s0019,0.7085536988633678,0.7046023632536832,0.3280793181312583,0.5118407215744135
s0020,0.9222996934624323,0.6816781317543663,0.5431023310580609,0.3772546075276882
s0021,0.9737738105749225,0.698585922157944,0.28396267306727097,0.5138184040728213
s0022,0.7381768060643968,0.6452002549825674,0.5002045437851442,0.4712726121191785
s0023,0.93219214824159,0.6806755573099995,0.5342384383601466,0.3903675310908079
s0024,1.0,0.9197825379739898,0.7218204427127377,0.502863481533456
s0025,0.8497753798242879,0.6253987905970799,0.6229961272554789,0.5046589725688639
s0026,0.7681997815258254,0.6888010332787358,0.5000191810004366,0.5657519605809957
s0027,0.8623018673526756,0.6779178003396976,0.6899297053065159,0.5466147012409296
s0028,0.7949466031799298,0.6919495054422268,0.585116558786309,0.4991274020726283
s0029,0.7883269890043598,0.6835427357788272,0.5870900192040585,0.33724090487912367
s0030,0.8933184067271542,0.7445906767887667,0.4630661825561341,0.6948586988174057
s0031,0.6896270524970104,0.5456491565274872,0.4843319619430193,0.309638378892819
s0032,0.7056071077507773,0.8203838139198671,0.5008236033387808,0.5449263174282309
s0033,0.8519290880373943,0.7799249466308864,0.5879794606487522,0.4931283816886299
s0034,0.8477691461087569,0.5923795080603532,0.5911219060314007,0.33258576275188856
s0035,0.8843554577039936,0.48975893937142656,0.7377425996857377,0.4375699061121501
s0036,1.0,0.6189594520525266,0.6218388501271167,0.44212471137553594
s0037,0.8604514036075821,0.6924000205239544,0.31257676396612244,0.5805582715810523
s0038,0.9098172150334795,0.9746958565357442,0.6095975321205023,0.3786689099719789
s0039,0.7524467064385367,0.770992363164094,0.43833169771658,0.4238054993575646
s0040,0.9267937663516537,0.5359077017485209,0.4867362408721796,0.2163930394978737
s0041,0.7973609134889322,0.6477011161765722,0.5021163861607003,0.6234762793123577
s0042,0.8571420832581093,0.7113454230393683,0.5169995009821031,0.3429531756979929
s0043,0.8391151374930839,0.7420350220964763,0.4458183941293029,0.4826910864239175
s0044,0.9532974234914031,0.5851917806356244,0.603681533678562,0.4398592170278136
s0045,0.7190023445625,0.7031676438689606,0.4422531048242373,0.44019990332166603
s0046,0.621676136538496,0.6449027529056126,0.6190000940583179,0.5309861984870875
s0047,0.8286567302912076,0.6062908104064351,0.8070304410394962,0.6171262460303635
s0048,0.8968531256905123,0.742626231336562,0.45039742743992683,0.4751493669941992
s0049,0.86522693758075,0.7940543840109489,0.5548823028994111,0.5155078017630526
s0050,0.9732204237413911,0.8007707943628286,0.33098759708208625,0.4828891536727041
s0051,0.8937372674179668,0.7741053017800543,0.5532398040363199,0.5517531423930626
s0052,0.793615166814014,0.6669297133526404,0.6476050485964816,0.4037083620513673
s0053,0.617457984586032,0.7881216428130172,0.65539725646906,0.5575390554416414
s0054,0.8262687765804781,0.7475721104770955,0.5910697063617429,0.5610499865647384
s0055,0.9527959002257798,0.730060854961868,0.6722596758092308,0.558253700868291
s0056,0.8107952217332886,0.6554973544964868,0.8379387869276125,0.3839852132663524
s0057,0.8528320263677764,0.6669790539325139,0.7545638020770932,0.43316623657628095
s0058,0.8921360254306708,0.7240553602791221,0.5310812403923696,0.4739466988780435
s0059,0.7484707625750184,0.9606541133652169,0.4382229346866594,0.31291579551709947
s0060,0.9123235896638817,0.7467909146758057,0.5427181916759529,0.6094920208086014
s0061,1.0,0.6555478164416381,0.48863505677159846,0.44877234664978244
s0062,0.8327186648106594,0.6334277221697224,0.6284680881197965,0.4783927887604722
s0063,0.7370935578167698,0.6674900054010464,0.46521397939038345,0.3922995560272797
s0064,0.8433398972978026,0.9343960114215732,0.576051090074299,0.3173122440632977
s0065,0.6275615891391131,0.6767410020720704,0.6671347387869643,0.3895970114525229
