experiment_id,system_A,system_B,system_C,system_D,system_E
exp_00001,0.8719204187633588,0.7397406902935593,0.8335112667804097,0.6931993299254146,0.40931894553951287
exp_00002,0.9173428812753693,0.8450972322703966,0.5641743013877513,0.7291732852654598,0.4953451703763525
exp_00003,0.866179154060272,0.8823340176863546,0.6907834189178523,0.680168023225597,0.5402379304225924
exp_00004,0.884672401624195,0.856468443729407,0.7966917401075467,0.8146888747872081,0.6728572082061998
exp_00005,0.8162973625318624,0.7438791710826319,0.6276926895087855,0.7885007165731419,0.7702243273372914
exp_00006,0.8996248566245428,0.6658953282805926,0.7309555646767151,0.6691035834850763,0.6835473897850655
exp_00007,0.9982832866385907,0.5542452434328645,0.7543339596999048,0.5411419340518497,0.4724620970327394
exp_00008,0.9204789442438986,0.7487159500537607,0.6139476132018761,0.4940012488268232,0.48041903893738347
exp_00009,0.930954188825294,0.8928087368562175,0.6927522280405964,0.5862618254985286,0.5340671422490649
exp_00010,0.8794016399306631,0.6625834015238066,0.6843496169790789,0.7003213446416157,0.7284558888853587
exp_00011,0.6996844930400398,0.8450209847518766,0.6448262148167707,0.8076647079311938,0.5334575947818107
exp_00012,0.7455333469368757,0.6799847469948128,0.9301674852050774,0.6667447034410799,0.417249250946257
exp_00013,0.8954875800663843,0.7856072576386839,0.6236893646554524,0.7418722794231236,0.49988228630469655
exp_00014,0.8489060948039914,0.8457791614155018,0.8004930294067882,0.6004692513812198,0.6257056001819418
exp_00015,0.8939842886472827,0.7090504563161573,0.6607198983118857,0.687276912522755,0.6189940276896088
exp_00016,1.0,0.7920484680696914,0.5913363811114718,0.7073356829477173,0.5299783333508344
exp_00017,0.9226035999229334,0.7334908663274672,0.7102814243155069,0.42704057241474713,0.6183414673560031
exp_00018,0.9758886205742822,0.8455148658938176,0.76490933843875,0.583656119762349,0.32268277974531684
exp_00019,0.859468138947073,0.7985317168484638,0.7920509575065678,0.719970038427787,0.5603829235032698
exp_00020,0.769278432251556,0.7806507674429267,0.856226511065507,0.6524468335636565,0.636068542136863
exp_00021,0.8442133840785658,0.9308349960141978,0.9945246289935099,0.5053484951849067,0.46671367248454654
exp_00022,0.7695248186280862,0.8412306142368302,0.7250514203755597,0.3819877624272644,0.4663661463503712
exp_00023,1.0,0.7059648133873712,0.6336907826174611,0.5884219254697993,0.36335518472365247
exp_00024,0.9290391076535469,0.7664136099202239,0.745287432679489,0.6178414307106121,0.7089895594810695
exp_00025,0.9020512496628279,0.7674101214920339,0.6733787049593508,0.5366077050171655,0.47798460229784334
exp_00026,0.9735943202228103,0.7830319572625212,0.7925966129852229,0.6393084937027994,0.5741043277862112
exp_00027,0.6479943585476774,1.0,0.5702835703634278,0.6756386747232894,0.6103917041483375
exp_00028,0.908813795134266,0.8120851892710997,0.9368334542400437,0.6920687170726233,0.7012067949141454
exp_00029,0.7189354215695627,0.5714097429895224,0.7856048094775512,0.3894081075067678,0.5346102226014365
exp_00030,0.8492744301534338,0.7207201028283035,0.5315995982203835,0.493571490219188,0.4960570206221582
exp_00031,0.8188292407532786,0.5817627912504192,0.6290971097685027,0.5945377351645265,0.5673067648570554
exp_00032,0.9161736612096948,0.742020174295416,0.7816081044113938,0.6822173131037463,0.6784080276542288
exp_00033,0.8728187288960956,0.5762689770273571,0.8176344056171454,0.6739234013550035,0.5329827468599216
exp_00034,0.9845117173611788,0.6878409528931573,0.5727762372768036,0.6721869947876675,0.4545130918415924
exp_00035,0.7898102839067386,0.622927847036588,0.7713025850432949,0.5866582058031068,0.39592421916846376
exp_00036,0.9209114389633284,0.8134160177967478,0.5052660127338076,0.5922366562690039,0.4278702615394775
exp_00037,0.8662223216898832,0.7750539362628879,0.6910664134528953,0.5521670731578259,0.6364391497406665
exp_00038,0.6864709729928447,0.8052962307498731,0.8112046842103207,0.7018194128105848,0.5179375523693189
exp_00039,0.7581383541476967,0.7645448611431473,0.6448484269897019,0.5329511212260422,0.489247909007929
exp_00040,0.8350121966477831,0.6355702249795583,0.5493077700861986,0.710003639518957,0.4784032776816058
exp_00041,0.9612292449891727,0.8263521369254736,0.7146214796377559,0.6457853238137646,0.5585045860200182
exp_00042,0.8963723057557115,0.9672224560269453,0.6395281133364521,0.6204955521544846,0.5260544906234417
exp_00043,0.7332499176119285,0.8159212578606547,0.7629558366065835,0.5593289600223533,0.5226867856280748
exp_00044,0.835968377195284,0.7324075400682434,0.6114673567781939,0.4894458138835873,0.684932392781074
exp_00045,1.0,0.6321932823894555,0.62273631103469,0.5602347243621955,0.7038016281861634
exp_00046,0.8611223334840857,0.6841933029240035,0.49789976791237556,0.5919993131375114,0.3889978327091004
exp_00047,0.8172674424927604,0.820303965657206,0.7169944711051482,0.38809756884187485,0.5827592731142958
