model_A,model_B,model_C,model_D
0.7868348475486355,0.6566280973795561,0.5247540609884642,0.43854405725274803
0.8791202755138032,0.7306320356232018,0.5611733638948293,0.45840943882501967
0.813642670508497,0.7240003411444803,0.4392351698808414,0.5190910957392193
0.8315967600800998,0.813543656234802,0.6792149639801005,0.405519316182951
0.6012177942437669,0.8133844789105616,0.6961019627849762,0.46390286869531255
0.8278218596283864,0.7660644048872312,0.38859908591925185,0.4454877109675948
0.9469369302408054,0.6804319109120565,0.6811791138999883,0.357411009610885
0.7868597444433442,0.7908488961056793,0.5022804703511706,0.4386333310918565
0.8552526368215316,0.707469820046362,0.6690308870316118,0.4356340470102882
0.774404929330808,0.6084752297953534,0.5764886840666917,0.4334919434996954
0.8860441676292773,0.6763378874755728,0.5862108897414331,0.45317594565814506
0.8283476802463826,0.7251193650450991,0.5648235683912114,0.45756735406133864
0.7560758459317993,0.8076882450331412,0.7045462537566819,0.40677048208926697
0.9832551467665127,0.6983138494509513,0.45937453208083046,0.5772714733971265
0.9428932013532215,0.595746795542706,0.6441173672068341,0.3330519370796983
0.7895093236071825,0.7223408349963486,0.6934663498222883,0.37790298915301035
0.8997788309417777,0.7280122706723219,0.6549673413873743,0.7279963624223555
0.9037412002820381,0.735250429556942,0.815803224765675,0.346200864501077
0.9142301235011175,0.8086538182621097,0.5304386570608633,0.3146245325290241
0.6805744104004922,0.8185589906756565,0.6790638155926864,0.5234476745001218
0.9506606541032627,0.6572455794285,0.5727242697991912,0.2422880146226126
0.7930301037074269,0.6550523208617723,0.7066739409686003,0.42647260900275613
0.8142172066558733,0.6126467955711193,0.5825644337611963,0.6645824925076489
1.0,0.7865482336947143,0.5445457551470863,0.29550640778466
0.8801873380721011,0.8615486775004382,0.7139405537204961,0.25180355142612865
0.8113677524552825,0.6851584738757743,0.5341771394314403,0.3000818798042302
0.6294705627244094,0.6925236101941674,0.44206075744327766,0.5398359568346985
0.9889764133946355,0.8633449223565643,0.5316486450159504,0.5624776719985812
0.7154790329191397,0.7672224519881674,0.6452366279921865,0.39874112030214914
0.7496561096500496,0.7602902371467721,0.7225372084920424,0.5183212404001069
0.816864770091215,0.597575016069294,0.5944462708629845,0.589025532751199
0.9916411791700293,0.7845394735946085,0.7151530400567359,0.6287346414429826
0.9273239986665759,0.6237530326156908,0.44751584118557386,0.4253664718820152
0.834216249015974,0.6032646480731708,0.539006986851543,0.2198528282330013
0.8808292063638821,0.6819895089899954,0.5544758216179232,0.3679121077590313
