system_A,system_B,system_C,system_D,system_E
0.9167741925527779,0.6942602536213207,0.5175387990234979,0.6727963835381765,0.3227457888157764
0.722495503698376,0.6949199211380467,0.4941199851752181,0.4530653533573289,0.3942036000331698
0.7145506537261946,0.7160649940353118,0.5284487014514773,0.37141359827202847,0.24861694987551464
0.7596934131963278,0.766226298215962,0.7121499211849929,0.44945102445554885,0.46308756035961557
0.8272236725327389,0.5960888831632262,0.5338974945372507,0.5208853542534332,0.5764913805550772
0.7942729589177898,0.8687548055236795,0.5485061293566729,0.5058212727085056,0.6792208867909961
0.8548066924707171,0.7245114284372618,0.5543302384976755,0.46065621037254495,0.40911681466664396
0.6660510633471342,0.7726794046401805,0.6338993513809421,0.3090802541022757,0.4788204140797187
0.7257613629569266,0.6371850600244358,0.6456249488528534,0.5470482996129107,0.2219374327092511
0.7884002927678467,0.8286382136995534,0.29553434607568385,0.69723444790822,0.5502734326305588
0.9897887292658706,0.6742947591186936,0.702163521382761,0.5464251238123004,0.47762285047241065
0.7886187461586243,0.7277552513493533,0.7436368034243754,0.5609135519053514,0.3516066555048767
0.9085222263661632,0.6066893922812892,0.49498134626383317,0.5572445306155102,0.523718080028901
0.8038555168784318,0.6003068373597874,0.5027701755265166,0.5397046669882399,0.3745523923354659
0.7516341362562432,0.7688205306452883,0.554974661222173,0.5931665966868095,0.35419748169854437
0.775327557588556,0.6556393169792615,0.5243995980543397,0.5395373681185666,0.44753349254274916
0.7831580287971119,0.6146176912495623,0.6223926873946607,0.4687322830346724,0.2936645500169682
0.8603645738960739,0.635681665797297,0.40534747136411364,0.4204011089991246,0.5021624764399948
0.9374611267576555,0.7698953071717421,0.48820723919632614,0.47510263447193246,0.2944010188073157
0.8359680847686322,0.637096213879639,0.7539197200174909,0.5314129496450666,0.2949945210176814
0.9187077678741756,0.6882345068397837,0.5071780032651982,0.4683917038877027,0.3090310211591666
0.7035210262370315,0.7015027750287097,0.7243428278102926,0.5314338683131431,0.4759500037516122
0.7585369491185969,0.5082651113989701,0.6355338195590138,0.5439150133700418,0.3383224638480292
0.7275697465792333,0.5528873594626482,0.41907322854117424,0.5833179431270181,0.26520042156328316
0.8314444590874853,0.7336277889247563,0.6635329195216207,0.6282794968838981,0.3394320000064202
0.7641041614820586,0.6262970638847304,0.5882332697807148,0.5078007418478857,0.39679576293195135
0.8729772937034196,0.805672491128042,0.554453294375026,0.3692223434852339,0.2819027516335615
0.7068998288367558,0.7966807104250545,0.6244957093172004,0.465489590318081,0.28483188909656565
0.8043030973321282,0.7719168666355438,0.6474633485566793,0.50440625674066,0.6111296334099585
0.8686857911012257,0.8819771787312598,0.670759182197462,0.316423124382291,0.3139434596186113
0.593469722495939,0.6916910672256817,0.7178252847548003,0.6388664520102483,0.36769576312269936
1.0,0.764888192590384,0.6408135912778358,0.5142377912510466,0.36327629992007143
0.7716848115120125,0.641559902340397,0.4624365911213639,0.5381352834580285,0.3578643192229558
0.5974960086323827,0.9452369912868724,0.552635454234881,0.6365526462526265,0.4621346739969103
0.8158093898576786,0.898363365243602,0.8943048335268622,0.4369857169857653,0.494814295047205
0.8033443467973151,0.7011880434517792,0.6724491060381729,0.557404193088403,0.3694045568468408
0.7918105620427508,0.7386586229905193,0.8369287300811498,0.4890135876898064,0.2763521713407651
0.8991191112926666,0.8359297599364807,0.7395434082199186,0.48159131329840804,0.5274440227848903
0.8747444971427056,0.6852860495185894,0.624180207155575,0.4227807612195621,0.39046589088033173
0.8297876191023845,0.6343375929200296,0.6301407069781119,0.6665603213686527,0.5730321814857169
0.8450155633946648,0.7873989751006883,0.5963419960123155,0.4624499959924429,0.17544141024348373
0.7895641550561914,0.7078439246083671,0.4262195384153501,0.5699464246895702,0.41954032212833203
0.9775490849240049,0.7182994449645261,0.6018047252468225,0.31249926125280636,0.5918606333876208
0.6520803981642234,0.6165728656932035,0.7210674552542198,0.6179988529689786,0.3646735864561842
0.8139651674215898,0.5282327851636605,0.5400360005178797,0.6052211155957059,0.3774506576665364
0.8065024631188781,0.7236142409879102,0.6411952999061811,0.5097434110297303,0.4295511691590339
0.8813280406064593,0.79049620414942,0.6851591045893198,0.47730575338620757,0.3441204181115043
0.7156146122575101,0.6774193250923959,0.5090319560687525,0.5400000005613567,0.36879280679472676
0.6256327397603464,0.8436429519558868,0.5548697135656336,0.7288790660880289,0.3662184905808597
0.8156823016098194,0.6296083674584456,0.4982088509522842,0.32367633010965147,0.3372579265573627
0.8281230492218604,0.594529554503408,0.5177834393310594,0.5782027387574128,0.522885655020056
0.948959940944765,0.693276969280387,0.47123947163469393,0.40883826978460974,0.44610780322964355
0.6729637953674914,0.691740742464871,0.5099551538621974,0.4980081603700269,0.42506282321033023
0.915469376671672,0.7769968731335224,0.741945568079784,0.4752119880921337,0.4808571006890117
1.0,0.6225037175936016,0.5084522970909708,0.45716817422022443,0.37356441667965334
0.7622235112477523,0.8368094236814899,0.6126459219060691,0.4989534870947271,0.32257961816471
0.6709057780506776,0.8966916962508255,0.5497131246329046,0.38658288547222097,0.3397375695385443
0.7593025633626629,0.6960855973031659,0.717886593703694,0.6029180436127968,0.4001783041104609
