system_A,system_B,system_C,system_D
0.757101928262758,0.6035821115875811,0.40617848124410505,0.41026455285396646
0.8964769894302447,0.6368799861709806,0.41802490015935523,0.370220384377604
0.9299987372262135,0.7435698322108943,0.630112780233676,0.4633225310115094
0.8960305168086669,0.6139277605027047,0.573232549083503,0.36123701673367536
0.6205808133450564,0.6661560034639442,0.6383382374886761,0.20650358827595292
0.9083145212660735,0.7065430431091482,0.5657991568835853,0.3850638504350359
0.616148137672793,0.7451851748977043,0.5476323968142551,0.1632522346626722
0.8898117324122348,0.4888985704296466,0.36073227146665676,0.435377063089139
0.7632215473428945,0.7381412316555612,0.5062966636572165,0.3020699769717365
0.8702533313933856,0.6432942608814942,0.530594901292959,0.41633603549158005
0.6667551652105435,0.7374124377531048,0.7286440531605909,0.5314074981524605
0.9171167632706148,0.7443598359021496,0.6020289965432012,0.3051251304732
0.6535025253895111,0.8274581727785825,0.6869394515042863,0.5061256258512118
0.7331545089146823,0.8020120314287871,0.5930871039228063,0.3566610433313847
0.7001905372230965,0.8013238329276964,0.4622030106383855,0.5753194802065585
0.6245715147177502,0.8110336985832906,0.5450457549483185,0.36348473868017867
0.8094527567588469,0.6958045651482614,0.5569556979597567,0.3159507014493309
0.9806089117836962,0.6698851753703507,0.4394177763562653,0.46872384503952885
1.0,0.7539483749845002,0.4948945956740413,0.35642102703763645
0.8097155787086249,0.739874761809969,0.5127566339656162,0.3158550485870992
0.9116681275067523,0.6357600429928407,0.6938953165898453,0.3522160149296209
0.8232094637928538,0.7071490075474935,0.3252592807942356,0.3955393467816999
0.8498883194768213,0.6631570199882073,0.6539151754049377,0.5342180131244855
0.7657851348872762,0.5812733758206612,0.43965380983739516,0.2065912254540423
0.8195076925422603,0.7957127408043018,0.396125414606372,0.4023080658950421
0.8537478704606429,0.6721865909196757,0.6513275463371798,0.46249035946540434
0.7421540271123669,0.8715374924365518,0.6065231402567716,0.41934485749917966
0.7922505700107012,0.5041174396466834,0.6587852035714524,0.5309865169433534
0.7941569881002513,0.6109887893823301,0.6134035280878911,0.3925654670241476
0.8826403317330525,0.6699305503357539,0.7393178335070736,0.3815448557814055
0.6933967828372319,0.7804047764295582,0.589205717027782,0.45923295470133435
0.7948457791392349,0.7066136039268852,0.5176855957210176,0.40993138149513497
0.9912005469052698,0.6977139420847419,0.5676259710654676,0.3609591261719529
0.9164060152585938,0.553940287411252,0.6576802461679299,0.451614403958638
0.9349179048888706,0.5509725269437196,0.4553958008073217,0.3347471706783355
0.8024431840178035,0.6989171326956573,0.46814447508019535,0.3388822847980673
0.8320997563686023,0.5302560672848309,0.5024373318735427,0.34720059782343865
0.9002236166702926,0.6134788916377338,0.32287505345680023,0.5353069160166408
0.9560255529530931,0.7167583995752524,0.5471411741750881,0.07789836440142867
0.6048397087117113,0.5684342394389892,0.3447204629382308,0.43955988347629427
0.6684558692950154,0.8272022629028474,0.5386392646265954,0.40342718142002226
0.9309444101402649,0.7890603010904558,0.6198623089468585,0.23191295407618798
0.7723110644231197,0.5095246668328367,0.48564568726894985,0.4309726779136002
0.7328279210741924,0.573429542348468,0.7010449203520206,0.44757519918315325
0.6745839013004397,0.43808894221717176,0.3872832433914847,0.45896392313574
0.7444983298455891,0.5884075304118535,0.6524594014965167,0.1348171936955051
0.6597630716576175,0.7433055143239067,0.6008470389740255,0.5366389411854439
1.0,0.625277172439181,0.36173000850226456,0.3262263295315159
0.7977563948019427,0.7127463910282635,0.8044127632373868,0.46865677467531763
0.7942049458237282,0.5144332348384923,0.5269588047829368,0.4741073780682286
0.8588076675167833,0.7464641921248573,0.44558493111777026,0.31233029143807073
0.896234516926657,0.6111557438738318,0.39262461385493175,0.46604599523515505
0.894588815655464,0.6678836348949573,0.511331530567366,0.36145067590876423
0.9073621943907573,0.6573792165273614,0.5205926460943374,0.19286228206618428
