loss_A,loss_B,loss_C,loss_D,loss_E,loss_F
0.026904372428452672,0.15536840225342644,0.32134687304360643,0.5772390311175676,0.5282868080053416,0.6745077331997708
0.17579218499236196,0.2943479378670093,0.4024216404290793,0.5650603412862539,0.7376027913843476,0.8184710474781084
0.1685507738790204,0.2599810433718714,0.4514609790636618,0.3330183660467836,0.5597782981073276,0.8937915537510656
0.28486088332964116,0.266402008133367,0.1750058721422522,0.4038216156087636,0.5847564762646965,0.801249932190725
0.08244360545007845,0.3672353500106768,0.4959074064955898,0.4916861103256233,0.5133214809384323,1.0868403055666769
0.16686548047579067,0.31324921027798025,0.3463745261318928,0.4899140252859174,0.6098597853114364,0.6331400741121805
0.10980675395389446,0.26887236628250233,0.422548993324023,0.3990523064581195,0.757531245847798,0.9058728529883879
0.22958717818630145,0.0745112563771704,0.49972469236452277,0.5588978729352184,0.7115628088443957,0.7827198262603536
0.028116761239126972,0.14399537047205363,0.2428326302769534,0.5451473608940512,0.7578422112028036,0.8771920154836675
0.17450053128772813,0.22772910664042761,0.30905589975724534,0.5005730868021481,0.7122142545933936,0.8441307151699247
0.08053027038833184,0.24933723742766514,0.3511451304124295,0.4444208499841637,0.5496330171469631,0.7266843802890004
0.09358118228915023,0.12697962753260764,0.30162464788755716,0.6248707126416564,0.6269210775672442,0.8228996392459341
0.1091752484448373,0.4811676675578421,0.5534936575836809,0.6855407113088295,0.5819800870882538,0.6142098548601713
0.12522403964266776,0.3916394055253573,0.2943227906173207,0.4716438516153463,0.793057490403904,0.8603247500571394
0.08837709568780419,0.3002118320392484,0.3244453220513133,0.45878330828451797,0.5403211353573689,0.8298158465990526
0.12147131831705264,0.24720368612837448,0.4004389031602977,0.5691207665411997,0.7493697689389112,0.8638660168643103
0.2578118057562184,0.21877910300988485,0.2597850473923911,0.4841970620253014,0.749295387010877,0.9058118325087151
0.19854496856152185,0.14480815399777647,0.3404319288243736,0.5060602799336766,0.8429620201716088,0.8367619840209711
0.18691545924968966,0.24774805185188628,0.4117453261250175,0.5939653151724672,0.6190313407370502,0.8148089419798277
