time_A_ms,time_B_ms,time_C_ms,time_D_ms,time_E_ms,time_F_ms
8.6786313395639,61.29286782877193,75.2593484558624,116.14403045842867,172.73809117036438,207.50214549670827
42.54904882120814,47.060406340091475,79.75062041576807,103.62138977113788,165.40551718297334,179.64596645450638
1.0,51.64685187769339,85.05315480333128,107.80395518086227,157.13897737186545,203.34729582121545
1.0,43.58636241545314,91.9369827306462,93.67302040057079,170.87163227627784,208.27828957733232
21.7538449719791,68.34875078741973,89.95326217932177,122.480789219477,172.20330540715037,210.20345312626444
1.0,44.994711333087544,105.26143690922176,115.0234362912843,166.61105354579533,170.94870946246303
5.226437083860696,51.47763138202272,49.604118941971876,109.50118163522028,149.6308162434786,188.57967095286588
1.0,65.19045216213098,50.19605194706491,122.9781486224807,166.1490114826677,186.826051207648
6.102997888487312,36.3394277273114,78.56182741984776,129.45955946279108,179.93220976238217,201.4983043161382
33.978071681445115,71.3818377674534,102.45950281315564,155.39796898314916,153.05056412082405,207.21116869651976
22.03192687927179,25.043078853849348,62.51527952591606,101.3217487065518,193.46909008698645,222.4506561116897
22.933352678304658,72.44463196669199,40.88551490459364,141.39071564950783,154.11553599021923,192.5755177944789
1.0,42.40986624072038,94.56769109328813,138.59652341522607,162.48610520010203,192.53641252536178
1.0,44.359518782620775,89.65485835554071,112.3136089093495,151.91271605990497,217.2450802831812
1.0,19.649847432255857,69.64687389800855,127.04853931879046,165.3490625388039,204.4486540779546
1.0,41.17807923933461,71.21690598918605,117.13550125993577,135.86667461047088,219.0147726678196
24.350547795784877,32.402902034596735,71.45384420547988,126.78532870628108,153.80937301774918,204.33092004514754
17.754197736225564,38.88530481939791,87.6580297621091,146.63696520106825,145.6181819947715,182.64325071930094
6.677301055718141,45.94033551316681,76.6052708572549,133.0840934894697,164.03007521838435,180.0030746783329
9.665495744229204,62.36687421709358,93.4109587846328,131.62912559850162,176.91671063263362,176.72731626411607
1.0,51.11405027100939,43.18060005643414,117.54536020068036,171.69009280671827,209.9307775213771
13.071383236026762,52.615149801016706,73.147222023083,101.73915002613498,126.42510958711662,217.82895234630513
21.48817419220922,31.567209167316566,69.10919058633425,120.87297684189389,192.6310447939182,227.74043212079573
1.0,34.78868865595905,82.15488982441262,142.09912232295872,166.42919910931303,212.64657998484861
14.494715317560221,74.98087527526968,77.92928362264792,101.09248215115528,150.352512892605,217.4425786630248
23.98652306432001,36.9719844785513,97.9676566984365,108.17365947734957,164.35691878486412,191.29975501019473
3.773495665549456,72.84312378085943,58.109948425099134,125.89401604351102,164.6428473375404,182.65376274884215
