rmse_A,rmse_B,rmse_C,rmse_D
0.07499320618701857,0.22810110487146334,0.4036092342593332,0.39488539250817883
0.0,0.15175444687506678,0.30060452836077106,0.4840679755221474
0.06838246464957108,0.1959915952352324,0.40829451884062673,0.4704303653850884
0.0,0.22435053396395616,0.35737425477258,0.4346095764430558
0.0812754008415518,0.1816527050981477,0.34077000303343596,0.40807071007763845
0.09426157414944955,0.20607037894039007,0.3351033240325426,0.40566595388582716
0.020382202217397324,0.15751185113895477,0.33635653157747925,0.47674086681729555
0.05617738479777912,0.1735100041619285,0.22028303769938615,0.5114490251244531
0.1477078716875143,0.17304036178931634,0.30272249695912884,0.4181346126485603
0.024712664786903166,0.1460044160063214,0.35892456522588273,0.47291933517757423
0.0,0.17449462517754424,0.31422180749296136,0.34564864906989656
0.12408317012312994,0.10590241839014601,0.2464071743264879,0.42076911346714
0.14812935952653974,0.15877564597622812,0.3140464441377932,0.4484470533564549
0.05018478359239237,0.16908955866484982,0.40187194247944125,0.40451582915090833
0.10057315177041781,0.17052434570856434,0.3790112524434026,0.4031746812605202
0.11707379577654406,0.17125846103979442,0.3135664661983651,0.4166110221765557
0.012875788373080801,0.1802451233403269,0.36423913051957096,0.4646096364163187
0.025734708231606587,0.20730540923763655,0.29834131564826405,0.4406335490796813
0.11154372565773675,0.22705918703995948,0.2314730873253307,0.3380884383337514
0.13425071393542548,0.15084507199091998,0.2704433672601889,0.3439649923682467
0.07814404300871775,0.12317329056387613,0.39481110509207656,0.41965674110714124
0.006009282324897287,0.1312311127211782,0.3029670125752014,0.4728843293026776
0.14935305558497208,0.158973187273587,0.30449746769791575,0.3126247578637383
0.023451455109401775,0.16573726744250789,0.3016747568529226,0.4250134911924185
0.033243110941427415,0.14483353002346047,0.411873496145317,0.42368760717412896
0.06711689172448107,0.11852750012083862,0.3979646124347698,0.5194168889104224
0.1277080210357387,0.16052729195962395,0.42760567833907337,0.43074890941435684
0.09269879882761119,0.19240466433903192,0.30871440614666407,0.46914944923704643
0.07074327501809552,0.2130848066251116,0.3314478911040214,0.45706285700437316
0.07316442650590532,0.15546218067791728,0.24083453919562708,0.34347167600963996
0.052175733432173306,0.16268344222616166,0.3905133879725804,0.4884103608315869
0.07790697572592532,0.1369984178909678,0.25827768910326987,0.4607698252728144
0.0,0.18176137481459453,0.3275054448547981,0.4754134319837295
0.03516962704651008,0.1409119016237926,0.26180154028502445,0.6463118853218164
0.06206609674583905,0.21198972399539334,0.2872233253297318,0.34579435302507056
0.0,0.09404000873662778,0.27480354511418165,0.5362348324880555
0.069316165890578,0.16535184971071024,0.2862729036328758,0.43562762402998223
0.039776438950693924,0.19838870029292044,0.2897105315092177,0.46436644522015047
0.13777378491577452,0.19252505914945856,0.2892532269204128,0.4477243877349379
0.12865098626074284,0.3179850165323582,0.358333362255682,0.4287881833300978
0.02670972154409186,0.20082333456172874,0.26142352701354066,0.42150835358806205
0.042458114421665236,0.13313060349123285,0.32769373801736,0.46647543677865044
0.04630262171958037,0.1785601209788797,0.3775646242819446,0.374141315166416
0.027417026192018867,0.09452101666001075,0.29100684844099683,0.4875289583760883
0.05975124920140634,0.1793033458684953,0.28077072212928655,0.4291902797557373
0.012085896555620493,0.1416805304832954,0.3051404354076541,0.3934965330479821
0.0,0.22910284711134143,0.37565292708470216,0.4274993571002093
0.08113556119501343,0.15585631960355661,0.3263720482143345,0.5128574608431287
0.08147647921109055,0.17749503754357102,0.29010595193628674,0.42323324564918885
0.00978421201700038,0.15155544126311318,0.34086049922606865,0.467922680910481
