mse_1,mse_2,mse_3,mse_4,mse_5
0.0,0.11853683031536058,0.20840888958847775,0.2877141311776808,0.4069456044913215
0.0833156250454606,0.22668638549582498,0.24664108549753225,0.3527467055499925,0.5201684985062596
0.07312956464269757,0.12320992684738513,0.2142120005444624,0.3145210072625414,0.4848951636269514
0.0,0.06463210212035268,0.284102603285631,0.2870747544662333,0.4278477989435759
0.016121767383217245,0.09417377800256707,0.32436230776679637,0.3391491474787815,0.42602535163003785
0.10970547015236863,0.21179058100034695,0.22099733793149784,0.33457586057720906,0.4648287772570381
0.000941723443015921,0.14220509110316665,0.26197022502676887,0.47133582431727616,0.47315923976337926
0.02677978688453062,0.12258563517546997,0.2749842555151467,0.3716479912680348,0.4598646132815603
0.07310304466259483,0.1580009112926394,0.2736001135459637,0.2811191249622882,0.46556543367214426
0.08916952546412978,0.1750891368083773,0.25379776339580434,0.3217612997914529,0.534997868728819
0.037423055697775216,0.20586994079512305,0.2871341209179861,0.40106916477147,0.5035771576117443
0.020124490265417922,0.22242496149464636,0.27411244763403286,0.4544221386434963,0.45953177956325125
0.1211184930849254,0.13201156771054573,0.1881168788836351,0.2707008343881021,0.4970655290383742
0.13694498318987897,0.0836976156958981,0.2934578032194637,0.25600378074304775,0.39837380482362306
0.09894290253908977,0.12932674194383623,0.2943645418633371,0.44354825876858917,0.46989635249734046
0.0542659071282512,0.16301402532914433,0.21183569479107092,0.3694807088685452,0.5404653174866555
0.009586713917953682,0.10181205368946947,0.2518968917723801,0.3065853634061817,0.43909770523038133
0.00847777967217174,0.10214245425524787,0.2841664496405535,0.3767314543061218,0.40761830356904577
0.07612570526328788,0.16718939407749428,0.23953430902103193,0.21821261304915615,0.41739555557034697
0.0709199110444342,0.14756738242147746,0.3036489023883006,0.3501687753298581,0.39551834813288056
0.12007992964732148,0.15163984977057934,0.36819362473096806,0.3663910586421543,0.41076190459361483
0.08252250462680696,0.11207523326499655,0.2107006983682509,0.3962135069768915,0.43147459507049857
0.0,0.13847996428971165,0.18094776984231126,0.29930520238537317,0.3797216490410679
0.10259738088614594,0.1037883427865848,0.2651909297802438,0.354284358070168,0.45078091669748016
9.69686342793541e-05,0.19450992055623936,0.28607812525630716,0.30372876869702065,0.4951138586893324
0.03080143640238242,0.20176246673618764,0.23845668130776154,0.36276918778371586,0.404612190992654
0.06251001031258473,0.057690606888095325,0.3226630331660517,0.3052326838818488,0.5259641961820885
0.1497833744891982,0.10352445699037952,0.18306971001383754,0.329594958041989,0.47553960442637977
0.20549592780026804,0.07517353724549607,0.28464593115158054,0.30020923026048857,0.5015290292812029
0.08033615295680914,0.11749880327965512,0.21970695896205533,0.38255681209118286,0.41710827230739317
0.04084016906398061,0.14582810151048198,0.33596889531036483,0.3929225558328333,0.4927262613533308
0.07672528242402751,0.07751773901507351,0.3496257676584059,0.33826897150212937,0.39540330498023435
0.09438277129369181,0.10390700934373437,0.2116671706108326,0.35191189974800147,0.49451237504182544
0.03396661872214042,0.09980213139592509,0.22252214320457098,0.2775704292683228,0.4585919669896766
0.13976056779561613,0.16036336646994723,0.2929793943489901,0.3350161675996607,0.4776625609992392
0.06150353795957011,0.15346721685181255,0.23064346751052428,0.3474897691479128,0.39122026971875745
0.07488715445456971,0.11391312233313736,0.2477294391033881,0.4810396545514988,0.4052465078861698
0.08329621260272307,0.15884104360696993,0.2512694210271205,0.2944016487112918,0.47986141091266926
0.0710793305307228,0.12266599577063675,0.15401634219011717,0.4232088619376219,0.40258259978878996
0.09194702502348062,0.13641724448369735,0.24930811269528813,0.39984293867329046,0.47316031460495617
0.01913734067265384,0.23367260451492688,0.2155136112967913,0.36403182022450686,0.3816431096769877
0.022084912302698476,0.21702305258951743,0.2253438588800114,0.4379310242097567,0.4924087106333334
0.0,0.08502093815362013,0.3221816001734407,0.3686052736303432,0.38837383426157457
0.07197506153101133,0.19148662089395874,0.18717465528603716,0.36945795978339646,0.4776149968839762
0.0889468251756057,0.19056982772457964,0.29066025933739886,0.34734396734912276,0.48128154668230005
0.07288864330759429,0.0925868355623691,0.23605185348340957,0.4111784441209314,0.4151614090785213
0.13372462166737686,0.19093888218774305,0.23601199157520827,0.40482346169054423,0.47910132835423636
0.04972019905854767,0.22689659592062766,0.28951859480258557,0.3187161356251894,0.4630221131666778
0.08343708277962564,0.09387275968777933,0.2670025647284445,0.2840376402700617,0.42305790719036307
0.0,0.10412485894928683,0.27853064986097653,0.3398509681302172,0.3995722657961896
0.03064501487627995,0.20088307334217514,0.2984092330266431,0.30999807178011773,0.35186871541637105
0.08477688787828888,0.16357476554128242,0.23343458084083385,0.34682377126923225,0.4674825023649847
0.0924551055371572,0.17757381376197617,0.21938816327461247,0.411871906734207,0.37175986143189726
0.03530165261679089,0.16702946082002487,0.1957424736721101,0.3271349172456605,0.45476720997206543
0.04642003740709666,0.16953479604640723,0.20872947350105225,0.34785883093442127,0.43682758919588754
0.0,0.08367639358444587,0.39745472126543624,0.3529011367404198,0.48395713877190977
0.03214853995966953,0.20236588533107244,0.31223397903683936,0.39242154411026425,0.4348977250255068
0.09451915817598931,0.2084794996213887,0.18244628168959892,0.23765553330076977,0.43352761068264545
0.07876025080532832,0.13853046279659864,0.1838771021628215,0.3196649852617352,0.4865935352144148
0.07503328606906048,0.1478261525093069,0.27409330308592456,0.36056418461397366,0.4667529014542059
0.05248868435904801,0.07344462487221391,0.2773632398688983,0.4100039478213431,0.46580779785913895
