race_id,contestant_1,contestant_2,contestant_3,contestant_4
race_001,1,3,2,4
race_002,1,2,3,4
race_003,1,2,3,4
race_004,1,3,2,4
race_005,2,1,4,3
,1,3,2,4
race_007,1,2,3,4
race_008,2,1,4,3
,1,2,3,4
,2,3,1,4
race_011,1,4,2,3
race_012,1,2,3,4
race_013,1,2,3,4
race_014,1,2,3,4
race_015,1,3,2,4
race_016,1,2,3,4
race_017,1,2,3,4
race_018,1,2,3,4
race_019,2,1,3,4
race_020,2,1,4,3
race_021,1,3,2,4
race_022,1,2,4,3
race_023,1,2,3,4
,1,2,4,3
,2,3,1,4
race_026,1,2,3,4
race_027,1,2,3,4
race_028,1,4,2,3
race_029,1,2,3,4
