Model_C,Model_F,Model_H,Model_J,Model_G,Model_B,Model_E,Model_A,Model_I,Model_D
0.5416612281381012,0.5149358532664919,0.42534215351479426,0.27020349186957654,0.606643701478276,0.70294629091254,0.3612890391058291,0.8742317626774884,0.15498864352352262,0.5707743821865237
0.8015638184715412,0.5340720721965871,0.3518432475183628,0.40928832721400316,0.5740242013413551,0.9825007346056543,0.430190994418241,0.7473142810844914,0.3858863713731204,0.5692255271071911
0.6862707493580039,0.6875135585404598,0.4432137893910436,0.2509698593402442,0.6463497621360752,0.8314982279049229,0.48069070137229986,0.8510725352991575,0.4842102806669693,0.7008713326286321
0.5870965781512502,0.5949388584374762,0.4105829933485384,0.39222825749907325,0.41299426032482994,0.5655920670073611,0.533126173103285,0.8415208965492047,0.1534118592380421,0.6735352823287161
0.7314577906823724,0.4422061090526309,0.3997188383642991,0.19568836082679725,0.5780917523826843,0.7867517571500645,0.6495710382384399,0.7214029949215424,0.3495655402890133,0.672344611029977
0.7051534128133923,0.4100550074840354,0.4832324683219639,0.36163946408408737,0.6153290550677992,0.701927679196283,0.5878013788636866,0.871478760739433,0.22820435970777353,0.721541528145346
0.6252257555401658,0.5490883917695217,0.4975665693223519,0.4528159083583491,0.33361265774052895,0.8533496591527442,0.4860415635471419,0.8917784773414281,0.24455607824348663,0.5930940315931891
0.6922276517550472,0.36787315391680697,0.36876568355656864,0.061494596279830144,0.39116075511626286,0.6888542518298517,0.5001337957532157,0.9440051490221324,0.2340292241960693,0.6591889445594095
0.6467160835698692,0.6830423512043066,0.3642339742531534,0.2289695207455114,0.3055633886068303,0.7566326815264318,0.40178248007970374,0.941080229908095,0.20686953965197463,0.5599669717705675
0.6965991777811701,0.6178404866909999,0.39431062860245697,0.3663662590106131,0.4825459229383846,0.8186050535711675,0.5001841029442456,0.6979330879088956,0.29812077941443893,0.6234102826787573
0.7514605107081499,0.45297890940840074,0.1916236818440629,0.2883545076882598,0.5812408319624366,0.8546818450901339,0.47316955265147076,0.7419175207130924,0.21017360497885246,0.5779793419931447
0.8438491248705805,0.3285830217097835,0.2702966920977662,0.34577363362968994,0.6597223115924432,0.6480766849675441,0.5343072725772936,0.8872035514254707,0.32031429919794013,0.6006932439291849
0.5614658933733603,0.6352837120354125,0.5585032250620738,0.24826052762097703,0.5168960844248179,0.7346562020890269,0.4193123221882523,0.8870786197958256,0.2882448056750425,0.6505093499736044
0.8985507807216719,0.4884424900936094,0.5863125696677498,0.31731802503984907,0.6723481609399695,0.7206117945570262,0.5539700679676018,0.8872047933352095,0.2693738119333153,0.5091715791065659
0.4900386633037951,0.6236781058162174,0.39691219436198355,0.29309132275335115,0.3714764605613512,0.7027734024157506,0.6553093078437424,1.0,0.20251225041579646,0.8002323749984591
0.6700689337524869,0.3404537087394345,0.47947149462319805,0.4254372524585398,0.33914836244732494,0.9446517497012314,0.4911594016977988,0.8927890757739214,0.23559148356312296,0.4903919092799429
0.7440791639045029,0.4399589723234939,0.452940813771975,0.3341011306226804,0.5039318364931785,0.8086044967692173,0.5422065887533788,0.9492565887226646,0.36880773920253185,0.4695747861511399
0.7133466300295486,0.5004208445906895,0.7297038791631452,0.3424193125000793,0.5478931512767711,0.6420179302396172,0.5710498157145959,0.9311002010539249,0.3433603353823943,0.7068047347799199
0.6229774912739858,0.5045945339953454,0.533773289461079,0.26747134968031233,0.5062171315734311,0.8598925203785994,0.46191336935490096,0.9008391498351845,0.19551309214010112,0.6701599168262067
0.6644352182203177,0.45488992747094686,0.4090240391695447,0.2598984238853097,0.3027423963788527,0.9803219453743851,0.5244446647245263,0.8041731002405701,0.30320184716287885,0.6534056291351287
0.635947349790162,0.5621814678536211,0.3262617542575788,0.265403227510597,0.5005746024315615,0.8713528517282365,0.5032946566216641,0.9115969467539314,0.3684073289571351,0.6538281983563411
0.6263109675616241,0.3931344316806118,0.2611711662918641,0.3481042605303888,0.37903965633235503,0.6161693290777204,0.5118030263983677,0.7584175032508476,0.12632808850781904,0.5897689701452217
0.7702076529581477,0.4856585261167419,0.4421621619043437,0.2665605982105328,0.5764538612658442,0.7196829183864966,0.42473443815793793,0.8120181640306038,0.34760463585794976,0.50126821028133
0.72094899185255,0.5119260377900611,0.34618072378919107,0.3376365319822004,0.5461464309925252,0.894797440591784,0.5044864339693789,0.7871636699216944,0.22700624072537157,0.5985741032492857
0.6159564837299798,0.5513403580247461,0.279590427357854,0.516199126157103,0.4154986277501048,0.6973393791112437,0.5518352456680296,0.8438874386432369,0.35032848347927215,0.5232774762787019
0.7752074307993704,0.5710579624277602,0.3571585098933687,0.3957715166357283,0.458099914649171,0.8124882684877446,0.6471497773229888,1.0,0.21694270096570456,0.6885056207716882
0.7159773953437062,0.3874322654350843,0.3136609979561819,0.27605669307577496,0.40356525419394523,0.8455697310160555,0.5979624991520053,0.6489735054454299,0.11278040655350433,0.5762879092796993
0.7665336551399413,0.346485057545309,0.5905299618248778,0.4287804385089536,0.5032186966555232,0.6754132785153135,0.7173536622946403,0.904326043742056,0.13051437283163997,0.5084439277506619
0.7482103274484064,0.6276641568087221,0.5099797740125664,0.26785150899040394,0.6050008384329641,0.7621537900669417,0.42530066025467966,0.6744284375856395,0.29807711128609443,0.5588550632646138
0.602347942163838,0.5331278758168304,0.42101853418595964,0.10484659277477368,0.410914001749286,0.4439795916662145,0.5892674802155524,0.7885068381256614,0.3192408667921044,0.6322867928574756
0.6292293392363483,0.42504782096321586,0.569810212206624,0.20785041520081865,0.5598912579346248,0.6656675615396928,0.5203696171173198,0.9445950844013413,0.20283695410951535,0.5346211921495156
0.7599768037683714,0.6550116721711235,0.42955262908238323,0.1215798541899735,0.4564608445455963,0.7428495105338058,0.7210157098652519,0.842128026614151,0.3571278624976936,0.50877160787327
0.7462844697993918,0.511463938048157,0.335687378184795,0.2735076978884282,0.430199323156606,0.6433280074766368,0.4212055880079695,0.7279255469116741,0.12711661039306024,0.6153623685791043
0.6831572838596305,0.6178261930252539,0.5741282060445871,0.3105008842115142,0.4987835703873846,0.9313474560662853,0.418063232325407,0.7641696537786079,0.2866606367552246,0.6154903045407853
0.6969801815869234,0.5066483227598821,0.4757068026860873,0.4763027775200874,0.40596237414090297,0.6250921878770584,0.44209615199908237,0.9036597995980723,0.17216699664371055,0.5402993298928002
0.8130139328348878,0.7059712671070699,0.31809118288497573,0.34135178366897534,0.4541216758481222,0.7241018770034233,0.28964584411250394,0.762663361532891,0.2280850058397403,0.5438898168680808
0.6260903043724623,0.6754305588631917,0.4027819305092606,0.28674899341167265,0.38969881712395554,0.7811803834017309,0.4494599143754085,0.8573458836628022,0.29800848375159766,0.6141986411656768
0.739957181373049,0.4750000597709639,0.33425397297914566,0.391599604410908,0.7059591196744793,0.9122336545797334,0.4261221503881148,0.8402572086949861,0.207227280091561,0.4461852132801807
