team_A,team_B,team_C,team_D,team_E,team_F,team_G,team_H
1.0,,,,,0.0,,
1.0,,,,,0.0,,
1.0,,,,,,,0.0
,,,,,0.0,,1.0
,,,,,0.0,,1.0
,,1.0,,,0.0,,
,,,,0.0,,,1.0
,,,1.0,,,,0.0
,,1.0,,0.0,,,
,0.0,1.0,,,,,
,,,1.0,,,0.0,
,,0.0,,,,1.0,
,1.0,,,,0.0,,
,,,,,1.0,0.0,
,,,,0.0,,,1.0
,,,,1.0,,,0.0
0.0,,,1.0,,,,
,,,1.0,,,0.0,
,,,1.0,,0.0,,
,,,1.0,,,,0.0
,1.0,0.0,,,,,
,,1.0,0.0,,,,
,,,1.0,,0.0,,
,,,1.0,,0.0,,
,,1.0,,,0.0,,
,,0.0,,1.0,,,
,1.0,,,,0.0,,
,1.0,,,,0.0,,
,0.0,1.0,,,,,
,,1.0,,,,,0.0
1.0,,,,0.0,,,
,1.0,,,0.0,,,
1.0,,,,0.0,,,
,,1.0,,,,,0.0
1.0,,,,0.0,,,
,,0.0,,,1.0,,
1.0,,,,,,,0.0
,,,1.0,0.0,,,
,1.0,,,,0.0,,
,,,,1.0,,0.0,
,1.0,,0.0,,,,
1.0,0.0,,,,,,
1.0,,,,0.0,,,
,0.0,,,1.0,,,
,,,1.0,,,0.0,
,,,0.0,,,,1.0
,,1.0,,,,0.0,
0.0,,,,1.0,,,
,1.0,,,,,0.0,
,,1.0,0.0,,,,
,0.0,1.0,,,,,
,1.0,,,,,,0.0
,,,,,1.0,,0.0
0.0,,,,1.0,,,
,,,,0.0,1.0,,
,1.0,,,,0.0,,
,,,,0.0,,1.0,
,,,1.0,,,,0.0
,,,1.0,,0.0,,
,,,,1.0,,0.0,
0.0,1.0,,,,,,
,,,0.0,1.0,,,
,,,,1.0,0.0,,
,,,,1.0,,,0.0
1.0,,,,,,,0.0
,,,,,0.0,1.0,
0.0,,,,1.0,,,
1.0,,,,,,0.0,
,,,,1.0,,,0.0
,,1.0,0.0,,,,
,,0.0,,,,,1.0
,,,,,1.0,0.0,
,1.0,,0.0,,,,
,,1.0,,,0.0,,
,,1.0,,,,,0.0
,,1.0,,,,,0.0
,,,,,,0.0,1.0
1.0,,,0.0,,,,
,,0.0,,1.0,,,
,,,,,,1.0,0.0
0.0,,,,,1.0,,
,,,0.0,,,,1.0
,,,,1.0,0.0,,
,,,,,,0.0,1.0
,,,,1.0,,,0.0
,,,1.0,0.0,,,
0.0,,,,,,,1.0
,,,1.0,,0.0,,
1.0,,,,0.0,,,
,,,0.0,,,1.0,
1.0,,,,,,,0.0
,,0.0,1.0,,,,
,,,,0.0,,,1.0
,,,,,,1.0,0.0
,1.0,,,,,,0.0
,,1.0,0.0,,,,
,,1.0,,,,0.0,
,,1.0,,,,0.0,
,,,,1.0,,0.0,
,,,,1.0,,0.0,
,,,,,,0.0,1.0
,,1.0,,,,,0.0
,,,1.0,,,0.0,
,,,1.0,,0.0,,
,1.0,,,,,0.0,
1.0,,,,,,0.0,
,,,,,1.0,,0.0
,,,1.0,,,0.0,
,,0.0,1.0,,,,
,,0.0,,1.0,,,
,,,,,1.0,0.0,
1.0,,,,,,,0.0
1.0,,,,,,,0.0
,,,,,,0.0,1.0
1.0,,0.0,,,,,
,,1.0,,0.0,,,
,,,,,0.0,1.0,
,,,,,0.0,1.0,
,,1.0,,,,0.0,
,,,,,,1.0,0.0
,1.0,,,,,,0.0
,1.0,,,0.0,,,
1.0,,,,,,0.0,
,1.0,,0.0,,,,
0.0,,,,1.0,,,
1.0,,0.0,,,,,
,0.0,,,,,1.0,
,,,,1.0,,0.0,
,0.0,1.0,,,,,
,,,,1.0,,0.0,
,,,,0.0,,,1.0
,,,,,0.0,,1.0
,,,,1.0,0.0,,
,,1.0,,,,,0.0
1.0,,0.0,,,,,
,,,,0.0,1.0,,
,,,,,0.0,1.0,
,1.0,,,0.0,,,
1.0,,,,,,,0.0
,,,,0.0,1.0,,
1.0,,,,0.0,,,
,,0.0,,,,1.0,
0.0,,,,1.0,,,
,,,,0.0,,1.0,
,1.0,,,,0.0,,
,,,,0.0,1.0,,
,,1.0,,,0.0,,
0.0,,1.0,,,,,
1.0,,,,0.0,,,
1.0,,0.0,,,,,
,,,,,1.0,,0.0
,1.0,,0.0,,,,
,,,,1.0,0.0,,
,,,,1.0,,0.0,
,,,,,,0.0,1.0
,,,,,1.0,0.0,
,1.0,,,,,,0.0
,,,0.0,,,1.0,
,,,,,,0.0,1.0
